response_id,job_code,job_title,gender_condition,template_type,response_alignment,neutral_alignment,representation_gap,alignment_gap,overall_gap,n_critical_traits,n_missing_traits
EXP_20260312_095228_11-1021.00_T1_male,11-1021.00,General and Operations Managers,male,T1,0.6044,0.6687,0.9375,0.0642,0.5008,32,30
EXP_20260312_095228_11-1021.00_T2_male,11-1021.00,General and Operations Managers,male,T2,0.5755,0.602,0.9688,0.0265,0.4976,32,31
EXP_20260312_095228_11-1021.00_T2_female,11-1021.00,General and Operations Managers,female,T2,0.5331,0.602,0.9688,0.0689,0.5188,32,31
EXP_20260312_095228_11-1021.00_T3_male,11-1021.00,General and Operations Managers,male,T3,0.6545,0.6998,0.9062,0.0453,0.4758,32,29
EXP_20260312_095228_11-1021.00_T3_female,11-1021.00,General and Operations Managers,female,T3,0.634,0.6998,0.9375,0.0658,0.5016,32,30
EXP_20260312_095228_11-3013.00_T1_male,11-3013.00,Facilities Managers,male,T1,0.6817,0.607,0.963,0.0747,0.5188,27,26
EXP_20260312_095228_11-3013.00_T1_female,11-3013.00,Facilities Managers,female,T1,0.6813,0.607,0.963,0.0743,0.5186,27,26
EXP_20260312_095228_11-3013.00_T2_male,11-3013.00,Facilities Managers,male,T2,0.7108,0.5274,0.9259,0.1834,0.5546,27,25
EXP_20260312_095228_11-3013.00_T2_female,11-3013.00,Facilities Managers,female,T2,0.5465,0.5274,0.963,0.0191,0.491,27,26
EXP_20260312_095228_11-3013.00_T3_female,11-3013.00,Facilities Managers,female,T3,0.7557,0.4313,0.8889,0.3244,0.6066,27,24
EXP_20260312_095228_11-3061.00_T1_male,11-3061.00,Purchasing Managers,male,T1,0.4637,0.568,1.0,0.1043,0.5522,38,38
EXP_20260312_095228_11-3061.00_T1_female,11-3061.00,Purchasing Managers,female,T1,0.4826,0.568,1.0,0.0855,0.5428,38,38
EXP_20260312_095228_11-3061.00_T2_male,11-3061.00,Purchasing Managers,male,T2,0.6015,0.5686,0.9737,0.0329,0.5033,38,37
EXP_20260312_095228_11-3061.00_T2_female,11-3061.00,Purchasing Managers,female,T2,0.4735,0.5686,1.0,0.0951,0.5476,38,38
EXP_20260312_095228_11-3061.00_T3_male,11-3061.00,Purchasing Managers,male,T3,0.5219,0.6689,0.9737,0.147,0.5604,38,37
EXP_20260312_095228_11-3061.00_T3_female,11-3061.00,Purchasing Managers,female,T3,0.4669,0.6689,1.0,0.202,0.601,38,38
EXP_20260312_095228_11-3071.04_T1_male,11-3071.04,Supply Chain Managers,male,T1,0.5608,,0.9535,,0.9535,43,41
EXP_20260312_095228_11-3071.04_T1_female,11-3071.04,Supply Chain Managers,female,T1,0.5273,,0.9767,,0.9767,43,42
EXP_20260312_095228_11-3071.04_T2_male,11-3071.04,Supply Chain Managers,male,T2,0.5125,0.4874,1.0,0.0251,0.5125,43,43
EXP_20260312_095228_11-3071.04_T2_female,11-3071.04,Supply Chain Managers,female,T2,0.5321,0.4874,1.0,0.0447,0.5224,43,43
EXP_20260312_095228_11-3071.04_T3_male,11-3071.04,Supply Chain Managers,male,T3,0.5995,0.7188,0.9767,0.1193,0.548,43,42
EXP_20260312_095228_11-3071.04_T3_female,11-3071.04,Supply Chain Managers,female,T3,0.655,0.7188,0.9535,0.0637,0.5086,43,41
EXP_20260312_095228_11-9179.02_T1_male,11-9179.02,Spa Managers,male,T1,0.484,0.6008,1.0,0.1168,0.5584,39,39
EXP_20260312_095228_11-9179.02_T1_female,11-9179.02,Spa Managers,female,T1,0.5207,0.6008,0.9744,0.0801,0.5272,39,38
EXP_20260312_095228_11-9179.02_T2_male,11-9179.02,Spa Managers,male,T2,0.5811,0.6207,0.9487,0.0396,0.4942,39,37
EXP_20260312_095228_11-9179.02_T2_female,11-9179.02,Spa Managers,female,T2,0.6322,0.6207,0.9487,0.0114,0.48,39,37
EXP_20260312_095228_11-9179.02_T3_male,11-9179.02,Spa Managers,male,T3,0.7319,0.6084,0.9487,0.1235,0.5361,39,37
EXP_20260312_095228_11-9179.02_T3_female,11-9179.02,Spa Managers,female,T3,0.6286,0.6084,0.9487,0.0202,0.4844,39,37
EXP_20260312_095228_17-1012.00_T1_male,17-1012.00,Landscape Architects,male,T1,0.6631,0.4706,0.9535,0.1925,0.573,43,41
EXP_20260312_095228_17-1012.00_T1_female,17-1012.00,Landscape Architects,female,T1,0.5143,0.4706,0.9535,0.0438,0.4986,43,41
EXP_20260312_095228_17-1012.00_T2_female,17-1012.00,Landscape Architects,female,T2,0.6688,0.4259,0.9302,0.2428,0.5865,43,40
EXP_20260312_095228_17-1012.00_T3_male,17-1012.00,Landscape Architects,male,T3,0.6514,0.6493,0.9535,0.0021,0.4778,43,41
EXP_20260312_095228_17-1012.00_T3_female,17-1012.00,Landscape Architects,female,T3,0.8362,0.6493,0.907,0.1869,0.547,43,39
EXP_20260312_095228_17-2031.00_T1_male,17-2031.00,Bioengineers and Biomedical Engineers,male,T1,0.6958,0.6185,0.9118,0.0773,0.4946,34,31
EXP_20260312_095228_17-2031.00_T1_female,17-2031.00,Bioengineers and Biomedical Engineers,female,T1,0.6626,0.6185,0.9118,0.0441,0.478,34,31
EXP_20260312_095228_17-2031.00_T2_male,17-2031.00,Bioengineers and Biomedical Engineers,male,T2,0.4443,0.5023,1.0,0.058,0.529,34,34
EXP_20260312_095228_17-2031.00_T2_female,17-2031.00,Bioengineers and Biomedical Engineers,female,T2,0.5343,0.5023,0.9706,0.032,0.5013,34,33
EXP_20260312_095228_17-2031.00_T3_male,17-2031.00,Bioengineers and Biomedical Engineers,male,T3,0.7706,0.6866,0.8824,0.0839,0.4832,34,30
EXP_20260312_095228_17-2031.00_T3_female,17-2031.00,Bioengineers and Biomedical Engineers,female,T3,0.5565,0.6866,0.9412,0.1302,0.5357,34,32
EXP_20260312_095228_17-2111.02_T1_male,17-2111.02,Fire-Prevention and Protection Engineers,male,T1,0.5688,0.5081,0.95,0.0608,0.5054,40,38
EXP_20260312_095228_17-2111.02_T1_female,17-2111.02,Fire-Prevention and Protection Engineers,female,T1,0.5941,0.5081,0.95,0.086,0.518,40,38
EXP_20260312_095228_17-2111.02_T2_male,17-2111.02,Fire-Prevention and Protection Engineers,male,T2,0.4825,0.3747,1.0,0.1078,0.5539,40,40
EXP_20260312_095228_17-2111.02_T2_female,17-2111.02,Fire-Prevention and Protection Engineers,female,T2,0.5363,0.3747,0.95,0.1616,0.5558,40,38
EXP_20260312_095228_17-2111.02_T3_male,17-2111.02,Fire-Prevention and Protection Engineers,male,T3,0.5787,0.5524,0.95,0.0263,0.4882,40,38
EXP_20260312_095228_17-2111.02_T3_female,17-2111.02,Fire-Prevention and Protection Engineers,female,T3,0.8362,0.5524,0.925,0.2839,0.6044,40,37
EXP_20260312_095228_17-3022.00_T1_male,17-3022.00,Civil Engineering Technologists and Technicians,male,T1,0.613,0.5909,1.0,0.0221,0.511,20,20
EXP_20260312_095228_17-3022.00_T1_female,17-3022.00,Civil Engineering Technologists and Technicians,female,T1,0.6857,0.5909,0.9,0.0948,0.4974,20,18
EXP_20260312_095228_17-3022.00_T2_male,17-3022.00,Civil Engineering Technologists and Technicians,male,T2,0.6293,0.6331,0.9,0.0038,0.4519,20,18
EXP_20260312_095228_17-3022.00_T2_female,17-3022.00,Civil Engineering Technologists and Technicians,female,T2,0.5122,0.6331,0.95,0.1209,0.5354,20,19
EXP_20260312_095228_17-3022.00_T3_male,17-3022.00,Civil Engineering Technologists and Technicians,male,T3,0.6534,0.596,0.9,0.0574,0.4787,20,18
EXP_20260312_095228_17-3022.00_T3_female,17-3022.00,Civil Engineering Technologists and Technicians,female,T3,0.7251,0.596,0.95,0.1291,0.5396,20,19
EXP_20260312_095228_17-3027.00_T1_male,17-3027.00,Mechanical Engineering Technologists and Technicians,male,T1,0.6051,0.5895,0.963,0.0156,0.4893,27,26
EXP_20260312_095228_17-3027.00_T1_female,17-3027.00,Mechanical Engineering Technologists and Technicians,female,T1,0.6352,0.5895,0.9259,0.0457,0.4858,27,25
EXP_20260312_095228_17-3027.00_T2_male,17-3027.00,Mechanical Engineering Technologists and Technicians,male,T2,0.491,0.5738,1.0,0.0828,0.5414,27,27
EXP_20260312_095228_17-3027.00_T2_female,17-3027.00,Mechanical Engineering Technologists and Technicians,female,T2,0.5001,0.5738,0.963,0.0737,0.5184,27,26
EXP_20260312_095228_17-3027.00_T3_male,17-3027.00,Mechanical Engineering Technologists and Technicians,male,T3,0.6657,0.651,0.963,0.0147,0.4888,27,26
EXP_20260312_095228_17-3027.00_T3_female,17-3027.00,Mechanical Engineering Technologists and Technicians,female,T3,0.856,0.651,0.8889,0.205,0.547,27,24
EXP_20260312_095228_27-1012.00_T1_male,27-1012.00,Craft Artists,male,T1,0.6883,0.7178,0.9444,0.0295,0.487,18,17
EXP_20260312_095228_27-1012.00_T1_female,27-1012.00,Craft Artists,female,T1,0.6182,0.7178,0.9444,0.0995,0.522,18,17
EXP_20260312_095228_27-1012.00_T2_male,27-1012.00,Craft Artists,male,T2,0.4891,0.5739,0.9444,0.0848,0.5146,18,17
EXP_20260312_095228_27-1012.00_T2_female,27-1012.00,Craft Artists,female,T2,0.6066,0.5739,1.0,0.0327,0.5164,18,18
EXP_20260312_095228_27-1012.00_T3_male,27-1012.00,Craft Artists,male,T3,0.7371,0.7274,1.0,0.0097,0.5048,18,18
EXP_20260312_095228_27-1012.00_T3_female,27-1012.00,Craft Artists,female,T3,0.639,0.7274,0.9444,0.0884,0.5164,18,17
EXP_20260312_095228_27-1024.00_T1_male,27-1024.00,Graphic Designers,male,T1,0.6977,0.6171,0.9444,0.0806,0.5125,18,17
EXP_20260312_095228_27-1024.00_T2_male,27-1024.00,Graphic Designers,male,T2,0.4676,0.5392,1.0,0.0717,0.5359,18,18
EXP_20260312_095228_27-1024.00_T2_female,27-1024.00,Graphic Designers,female,T2,0.7439,0.5392,0.8889,0.2046,0.5468,18,16
EXP_20260312_095228_27-1024.00_T3_male,27-1024.00,Graphic Designers,male,T3,0.618,0.5869,0.8889,0.0311,0.46,18,16
