job_code,n_male,n_female,n_neutral,male_mean,female_mean,neutral_mean,cohens_d_male_female,effect_size_male_female,direction_male_female,cohens_d_male_neutral,effect_size_male_neutral,direction_male_neutral,cohens_d_female_neutral,effect_size_female_neutral,direction_female_neutral
11-1021.00,15,10,15,0.6115,0.5836,0.6568,0.1797,negligible,male > female,-0.296,small,neutral > male,-0.5069,medium,neutral > female
11-3013.00,10,15,15,0.6963,0.6612,0.5219,0.1859,negligible,male > female,0.9528,large,male > neutral,0.7509,medium,female > neutral
11-3061.00,15,15,15,0.5291,0.4743,0.6018,0.4294,small,male > female,-0.4327,small,neutral > male,-1.0279,large,neutral > female
11-3071.04,14,15,10,0.5608,0.5715,0.6031,-0.0737,negligible,female > male,-0.2482,small,neutral > male,-0.1963,negligible,neutral > female
11-9179.02,15,15,15,0.599,0.5938,0.61,0.0288,negligible,male > female,-0.0644,negligible,neutral > male,-0.0909,negligible,neutral > female
17-1012.00,10,15,15,0.6572,0.6731,0.5153,-0.0682,negligible,female > male,0.728,medium,male > neutral,0.7062,medium,female > neutral
17-2031.00,15,15,15,0.6369,0.5845,0.6025,0.2907,small,male > female,0.1602,negligible,male > neutral,-0.0899,negligible,neutral > female
17-2111.02,15,15,15,0.5434,0.6555,0.4784,-0.4863,small,female > male,0.3565,small,male > neutral,0.9129,large,female > neutral
17-3022.00,15,15,15,0.6319,0.641,0.6067,-0.0489,negligible,female > male,0.1302,negligible,male > neutral,0.1735,negligible,female > neutral
17-3027.00,15,15,15,0.5873,0.6638,0.6048,-0.3833,small,female > male,-0.0983,negligible,neutral > male,0.2892,small,female > neutral
27-1012.00,15,15,15,0.6382,0.6213,0.673,0.0929,negligible,male > female,-0.1872,negligible,neutral > male,-0.2947,small,neutral > female
27-1024.00,15,10,15,0.5944,0.7399,0.5811,-0.6582,medium,female > male,0.068,negligible,male > neutral,0.7687,medium,female > neutral
27-2012.04,15,15,15,0.6049,0.5397,0.5982,0.4004,small,male > female,0.0359,negligible,male > neutral,-0.3643,small,neutral > female
27-2012.05,15,15,15,0.6271,0.4693,0.6192,1.0508,large,male > female,0.049,negligible,male > neutral,-1.2196,large,neutral > female
27-2022.00,15,15,15,0.5965,0.5455,0.5461,0.3338,small,male > female,0.3411,small,male > neutral,-0.0047,negligible,neutral > female
51-2022.00,15,15,15,0.6258,0.6203,0.5901,0.0251,negligible,male > female,0.1788,negligible,male > neutral,0.1424,negligible,female > neutral
51-3091.00,15,15,15,0.6539,0.5547,0.7441,0.4575,small,male > female,-0.3838,small,neutral > male,-0.8258,large,neutral > female
51-4122.00,10,15,15,0.665,0.6054,0.5778,0.2877,small,male > female,0.414,small,male > neutral,0.1311,negligible,female > neutral
51-9071.00,15,15,15,0.6646,0.671,0.5835,-0.0263,negligible,female > male,0.3213,small,male > neutral,0.3614,small,female > neutral
51-9192.00,15,15,15,0.6895,0.6104,0.5926,0.3472,small,male > female,0.4458,small,male > neutral,0.0764,negligible,female > neutral
