job_code,male_alignment,female_alignment,neutral_alignment,male_coverage,female_coverage,neutral_coverage,delta_align_male_neutral,delta_align_female_neutral,delta_cov_male_neutral,delta_cov_female_neutral,delta_align_male_female,delta_cov_male_female
11-1021.00,0.6287,0.6021,0.6627,0.3925,0.3576,0.425,-0.034,-0.0606,-0.0325,-0.0674,0.0266,0.0349
11-3013.00,0.7069,0.6727,0.5421,0.3937,0.431,0.3783,0.1648,0.1306,0.0154,0.0527,0.0342,-0.0373
11-3061.00,0.58,0.4824,0.6137,0.3892,0.3426,0.4113,-0.0337,-0.1313,-0.0221,-0.0687,0.0976,0.0466
11-3071.04,0.5763,0.5819,0.6136,0.3821,0.4025,0.3971,-0.0373,-0.0317,-0.015,0.0054,-0.0056,-0.0204
11-9179.02,0.5941,0.5873,0.6389,0.4082,0.402,0.416,-0.0448,-0.0516,-0.0078,-0.014,0.0068,0.0062
17-1012.00,0.6935,0.7175,0.5522,0.3836,0.4126,0.3975,0.1413,0.1653,-0.0139,0.0151,-0.024,-0.029
17-2031.00,0.6692,0.5968,0.6245,0.3908,0.391,0.3974,0.0447,-0.0277,-0.0066,-0.0064,0.0724,-0.0002
17-2111.02,0.5752,0.6723,0.4923,0.3787,0.3958,0.3837,0.0829,0.18,-0.005,0.0121,-0.0971,-0.0171
17-3022.00,0.6805,0.6548,0.6658,0.4078,0.4096,0.3824,0.0147,-0.011,0.0254,0.0272,0.0257,-0.0018
17-3027.00,0.6065,0.6969,0.6491,0.4009,0.408,0.3794,-0.0426,0.0478,0.0215,0.0286,-0.0904,-0.0071
27-1012.00,0.6319,0.6417,0.6561,0.429,0.4394,0.4223,-0.0242,-0.0144,0.0067,0.0171,-0.0098,-0.0104
27-1024.00,0.6404,0.7392,0.6189,0.4022,0.4029,0.3875,0.0215,0.1203,0.0147,0.0154,-0.0988,-0.0007
27-2012.04,0.6232,0.5515,0.6069,0.4058,0.3882,0.4303,0.0163,-0.0554,-0.0245,-0.0421,0.0717,0.0176
27-2012.05,0.6509,0.4761,0.6189,0.4033,0.3415,0.3769,0.032,-0.1428,0.0264,-0.0354,0.1748,0.0618
27-2022.00,0.5894,0.5466,0.5451,0.4207,0.3826,0.3782,0.0443,0.0015,0.0425,0.0044,0.0428,0.0381
51-2022.00,0.6701,0.7084,0.6535,0.3793,0.4049,0.3808,0.0166,0.0549,-0.0015,0.0241,-0.0383,-0.0256
51-3091.00,0.682,0.5497,0.7804,0.4057,0.3759,0.4137,-0.0984,-0.2307,-0.008,-0.0378,0.1323,0.0298
51-4122.00,0.7226,0.6593,0.6446,0.3882,0.3761,0.3819,0.078,0.0147,0.0063,-0.0058,0.0633,0.0121
51-9071.00,0.7421,0.763,0.6725,0.4123,0.3989,0.3698,0.0696,0.0905,0.0425,0.0291,-0.0209,0.0134
51-9192.00,0.7294,0.6478,0.6437,0.4127,0.3963,0.3772,0.0857,0.0041,0.0355,0.0191,0.0816,0.0164
