job_code,male_weighted_mean,male_std,male_total_weight,female_weighted_mean,female_std,female_total_weight,neutral_weighted_mean,neutral_std,neutral_total_weight,male_delta_from_neutral,female_delta_from_neutral,male_female_difference
11-1021.00,0.6287,0.1562,11.5396,0.6021,0.1376,6.6813,0.6627,0.1393,11.5818,-0.034,-0.0606,0.0266
11-3013.00,0.7069,0.1771,7.0457,0.6727,0.1838,11.2806,0.5421,0.1744,9.8711,0.1648,0.1306,0.0342
11-3061.00,0.58,0.165,8.2761,0.4824,0.0561,10.9699,0.6137,0.16,11.7186,-0.0337,-0.1313,0.0976
11-3071.04,0.5763,0.1471,10.5903,0.5819,0.132,11.2381,0.6136,0.183,6.2549,-0.0373,-0.0317,-0.0056
11-9179.02,0.5941,0.1662,11.8933,0.5873,0.1797,11.7459,0.6389,0.1632,10.7224,-0.0448,-0.0516,0.0068
17-1012.00,0.6935,0.1902,7.8248,0.7175,0.243,11.9789,0.5522,0.1849,10.789,0.1413,0.1653,-0.024
17-2031.00,0.6692,0.1898,11.195,0.5968,0.1572,11.6783,0.6245,0.2241,11.1933,0.0447,-0.0277,0.0724
17-2111.02,0.5752,0.2134,11.0147,0.6723,0.232,12.0659,0.4923,0.1284,10.8276,0.0829,0.18,-0.0971
17-3022.00,0.6805,0.1756,9.0838,0.6548,0.1841,10.0132,0.6658,0.1982,8.5952,0.0147,-0.011,0.0257
17-3027.00,0.6065,0.167,9.3968,0.6969,0.2155,10.2284,0.6491,0.1768,9.8959,-0.0426,0.0478,-0.0904
27-1012.00,0.6319,0.1855,10.049,0.6417,0.1651,9.7532,0.6561,0.174,9.706,-0.0242,-0.0144,-0.0098
27-1024.00,0.6404,0.2018,9.5771,0.7392,0.2264,7.7078,0.6189,0.1768,10.7559,0.0215,0.1203,-0.0988
27-2012.04,0.6232,0.182,11.9382,0.5515,0.128,11.0221,0.6069,0.1782,11.6863,0.0163,-0.0554,0.0717
27-2012.05,0.6509,0.1763,11.4918,0.4761,0.1051,9.4022,0.6189,0.1311,11.3748,0.032,-0.1428,0.1748
27-2022.00,0.5894,0.1712,13.3564,0.5466,0.119,12.4939,0.5451,0.107,13.1042,0.0443,0.0015,0.0428
51-2022.00,0.6701,0.1983,8.0758,0.7084,0.2217,8.4841,0.6535,0.1876,7.8554,0.0166,0.0549,-0.0383
51-3091.00,0.682,0.2152,9.0271,0.5497,0.2034,9.4903,0.7804,0.2383,9.5911,-0.0984,-0.2307,0.1323
51-4122.00,0.7226,0.1958,5.5446,0.6593,0.2005,7.813,0.6446,0.206,6.4806,0.078,0.0147,0.0633
51-9071.00,0.7421,0.2446,7.9267,0.763,0.2241,7.2458,0.6725,0.2434,7.325,0.0696,0.0905,-0.0209
51-9192.00,0.7294,0.2054,8.0029,0.6478,0.2341,8.158,0.6437,0.2144,7.5443,0.0857,0.0041,0.0816
