job_code,male_alignment,female_alignment,neutral_alignment,male_coverage,female_coverage,neutral_coverage,delta_align_male_neutral,delta_align_female_neutral,delta_cov_male_neutral,delta_cov_female_neutral,delta_align_male_female,delta_cov_male_female
11-1021.00,0.572,0.5859,0.6404,0.3912,0.4128,0.4196,-0.0684,-0.0545,-0.0284,-0.0068,-0.0139,-0.0216
11-3013.00,0.7018,0.6954,0.7241,0.4066,0.4039,0.4226,-0.0223,-0.0287,-0.016,-0.0187,0.0064,0.0027
11-3061.00,0.5857,0.5897,0.4948,0.3974,0.3615,0.3633,0.0909,0.0949,0.0341,-0.0018,-0.004,0.0359
11-3071.04,0.5722,0.6313,0.551,0.3661,0.4141,0.3776,0.0212,0.0803,-0.0115,0.0365,-0.0591,-0.048
11-9179.02,0.5895,0.482,0.5477,0.3908,0.3814,0.3852,0.0418,-0.0657,0.0056,-0.0038,0.1075,0.0094
17-1012.00,0.6604,0.5953,0.7175,0.3943,0.3976,0.4028,-0.0571,-0.1222,-0.0085,-0.0052,0.0651,-0.0033
17-2031.00,0.6158,0.65,0.5907,0.4264,0.4079,0.3868,0.0251,0.0593,0.0396,0.0211,-0.0342,0.0185
17-2111.02,0.6195,0.6325,0.4801,0.3986,0.4126,0.3573,0.1394,0.1524,0.0413,0.0553,-0.013,-0.014
17-3022.00,0.7365,0.7015,0.6315,0.4035,0.3878,0.3887,0.105,0.07,0.0148,-0.0009,0.035,0.0157
17-3027.00,0.6549,0.6425,0.6662,0.3719,0.3571,0.3863,-0.0113,-0.0237,-0.0144,-0.0292,0.0124,0.0148
27-1012.00,0.716,0.6778,0.6512,0.4286,0.3981,0.4054,0.0648,0.0266,0.0232,-0.0073,0.0382,0.0305
27-1024.00,0.6992,0.6859,0.7254,0.3924,0.397,0.4117,-0.0262,-0.0395,-0.0193,-0.0147,0.0133,-0.0046
27-2012.04,0.5524,0.5837,0.5237,0.3996,0.4118,0.3848,0.0287,0.06,0.0148,0.027,-0.0313,-0.0122
27-2012.05,0.5717,0.5716,0.6329,0.3772,0.385,0.4032,-0.0612,-0.0613,-0.026,-0.0182,0.0001,-0.0078
27-2022.00,0.5667,0.5195,0.611,0.3973,0.3919,0.3898,-0.0443,-0.0915,0.0075,0.0021,0.0472,0.0054
51-2022.00,0.7094,0.6963,0.7203,0.3815,0.3723,0.4152,-0.0109,-0.024,-0.0337,-0.0429,0.0131,0.0092
51-3091.00,0.7353,0.5767,0.6491,0.4041,0.3889,0.4109,0.0862,-0.0724,-0.0068,-0.022,0.1586,0.0152
51-4122.00,0.6608,0.7739,0.636,0.3602,0.4003,0.38,0.0248,0.1379,-0.0198,0.0203,-0.1131,-0.0401
51-9071.00,0.6605,0.7427,0.679,0.3786,0.4118,0.3802,-0.0185,0.0637,-0.0016,0.0316,-0.0822,-0.0332
51-9192.00,0.6884,0.6634,0.6858,0.4104,0.399,0.3735,0.0026,-0.0224,0.0369,0.0255,0.025,0.0114
