job_code,n_male,n_female,mean_male,mean_female,mean_diff_male_vs_female,t_stat_male_vs_female,p_value_male_vs_female,equal_variances_male_vs_female,significant_05_male_vs_female,n_neutral,mean_neutral,mean_diff_male_vs_neutral,t_stat_male_vs_neutral,p_value_male_vs_neutral,equal_variances_male_vs_neutral,significant_05_male_vs_neutral,mean_diff_female_vs_neutral,t_stat_female_vs_neutral,p_value_female_vs_neutral,equal_variances_female_vs_neutral,significant_05_female_vs_neutral
11-1021.00,15,15,0.5582,0.5769,-0.0187,-0.3158,0.7545,True,False,15,0.6306,-0.0725,-1.1608,0.2555,True,False,-0.0537,-0.9034,0.374,True,False
11-3013.00,15,15,0.6679,0.6676,0.0002,0.003,0.9976,True,False,15,0.6875,-0.0197,-0.2553,0.8004,True,False,-0.0199,-0.2429,0.8098,True,False
11-3061.00,15,10,0.5693,0.5546,0.0147,0.1782,0.8601,True,False,15,0.4844,0.0849,1.3538,0.1866,True,False,0.0702,1.0787,0.2919,True,False
11-3071.04,10,15,0.5339,0.6227,-0.0888,-1.2506,0.2237,True,False,15,0.5347,-0.0008,-0.0138,0.9891,True,False,0.088,1.8271,0.0784,True,False
11-9179.02,15,15,0.5659,0.482,0.0839,1.1646,0.254,True,False,15,0.5418,0.0241,0.4267,0.6729,True,False,-0.0598,-0.9527,0.3489,True,False
17-1012.00,15,15,0.6378,0.5776,0.0602,0.8052,0.4275,True,False,15,0.6981,-0.0603,-0.7976,0.4318,True,False,-0.1205,-1.6423,0.1117,True,False
17-2031.00,15,15,0.6037,0.6229,-0.0192,-0.2511,0.8036,True,False,15,0.5968,0.0069,0.0945,0.9254,True,False,0.0261,0.3714,0.7131,True,False
17-2111.02,15,15,0.5968,0.619,-0.0222,-0.3281,0.7453,True,False,15,0.4515,0.1454,2.5512,0.0165,True,True,0.1676,3.3943,0.0021,True,True
17-3022.00,15,15,0.6851,0.6573,0.0279,0.3857,0.7027,True,False,15,0.595,0.0901,1.386,0.1767,True,False,0.0623,0.9628,0.3439,True,False
17-3027.00,15,15,0.6068,0.6084,-0.0016,-0.0225,0.9822,True,False,15,0.6168,-0.0099,-0.1387,0.8907,True,False,-0.0084,-0.1184,0.9066,True,False
27-1012.00,15,15,0.6965,0.658,0.0385,0.4911,0.6272,True,False,15,0.6136,0.0829,1.1462,0.2614,True,False,0.0443,0.5553,0.5831,True,False
27-1024.00,15,15,0.6641,0.6346,0.0295,0.3471,0.7311,True,False,15,0.7022,-0.0381,-0.4296,0.6708,True,False,-0.0675,-0.8004,0.4302,True,False
27-2012.04,15,15,0.5497,0.594,-0.0443,-0.6281,0.535,True,False,15,0.5335,0.0161,0.2742,0.786,True,False,0.0604,0.9663,0.3422,True,False
27-2012.05,15,15,0.5503,0.5456,0.0048,0.0845,0.9333,True,False,15,0.598,-0.0477,-0.7962,0.4326,True,False,-0.0525,-0.8466,0.4044,True,False
27-2022.00,15,15,0.5655,0.5136,0.0519,0.992,0.3297,True,False,15,0.617,-0.0516,-0.7683,0.4488,True,False,-0.1034,-1.7781,0.0862,True,False
51-2022.00,15,15,0.6267,0.6215,0.0051,0.067,0.9471,True,False,15,0.6762,-0.0495,-0.6294,0.5342,True,False,-0.0546,-0.6902,0.4957,True,False
51-3091.00,15,15,0.7201,0.5448,0.1753,2.4019,0.0232,True,True,15,0.6296,0.0905,1.2234,0.2314,True,False,-0.0848,-1.287,0.2086,True,False
51-4122.00,15,15,0.6365,0.6964,-0.0599,-0.6307,0.5334,True,False,14,0.5892,0.0472,0.5367,0.5959,True,False,0.1071,1.1973,0.2416,True,False
51-9071.00,15,15,0.6129,0.6759,-0.063,-0.765,0.4507,True,False,15,0.5963,0.0166,0.1975,0.8449,True,False,0.0796,0.9773,0.3368,True,False
51-9192.00,15,15,0.6315,0.6224,0.009,0.1089,0.9141,True,False,15,0.6119,0.0196,0.2291,0.8204,True,False,0.0106,0.1297,0.8977,True,False
