job_code,male_weighted_mean,male_std,male_total_weight,female_weighted_mean,female_std,female_total_weight,neutral_weighted_mean,neutral_std,neutral_total_weight,male_delta_from_neutral,female_delta_from_neutral,male_female_difference
11-1021.00,0.572,0.1647,10.8491,0.5859,0.1487,11.1762,0.6404,0.1656,11.2875,-0.0684,-0.0545,-0.0139
11-3013.00,0.7018,0.2016,10.0027,0.6954,0.2271,10.8282,0.7241,0.2058,10.6033,-0.0223,-0.0287,0.0064
11-3061.00,0.5857,0.1979,10.0531,0.5897,0.1862,6.4009,0.4948,0.1261,10.5372,0.0909,0.0949,-0.004
11-3071.04,0.5722,0.1896,6.5381,0.6313,0.1498,10.8646,0.551,0.1001,9.9876,0.0212,0.0803,-0.0591
11-9179.02,0.5895,0.1765,11.7794,0.482,0.2036,11.6618,0.5477,0.1166,11.4277,0.0418,-0.0657,0.1075
17-1012.00,0.6604,0.2036,12.2706,0.5953,0.1918,12.3431,0.7175,0.1964,12.789,-0.0571,-0.1222,0.0651
17-2031.00,0.6158,0.2094,10.2858,0.65,0.195,11.0575,0.5907,0.1767,11.4567,0.0251,0.0593,-0.0342
17-2111.02,0.6195,0.1943,11.1291,0.6325,0.1626,12.5485,0.4801,0.0876,9.8432,0.1394,0.1524,-0.013
17-3022.00,0.7365,0.1922,10.0018,0.7015,0.1904,8.7725,0.6315,0.1492,8.9471,0.105,0.07,0.035
17-3027.00,0.6549,0.1875,9.8466,0.6425,0.182,10.6217,0.6662,0.192,10.0661,-0.0113,-0.0237,0.0124
27-1012.00,0.716,0.1873,8.4338,0.6778,0.2261,10.1098,0.6512,0.1953,9.0145,0.0648,0.0266,0.0382
27-1024.00,0.6992,0.2357,10.1243,0.6859,0.2128,9.8285,0.7254,0.233,10.6851,-0.0262,-0.0395,0.0133
27-2012.04,0.5524,0.178,10.917,0.5837,0.1947,10.3681,0.5237,0.1298,10.821,0.0287,0.06,-0.0313
27-2012.05,0.5717,0.1438,10.7697,0.5716,0.1557,9.5101,0.6329,0.1719,10.3428,-0.0612,-0.0613,0.0001
27-2022.00,0.5667,0.1643,12.9702,0.5195,0.1063,11.528,0.611,0.19,12.8581,-0.0443,-0.0915,0.0472
51-2022.00,0.7094,0.2017,8.306,0.6963,0.2045,8.4815,0.7203,0.2142,8.4735,-0.0109,-0.024,0.0131
51-3091.00,0.7353,0.2127,10.063,0.5767,0.1713,8.2277,0.6491,0.1772,9.1502,0.0862,-0.0724,0.1586
51-4122.00,0.6608,0.2479,8.9574,0.7739,0.2547,8.2636,0.636,0.2057,6.968,0.0248,0.1379,-0.1131
51-9071.00,0.6605,0.225,7.3817,0.7427,0.2104,7.4842,0.679,0.2205,8.0017,-0.0185,0.0637,-0.0822
51-9192.00,0.6884,0.2298,8.5241,0.6634,0.2081,8.1676,0.6858,0.2222,7.7871,0.0026,-0.0224,0.025
