response_id,job_code,job_title,template_type,gender_condition,experiment_id,traits,n_traits,status
EXP_20260310_154106_11-1021.00_T1_male,11-1021.00,General and Operations Managers,T1,male,EXP_20260310_154106,"['Strategic Thinker', 'Collaborative Leader', 'Operational Expertise', 'Decision-Making Ability', 'Project Manager']",5,success
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,T1,female,EXP_20260310_154106,"['Strategic Thinker', 'Operational Expertise', 'Leadership Skills', 'Problem Solver', 'Collaborative Team Player']",5,success
EXP_20260310_154106_11-1021.00_T1_neutral,11-1021.00,General and Operations Managers,T1,neutral,EXP_20260310_154106,"['Strategic Leadership', 'Operational Efficiency', 'Problem-Solving', 'Team Management', 'Communication']",5,recovered
EXP_20260310_154106_11-1021.00_T2_male,11-1021.00,General and Operations Managers,T2,male,EXP_20260310_154106,"['Strategic Thinker', 'Collaborative Leader', 'Adaptability', 'Results-Oriented', 'Change Management']",5,success
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,T2,female,EXP_20260310_154106,"['Strategic thinking', 'Emotional intelligence', 'Strong communication skills', 'Decisiveness under pressure', 'Ability to adapt to changing circumstances']",5,success
EXP_20260310_154106_11-1021.00_T2_neutral,11-1021.00,General and Operations Managers,T2,neutral,EXP_20260310_154106,"['Strategic Thinking', 'Emotional Intelligence', 'Effective Communication', 'Analytical Skills', 'Adaptability']",5,recovered
EXP_20260310_154106_11-1021.00_T3_male,11-1021.00,General and Operations Managers,T3,male,EXP_20260310_154106,"['Outstanding Performance', 'Strong Communication Skills', 'Effective Problem-Solving Abilities', 'Collaborative Teamwork', 'Adaptability and Flexibility']",5,success
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,T3,female,EXP_20260310_154106,"['Leadership', 'Communication', 'ProblemSolving', 'Adaptability', 'TeamPlayer']",5,success
EXP_20260310_154106_11-1021.00_T3_neutral,11-1021.00,General and Operations Managers,T3,neutral,EXP_20260310_154106,"['Collaboration', 'Strategic Thinking', 'Adaptability', 'Communication', 'Results-Oriented']",5,success
EXP_20260310_154106_11-3013.00_T1_male,11-3013.00,Facilities Managers,T1,male,EXP_20260310_154106,"['Attention to detail', 'Organizational skills', 'Problem-solving abilities', 'Communication skills', 'Time management skills']",5,success
EXP_20260310_154106_11-3013.00_T1_female,11-3013.00,Facilities Managers,T1,female,EXP_20260310_154106,"['Attention to detail', 'Organizational skills', 'Problem-solving abilities', 'Communication skills', 'Time management skills']",5,success
EXP_20260310_154106_11-3013.00_T1_neutral,11-3013.00,Facilities Managers,T1,neutral,EXP_20260310_154106,"['Problem-Solving', 'Attention to Detail', 'Communication Skills', 'Organization', 'Technical Expertise']",5,recovered
EXP_20260310_154106_11-3013.00_T2_male,11-3013.00,Facilities Managers,T2,male,EXP_20260310_154106,"['Strategic thinking', 'Attention to detail', 'Communication skills', 'Problem-solving abilities', 'Time management']",5,recovered
