response_id,job_code,job_title,gender_condition,template_type,response_alignment,neutral_alignment,representation_gap,alignment_gap,overall_gap,n_critical_traits,n_missing_traits
EXP_20260412_234714_11-1021.00_T1_male,11-1021.00,General and Operations Managers,male,T1,0.6738,0.5768,0.8438,0.0969,0.4703,32,27
EXP_20260412_234714_11-1021.00_T1_female,11-1021.00,General and Operations Managers,female,T1,0.6398,0.5768,0.9375,0.063,0.5002,32,30
EXP_20260412_234714_11-1021.00_T2_male,11-1021.00,General and Operations Managers,male,T2,0.6922,0.5796,0.9062,0.1125,0.5093,32,29
EXP_20260412_234714_11-1021.00_T2_female,11-1021.00,General and Operations Managers,female,T2,0.6301,0.5796,0.875,0.0504,0.4627,32,28
EXP_20260412_234714_11-1021.00_T3_male,11-1021.00,General and Operations Managers,male,T3,0.6288,0.6261,0.8438,0.0027,0.4233,32,27
EXP_20260412_234714_11-1021.00_T3_female,11-1021.00,General and Operations Managers,female,T3,0.6155,0.6261,0.9062,0.0106,0.4584,32,29
EXP_20260412_234714_11-3012.00_T1_male,11-3012.00,Administrative Services Managers,male,T1,0.6111,0.6222,0.8889,0.0111,0.45,27,24
EXP_20260412_234714_11-3012.00_T1_female,11-3012.00,Administrative Services Managers,female,T1,0.6316,0.6222,0.8519,0.0094,0.4306,27,23
EXP_20260412_234714_11-3012.00_T2_male,11-3012.00,Administrative Services Managers,male,T2,0.557,0.6094,0.8889,0.0524,0.4707,27,24
EXP_20260412_234714_11-3012.00_T2_female,11-3012.00,Administrative Services Managers,female,T2,0.5814,0.6094,0.8519,0.0281,0.44,27,23
EXP_20260412_234714_11-3012.00_T3_male,11-3012.00,Administrative Services Managers,male,T3,0.7229,0.7059,0.8148,0.017,0.4159,27,22
EXP_20260412_234714_11-3012.00_T3_female,11-3012.00,Administrative Services Managers,female,T3,0.682,0.7059,0.8148,0.0239,0.4194,27,22
EXP_20260412_234714_11-3013.00_T1_male,11-3013.00,Facilities Managers,male,T1,0.5903,0.6473,0.963,0.057,0.51,27,26
EXP_20260412_234714_11-3013.00_T1_female,11-3013.00,Facilities Managers,female,T1,0.7033,0.6473,0.8519,0.056,0.454,27,23
EXP_20260412_234714_11-3013.00_T2_male,11-3013.00,Facilities Managers,male,T2,0.6214,0.5974,0.9259,0.024,0.4749,27,25
EXP_20260412_234714_11-3013.00_T2_female,11-3013.00,Facilities Managers,female,T2,0.5299,0.5974,1.0,0.0675,0.5337,27,27
EXP_20260412_234714_11-3013.00_T3_male,11-3013.00,Facilities Managers,male,T3,0.661,0.7807,0.8889,0.1197,0.5043,27,24
EXP_20260412_234714_11-3013.00_T3_female,11-3013.00,Facilities Managers,female,T3,0.6419,0.7807,0.9259,0.1388,0.5323,27,25
EXP_20260412_234714_11-3013.01_T1_male,11-3013.01,Security Managers,male,T1,0.6639,0.559,0.8235,0.105,0.4642,34,28
EXP_20260412_234714_11-3013.01_T1_female,11-3013.01,Security Managers,female,T1,0.6045,0.559,0.8529,0.0455,0.4492,34,29
