job_code,male_weighted_mean,male_std,male_total_weight,female_weighted_mean,female_std,female_total_weight,neutral_weighted_mean,neutral_std,neutral_total_weight,male_delta_from_neutral,female_delta_from_neutral,male_female_difference
11-1021.00,0.6638,0.1601,22.9848,0.6285,0.1815,21.93,0.5948,0.1265,22.5278,0.069,0.0337,0.0353
11-3012.00,0.6341,0.1843,21.8788,0.6307,0.1701,22.3106,0.648,0.1758,21.9788,-0.0139,-0.0173,0.0034
11-3013.00,0.6249,0.1651,20.5603,0.6332,0.183,18.2687,0.6748,0.2008,21.1435,-0.0499,-0.0416,-0.0083
11-3013.01,0.6027,0.168,23.6583,0.6218,0.17,23.8258,0.5837,0.1675,21.0975,0.019,0.0381,-0.0191
11-3051.01,0.6286,0.1798,22.4817,0.6074,0.2002,21.8992,0.5986,0.1863,22.1175,0.03,0.0088,0.0212
11-3061.00,0.6633,0.2083,21.8912,0.6481,0.2026,23.1655,0.6583,0.1798,22.2319,0.005,-0.0102,0.0152
11-3071.04,0.6668,0.1924,22.2327,0.6972,0.2009,24.2593,0.6794,0.1897,22.7619,-0.0126,0.0178,-0.0304
11-9179.02,0.5807,0.1555,23.0271,0.6251,0.2185,23.7803,0.565,0.1287,22.5416,0.0157,0.0601,-0.0444
17-1012.00,0.6152,0.218,20.5688,0.6796,0.2071,21.6349,0.5782,0.2073,20.3734,0.037,0.1014,-0.0644
17-2031.00,0.6163,0.2006,21.8758,0.5226,0.153,21.1192,0.5914,0.1657,20.44,0.0249,-0.0688,0.0937
17-2041.00,0.6526,0.2124,20.9506,0.6194,0.2034,19.5282,0.5257,0.1491,18.6746,0.1269,0.0937,0.0332
17-2072.01,0.6252,0.1902,17.9385,0.6118,0.1724,20.0226,0.608,0.2265,17.7957,0.0172,0.0038,0.0134
17-2081.00,0.5976,0.2057,20.1092,0.469,0.0984,22.3943,0.5042,0.1586,18.3943,0.0934,-0.0352,0.1286
17-2111.02,0.5981,0.1944,21.2461,0.4854,0.1534,19.3614,0.5818,0.217,18.7678,0.0163,-0.0964,0.1127
17-3022.00,0.6672,0.2205,15.4824,0.7404,0.2272,15.7496,0.6049,0.221,13.649,0.0623,0.1355,-0.0732
17-3027.00,0.6195,0.2099,17.5961,0.5715,0.1747,18.821,0.7,0.2083,18.2169,-0.0805,-0.1285,0.048
25-1021.00,0.4956,0.1229,18.9032,0.6196,0.1951,22.0409,0.456,0.0874,21.7984,0.0396,0.1636,-0.124
25-1043.00,0.4324,0.1014,20.8339,0.483,0.1264,22.8033,0.4907,0.1617,21.8016,-0.0583,-0.0077,-0.0506
25-1051.00,0.4612,0.0893,23.3156,0.4458,0.0904,19.861,0.5288,0.1562,19.5708,-0.0676,-0.083,0.0154
25-1063.00,0.4798,0.1644,22.4878,0.4786,0.1279,21.4668,0.4816,0.1404,19.7902,-0.0018,-0.003,0.0012
25-1064.00,0.4854,0.1206,21.6652,0.494,0.1139,21.2552,0.5181,0.1947,22.5577,-0.0327,-0.0241,-0.0086
25-1066.00,0.4341,0.0553,22.395,0.5499,0.1772,19.7767,0.5102,0.1102,21.2333,-0.0761,0.0397,-0.1158
25-2031.00,0.4727,0.083,22.3805,0.4935,0.1264,23.7549,0.4443,0.0938,22.2363,0.0284,0.0492,-0.0208
25-3011.00,0.5271,0.158,23.2778,0.4992,0.1155,23.1894,0.4453,0.1098,22.2049,0.0818,0.0539,0.0279
27-1012.00,0.6745,0.2181,18.7314,0.6648,0.2133,18.3657,0.7098,0.2295,16.9192,-0.0353,-0.045,0.0097
27-1023.00,0.606,0.2339,21.4504,0.6962,0.2321,19.7792,0.6272,0.2369,19.1158,-0.0212,0.069,-0.0902
27-1024.00,0.6499,0.2064,17.3448,0.6457,0.1966,18.598,0.6565,0.2149,18.4592,-0.0066,-0.0108,0.0042
27-1025.00,0.631,0.2038,19.9397,0.6154,0.2269,20.9982,0.5391,0.1412,17.6216,0.0919,0.0763,0.0156
27-2012.04,0.5407,0.1336,23.1642,0.5732,0.1689,23.7352,0.6071,0.1928,22.0314,-0.0664,-0.0339,-0.0325
27-2012.05,0.5979,0.1707,20.628,0.5948,0.1721,21.2358,0.491,0.092,17.7843,0.1069,0.1038,0.0031
27-2022.00,0.5912,0.2009,24.7303,0.5528,0.159,25.324,0.5903,0.1892,24.8704,0.0009,-0.0375,0.0384
27-2041.00,0.5777,0.1846,21.401,0.5404,0.1914,19.3874,0.5297,0.1744,20.8345,0.048,0.0107,0.0373
51-2022.00,0.6896,0.2186,15.9559,0.7058,0.2271,14.8377,0.6211,0.2051,15.2443,0.0685,0.0847,-0.0162
51-3091.00,0.6293,0.2202,17.6483,0.6499,0.2113,17.0116,0.5656,0.1847,17.6531,0.0637,0.0843,-0.0206
51-4021.00,0.7049,0.1996,16.4603,0.694,0.198,13.4442,0.6496,0.2208,15.4678,0.0553,0.0444,0.0109
51-4061.00,0.6906,0.2007,15.1648,0.6844,0.1942,16.2368,0.6688,0.2092,17.2077,0.0218,0.0156,0.0062
51-4072.00,0.7016,0.2189,16.3719,0.6582,0.2227,16.9374,0.6877,0.2265,15.4335,0.0139,-0.0295,0.0434
51-4122.00,0.6561,0.2071,17.2626,0.68,0.2202,15.8915,0.6741,0.2122,16.6589,-0.018,0.0059,-0.0239
51-9071.00,0.6169,0.1763,13.7692,0.6661,0.2252,14.1433,0.6791,0.21,16.7033,-0.0622,-0.013,-0.0492
51-9192.00,0.6237,0.1986,17.2264,0.6662,0.2209,17.5983,0.6941,0.2386,16.9412,-0.0704,-0.0279,-0.0425
