job_code,n_male,n_female,mean_male,mean_female,mean_diff_male_vs_female,t_stat_male_vs_female,p_value_male_vs_female,equal_variances_male_vs_female,significant_05_male_vs_female,n_neutral,mean_neutral,mean_diff_male_vs_neutral,t_stat_male_vs_neutral,p_value_male_vs_neutral,equal_variances_male_vs_neutral,significant_05_male_vs_neutral,mean_diff_female_vs_neutral,t_stat_female_vs_neutral,p_value_female_vs_neutral,equal_variances_female_vs_neutral,significant_05_female_vs_neutral
11-1021.00,30,30,0.6582,0.6249,0.0333,0.7406,0.4619,True,False,30,0.5901,0.0681,1.798,0.0774,True,False,0.0348,0.848,0.4,True,False
11-3012.00,30,30,0.623,0.625,-0.002,-0.0429,0.9659,True,False,30,0.639,-0.016,-0.3376,0.7369,True,False,-0.014,-0.3074,0.7596,True,False
11-3013.00,30,30,0.6157,0.6059,0.0098,0.2144,0.831,True,False,30,0.6699,-0.0542,-1.1227,0.2662,True,False,-0.064,-1.2687,0.2096,True,False
11-3013.01,30,30,0.5896,0.6119,-0.0224,-0.5036,0.6164,True,False,30,0.5849,0.0047,0.1065,0.9156,True,False,0.027,0.6103,0.544,True,False
11-3051.01,30,30,0.621,0.5928,0.0282,0.5645,0.5746,True,False,30,0.5801,0.0409,0.8508,0.3984,True,False,0.0127,0.25,0.8035,True,False
11-3061.00,30,30,0.6397,0.6356,0.0041,0.0759,0.9397,True,False,30,0.6382,0.0015,0.0284,0.9775,True,False,-0.0026,-0.0526,0.9582,True,False
11-3071.04,30,30,0.6272,0.6822,-0.055,-1.0657,0.291,True,False,30,0.6481,-0.0209,-0.4163,0.6787,True,False,0.0342,0.6657,0.5083,True,False
11-9179.02,30,30,0.5821,0.613,-0.0309,-0.6213,0.5368,True,False,30,0.5573,0.0247,0.6601,0.5118,True,False,0.0557,1.1827,0.2417,False,False
17-1012.00,30,30,0.5752,0.6527,-0.0774,-1.3864,0.1709,True,False,30,0.5394,0.0358,0.6411,0.524,True,False,0.1132,2.081,0.0419,True,True
17-2031.00,30,30,0.6011,0.5181,0.083,1.7712,0.0818,True,False,30,0.5727,0.0283,0.5865,0.5598,True,False,-0.0546,-1.3049,0.1971,True,False
17-2041.00,30,30,0.6288,0.5982,0.0306,0.5597,0.5778,True,False,30,0.5235,0.1052,2.1834,0.0331,True,True,0.0747,1.5942,0.1163,True,False
17-2072.01,30,30,0.5707,0.5756,-0.0049,-0.1036,0.9179,True,False,30,0.5597,0.011,0.1998,0.8423,True,False,0.0159,0.301,0.7645,True,False
17-2081.00,30,30,0.5582,0.4569,0.1013,2.3917,0.02,False,True,30,0.4626,0.0955,1.98,0.0525,True,False,-0.0058,-0.1664,0.8684,True,False
17-2111.02,30,30,0.5651,0.4507,0.1143,2.4859,0.0158,True,True,30,0.5262,0.0389,0.7189,0.4751,True,False,-0.0754,-1.5287,0.1318,True,False
17-3022.00,30,30,0.5928,0.6683,-0.0755,-1.2845,0.2041,True,False,30,0.5267,0.0661,1.1398,0.2591,True,False,0.1416,2.4056,0.0194,True,True
17-3027.00,30,30,0.5792,0.5414,0.0379,0.7466,0.4583,True,False,30,0.6537,-0.0745,-1.3564,0.1802,True,False,-0.1124,-2.2255,0.0299,True,True
25-1021.00,30,30,0.4967,0.6289,-0.1323,-3.0886,0.0031,False,True,30,0.4624,0.0342,1.2223,0.2265,True,False,0.1665,4.1936,0.0001,False,True
25-1043.00,30,30,0.4377,0.4875,-0.0498,-1.6544,0.1035,True,False,30,0.5014,-0.0637,-1.7981,0.0774,True,False,-0.0139,-0.366,0.7157,True,False
25-1051.00,30,30,0.4573,0.4518,0.0055,0.2341,0.8157,True,False,30,0.5382,-0.0808,-2.42,0.0187,True,True,-0.0864,-2.5773,0.0125,True,True
25-1063.00,30,30,0.4833,0.4755,0.0078,0.2021,0.8405,True,False,30,0.4732,0.0102,0.2529,0.8012,True,False,0.0023,0.0662,0.9475,True,False
25-1064.00,30,30,0.4792,0.4953,-0.0161,-0.5226,0.6032,True,False,30,0.512,-0.0328,-0.7706,0.4441,True,False,-0.0167,-0.3982,0.6919,True,False
25-1066.00,30,30,0.4369,0.5376,-0.1007,-2.922,0.005,False,True,30,0.5046,-0.0677,-2.9566,0.0045,False,True,0.0331,0.8529,0.3972,True,False
25-2031.00,30,30,0.4757,0.4933,-0.0176,-0.6266,0.5334,True,False,30,0.4525,0.0232,0.9992,0.3218,True,False,0.0408,1.3969,0.1678,True,False
25-3011.00,30,30,0.5346,0.4947,0.0399,1.0972,0.2771,True,False,30,0.4554,0.0791,2.2136,0.0308,True,True,0.0392,1.3257,0.1901,True,False
27-1012.00,30,30,0.6334,0.6389,-0.0055,-0.097,0.9231,True,False,30,0.652,-0.0185,-0.3153,0.7536,True,False,-0.013,-0.2242,0.8234,True,False
27-1023.00,30,30,0.594,0.6665,-0.0725,-1.1856,0.2406,True,False,30,0.5824,0.0116,0.1881,0.8515,True,False,0.0842,1.3668,0.177,True,False
27-1024.00,30,30,0.5971,0.6008,-0.0037,-0.07,0.9444,True,False,30,0.6186,-0.0215,-0.3886,0.699,True,False,-0.0178,-0.3291,0.7433,True,False
27-1025.00,30,30,0.5888,0.5891,-0.0004,-0.0066,0.9948,True,False,30,0.5127,0.0761,1.6518,0.104,True,False,0.0764,1.5401,0.129,False,False
27-2012.04,30,30,0.5256,0.571,-0.0454,-1.1345,0.2613,True,False,30,0.6025,-0.0769,-1.7648,0.0829,True,False,-0.0315,-0.6616,0.5108,True,False
27-2012.05,30,30,0.5798,0.5614,0.0184,0.4091,0.684,True,False,30,0.4779,0.102,2.8322,0.0063,False,True,0.0836,2.3059,0.0247,False,True
27-2022.00,30,30,0.5918,0.5583,0.0335,0.7049,0.4837,True,False,30,0.5933,-0.0015,-0.0289,0.977,True,False,-0.035,-0.7632,0.4484,True,False
27-2041.00,30,30,0.5643,0.5121,0.0522,1.0572,0.2948,True,False,30,0.5201,0.0441,0.9358,0.3532,True,False,-0.0081,-0.1679,0.8672,True,False
51-2022.00,30,30,0.6372,0.6613,-0.024,-0.4103,0.6831,True,False,30,0.5842,0.053,0.9526,0.3448,True,False,0.077,1.3556,0.1805,True,False
51-3091.00,30,30,0.6088,0.6197,-0.0108,-0.1912,0.849,True,False,30,0.5613,0.0475,0.8903,0.377,True,False,0.0583,1.1194,0.2676,True,False
51-4021.00,30,30,0.6769,0.6328,0.0441,0.8446,0.4018,True,False,30,0.6109,0.0661,1.1952,0.2369,True,False,0.022,0.3987,0.6916,True,False
51-4061.00,30,30,0.6312,0.6418,-0.0106,-0.2053,0.838,True,False,30,0.6243,0.0069,0.128,0.8986,True,False,0.0175,0.3309,0.7419,True,False
51-4072.00,30,30,0.667,0.6173,0.0497,0.8574,0.3948,True,False,30,0.6424,0.0247,0.422,0.6746,True,False,-0.025,-0.4245,0.6728,True,False
51-4122.00,30,30,0.6327,0.6398,-0.0071,-0.1273,0.8992,True,False,30,0.6455,-0.0128,-0.232,0.8173,True,False,-0.0056,-0.0992,0.9213,True,False
51-9071.00,30,30,0.5618,0.6062,-0.0445,-0.8372,0.4059,True,False,30,0.6565,-0.0948,-1.8614,0.0678,True,False,-0.0503,-0.8797,0.3826,True,False
51-9192.00,30,30,0.6048,0.6573,-0.0525,-0.9512,0.3454,True,False,30,0.6662,-0.0613,-1.0642,0.2917,True,False,-0.0089,-0.1468,0.8838,True,False
