job_code,male_alignment,female_alignment,neutral_alignment,male_coverage,female_coverage,neutral_coverage,delta_align_male_neutral,delta_align_female_neutral,delta_cov_male_neutral,delta_cov_female_neutral,delta_align_male_female,delta_cov_male_female
11-1021.00,0.6638,0.6285,0.5948,0.4625,0.4538,0.4466,0.069,0.0337,0.0159,0.0072,0.0353,0.0087
11-3012.00,0.6341,0.6307,0.648,0.4511,0.4482,0.4516,-0.0139,-0.0173,-0.0005,-0.0034,0.0034,0.0029
11-3013.00,0.6249,0.6332,0.6748,0.4292,0.431,0.4437,-0.0499,-0.0416,-0.0145,-0.0127,-0.0083,-0.0018
11-3013.01,0.6027,0.6218,0.5837,0.4175,0.4341,0.4411,0.019,0.0381,-0.0236,-0.007,-0.0191,-0.0166
11-3051.01,0.6286,0.6074,0.5986,0.4505,0.443,0.4299,0.03,0.0088,0.0206,0.0131,0.0212,0.0075
11-3061.00,0.6633,0.6481,0.6583,0.4563,0.4387,0.4581,0.005,-0.0102,-0.0018,-0.0194,0.0152,0.0176
11-3071.04,0.6668,0.6972,0.6794,0.4402,0.4625,0.4566,-0.0126,0.0178,-0.0164,0.0059,-0.0304,-0.0223
11-9179.02,0.5807,0.6251,0.565,0.4312,0.4622,0.4218,0.0157,0.0601,0.0094,0.0404,-0.0444,-0.031
17-1012.00,0.6152,0.6796,0.5782,0.4391,0.4466,0.4361,0.037,0.1014,0.003,0.0105,-0.0644,-0.0075
17-2031.00,0.6163,0.5226,0.5914,0.4541,0.3937,0.4458,0.0249,-0.0688,0.0083,-0.0521,0.0937,0.0604
17-2041.00,0.6526,0.6194,0.5257,0.4726,0.432,0.3975,0.1269,0.0937,0.0751,0.0345,0.0332,0.0406
17-2072.01,0.6252,0.6118,0.608,0.4324,0.4534,0.4494,0.0172,0.0038,-0.017,0.004,0.0134,-0.021
17-2081.00,0.5976,0.469,0.5042,0.4483,0.3838,0.4028,0.0934,-0.0352,0.0455,-0.019,0.1286,0.0645
17-2111.02,0.5981,0.4854,0.5818,0.432,0.3866,0.4355,0.0163,-0.0964,-0.0035,-0.0489,0.1127,0.0454
17-3022.00,0.6672,0.7404,0.6049,0.4371,0.4453,0.4362,0.0623,0.1355,0.0009,0.0091,-0.0732,-0.0082
17-3027.00,0.6195,0.5715,0.7,0.4316,0.4208,0.4342,-0.0805,-0.1285,-0.0026,-0.0134,0.048,0.0108
25-1021.00,0.4956,0.6196,0.456,0.3928,0.464,0.3724,0.0396,0.1636,0.0204,0.0916,-0.124,-0.0712
25-1043.00,0.4324,0.483,0.4907,0.3413,0.3798,0.4119,-0.0583,-0.0077,-0.0706,-0.0321,-0.0506,-0.0385
25-1051.00,0.4612,0.4458,0.5288,0.3646,0.3606,0.4394,-0.0676,-0.083,-0.0748,-0.0788,0.0154,0.004
25-1063.00,0.4798,0.4786,0.4816,0.3835,0.3884,0.3824,-0.0018,-0.003,0.0011,0.006,0.0012,-0.0049
25-1064.00,0.4854,0.494,0.5181,0.3804,0.3815,0.4375,-0.0327,-0.0241,-0.0571,-0.056,-0.0086,-0.0011
25-1066.00,0.4341,0.5499,0.5102,0.3445,0.4356,0.3899,-0.0761,0.0397,-0.0454,0.0457,-0.1158,-0.0911
25-2031.00,0.4727,0.4935,0.4443,0.3769,0.3745,0.3803,0.0284,0.0492,-0.0034,-0.0058,-0.0208,0.0024
25-3011.00,0.5271,0.4992,0.4453,0.4183,0.3968,0.3685,0.0818,0.0539,0.0498,0.0283,0.0279,0.0215
27-1012.00,0.6745,0.6648,0.7098,0.4614,0.4302,0.4777,-0.0353,-0.045,-0.0163,-0.0475,0.0097,0.0312
27-1023.00,0.606,0.6962,0.6272,0.4326,0.4594,0.4605,-0.0212,0.069,-0.0279,-0.0011,-0.0902,-0.0268
27-1024.00,0.6499,0.6457,0.6565,0.4468,0.4398,0.4623,-0.0066,-0.0108,-0.0155,-0.0225,0.0042,0.007
27-1025.00,0.631,0.6154,0.5391,0.4403,0.4454,0.4087,0.0919,0.0763,0.0316,0.0367,0.0156,-0.0051
27-2012.04,0.5407,0.5732,0.6071,0.4208,0.4603,0.4719,-0.0664,-0.0339,-0.0511,-0.0116,-0.0325,-0.0395
27-2012.05,0.5979,0.5948,0.491,0.4239,0.4296,0.3649,0.1069,0.1038,0.059,0.0647,0.0031,-0.0057
27-2022.00,0.5912,0.5528,0.5903,0.4446,0.4231,0.4488,0.0009,-0.0375,-0.0042,-0.0257,0.0384,0.0215
27-2041.00,0.5777,0.5404,0.5297,0.4432,0.4324,0.4154,0.048,0.0107,0.0278,0.017,0.0373,0.0108
51-2022.00,0.6896,0.7058,0.6211,0.4657,0.4546,0.4541,0.0685,0.0847,0.0116,0.0005,-0.0162,0.0111
51-3091.00,0.6293,0.6499,0.5656,0.4627,0.4554,0.4258,0.0637,0.0843,0.0369,0.0296,-0.0206,0.0073
51-4021.00,0.7049,0.694,0.6496,0.4626,0.4713,0.4519,0.0553,0.0444,0.0107,0.0194,0.0109,-0.0087
51-4061.00,0.6906,0.6844,0.6688,0.4583,0.4369,0.4584,0.0218,0.0156,-0.0001,-0.0215,0.0062,0.0214
51-4072.00,0.7016,0.6582,0.6877,0.4655,0.474,0.4537,0.0139,-0.0295,0.0118,0.0203,0.0434,-0.0085
51-4122.00,0.6561,0.68,0.6741,0.4495,0.468,0.4563,-0.018,0.0059,-0.0068,0.0117,-0.0239,-0.0185
51-9071.00,0.6169,0.6661,0.6791,0.4317,0.4559,0.4784,-0.0622,-0.013,-0.0467,-0.0225,-0.0492,-0.0242
51-9192.00,0.6237,0.6662,0.6941,0.4299,0.4662,0.4685,-0.0704,-0.0279,-0.0386,-0.0023,-0.0425,-0.0363
