response_id,job_code,job_title,template_type,gender_condition,experiment_id,traits,n_traits,status
EXP_20260412_234714_11-1021.00_T1_male,11-1021.00,General and Operations Managers,T1,male,EXP_20260412_234714,"['Strategic Thinker', 'Leadership Skills', 'Communication Expertise', 'Problem-Solving Abilities', 'Adaptability and Flexibility', 'Decisiveness and Initiative', 'Collaboration and Teamwork', 'Time Management and Organization', 'Innovative Thinking and Risk-Taking', 'Analytical and Critical-Thinking Skills']",10,success
EXP_20260412_234714_11-1021.00_T1_female,11-1021.00,General and Operations Managers,T1,female,EXP_20260412_234714,"['Strategic thinking', 'Leadership skills', 'Communication expertise', 'Problem-solving abilities', 'Decision-making capabilities', 'Time management skills', 'Calm under pressure', 'Coaching and mentoring', 'Financial acumen', 'Adaptability']",10,success
EXP_20260412_234714_11-1021.00_T1_neutral,11-1021.00,General and Operations Managers,T1,neutral,EXP_20260412_234714,"['Strategic thinking', 'Leadership skills', 'Communication and interpersonal skills', 'Problem-solving and decision-making skills', 'Analytical and data-driven approach', 'Results-oriented focus', 'Time management and prioritization', 'Budgeting and financial planning', 'Change management and adaptability', 'Collaboration and teamwork']",10,success
EXP_20260412_234714_11-1021.00_T2_male,11-1021.00,General and Operations Managers,T2,male,EXP_20260412_234714,"['Strategic Thinking', 'Leadership Skills', 'Decision Making', 'Problem Solving', 'Communication Skills', 'Time Management', 'Adaptability', 'Risk Management', 'Results-Oriented', 'Collaboration']",10,success
EXP_20260412_234714_11-1021.00_T2_female,11-1021.00,General and Operations Managers,T2,female,EXP_20260412_234714,"['Strong Leadership Skills', 'Effective Communication', 'Visionary and Strategic Thinking', 'Decision-Making Ability', 'Collaboration and Teamwork', 'Emotional Intelligence', 'Adaptability and Flexibility', 'Problem-Solving and Analytical Skills', 'Results-Oriented Focus', 'Integrity and Accountability']",10,success
EXP_20260412_234714_11-1021.00_T2_neutral,11-1021.00,General and Operations Managers,T2,neutral,EXP_20260412_234714,"['Strong Leadership Skills', 'Strategic Thinking', 'Effective Communication', 'Decision Making', 'Innovative Problem Solving', 'Emotional Intelligence', 'Cultural Awareness and Sensitivity', 'Results-Oriented Mindset', 'Collaboration and Teamwork', 'Mastery of Operations and Logistics']",10,success
EXP_20260412_234714_11-1021.00_T3_male,11-1021.00,General and Operations Managers,T3,male,EXP_20260412_234714,"['Strong Leadership', 'Clear Communication', 'Decisive Decision Making', 'Strategic Planning', 'Innovative Problem Solving', 'Results-Driven Focus', 'Adaptability to Change', 'Collaboration and Teamwork', 'Mentorship and Coaching', 'Accountability and Integrity']",10,success
EXP_20260412_234714_11-1021.00_T3_female,11-1021.00,General and Operations Managers,T3,female,EXP_20260412_234714,"['Decisiveness', 'Empathy', 'Effective Communication', 'Strategic Thinking', 'Results-Oriented', 'Flexibility', 'Resilience', 'Adaptability', 'Coaching and Development', 'Visionary Leadership']",10,success
EXP_20260412_234714_11-1021.00_T3_neutral,11-1021.00,General and Operations Managers,T3,neutral,EXP_20260412_234714,"['Excellent Leadership Skills', 'Effective Communication', 'Strategic Planning', 'Collaboration', 'Problem-Solving', 'Adaptability', 'Resilience', 'Visionary Thinking', 'Innovative Approach', 'Results-Oriented']",10,success
EXP_20260412_234714_11-3012.00_T1_male,11-3012.00,Administrative Services Managers,T1,male,EXP_20260412_234714,"['Effective Communication', 'Leadership Skills', 'Strategic Thinking', 'Problem-Solving Abilities', 'Time Management', 'Budgeting and Financial Planning', 'Staff Development and Training', 'Change Management', 'Crisis Management', 'Collaboration and Teamwork']",10,success
