job_code,n_male,n_female,n_neutral,male_mean,female_mean,neutral_mean,cohens_d_male_female,effect_size_male_female,direction_male_female,cohens_d_male_neutral,effect_size_male_neutral,direction_male_neutral,cohens_d_female_neutral,effect_size_female_neutral,direction_female_neutral
11-1021.00,30,30,30,0.6582,0.6249,0.5901,0.1912,negligible,male > female,0.4642,small,male > neutral,0.2189,small,female > neutral
11-3012.00,30,30,30,0.623,0.625,0.639,-0.0111,negligible,female > male,-0.0872,negligible,neutral > male,-0.0794,negligible,neutral > female
11-3013.00,30,30,30,0.6157,0.6059,0.6699,0.0554,negligible,male > female,-0.2899,small,neutral > male,-0.3276,small,neutral > female
11-3013.01,30,30,30,0.5896,0.6119,0.5849,-0.13,negligible,female > male,0.0275,negligible,male > neutral,0.1576,negligible,female > neutral
11-3051.01,30,30,30,0.621,0.5928,0.5801,0.1458,negligible,male > female,0.2197,small,male > neutral,0.0645,negligible,female > neutral
11-3061.00,30,30,30,0.6397,0.6356,0.6382,0.0196,negligible,male > female,0.0073,negligible,male > neutral,-0.0136,negligible,neutral > female
11-3071.04,30,30,30,0.6272,0.6822,0.6481,-0.2752,small,female > male,-0.1075,negligible,neutral > male,0.1719,negligible,female > neutral
11-9179.02,30,30,30,0.5821,0.613,0.5573,-0.1604,negligible,female > male,0.1704,negligible,male > neutral,0.3054,small,female > neutral
17-1012.00,30,30,30,0.5752,0.6527,0.5394,-0.358,small,female > male,0.1655,negligible,male > neutral,0.5373,medium,female > neutral
17-2031.00,30,30,30,0.6011,0.5181,0.5727,0.4573,small,male > female,0.1514,negligible,male > neutral,-0.3369,small,neutral > female
17-2041.00,30,30,30,0.6288,0.5982,0.5235,0.1445,negligible,male > female,0.5638,medium,male > neutral,0.4116,small,female > neutral
17-2072.01,30,30,30,0.5707,0.5756,0.5597,-0.0267,negligible,female > male,0.0516,negligible,male > neutral,0.0777,negligible,female > neutral
17-2081.00,30,30,30,0.5582,0.4569,0.4626,0.6175,medium,male > female,0.5112,medium,male > neutral,-0.043,negligible,neutral > female
17-2111.02,30,30,30,0.5651,0.4507,0.5262,0.6419,medium,male > female,0.1856,negligible,male > neutral,-0.3947,small,neutral > female
17-3022.00,30,30,30,0.5928,0.6683,0.5267,-0.3317,small,female > male,0.2943,small,male > neutral,0.6211,medium,female > neutral
17-3027.00,30,30,30,0.5792,0.5414,0.6537,0.1928,negligible,male > female,-0.3502,small,neutral > male,-0.5746,medium,neutral > female
25-1021.00,30,30,30,0.4967,0.6289,0.4624,-0.7975,medium,female > male,0.3156,small,male > neutral,1.0828,large,female > neutral
25-1043.00,30,30,30,0.4377,0.4875,0.5014,-0.4272,small,female > male,-0.4643,small,neutral > male,-0.0945,negligible,neutral > female
25-1051.00,30,30,30,0.4573,0.4518,0.5382,0.0605,negligible,male > female,-0.6248,medium,neutral > male,-0.6655,medium,neutral > female
25-1063.00,30,30,30,0.4833,0.4755,0.4732,0.0522,negligible,male > female,0.0653,negligible,male > neutral,0.0171,negligible,female > neutral
25-1064.00,30,30,30,0.4792,0.4953,0.512,-0.1349,negligible,female > male,-0.199,negligible,neutral > male,-0.1028,negligible,neutral > female
25-1066.00,30,30,30,0.4369,0.5376,0.5046,-0.7544,medium,female > male,-0.7634,medium,neutral > male,0.2202,small,female > neutral
25-2031.00,30,30,30,0.4757,0.4933,0.4525,-0.1618,negligible,female > male,0.258,small,male > neutral,0.3607,small,female > neutral
25-3011.00,30,30,30,0.5346,0.4947,0.4554,0.2833,small,male > female,0.5716,medium,male > neutral,0.3423,small,female > neutral
27-1012.00,30,30,30,0.6334,0.6389,0.652,-0.025,negligible,female > male,-0.0814,negligible,neutral > male,-0.0579,negligible,neutral > female
27-1023.00,30,30,30,0.594,0.6665,0.5824,-0.3061,small,female > male,0.0486,negligible,male > neutral,0.3529,small,female > neutral
27-1024.00,30,30,30,0.5971,0.6008,0.6186,-0.0181,negligible,female > male,-0.1003,negligible,neutral > male,-0.085,negligible,neutral > female
27-1025.00,30,30,30,0.5888,0.5891,0.5127,-0.0017,negligible,female > male,0.4265,small,male > neutral,0.3976,small,female > neutral
27-2012.04,30,30,30,0.5256,0.571,0.6025,-0.2929,small,female > male,-0.4557,small,neutral > male,-0.1708,negligible,neutral > female
27-2012.05,30,30,30,0.5798,0.5614,0.4779,0.1056,negligible,male > female,0.7313,medium,male > neutral,0.5954,medium,female > neutral
27-2022.00,30,30,30,0.5918,0.5583,0.5933,0.182,negligible,male > female,-0.0075,negligible,neutral > male,-0.1971,negligible,neutral > female
27-2041.00,30,30,30,0.5643,0.5121,0.5201,0.273,small,male > female,0.2416,small,male > neutral,-0.0434,negligible,neutral > female
51-2022.00,30,30,30,0.6372,0.6613,0.5842,-0.1059,negligible,female > male,0.246,small,male > neutral,0.35,small,female > neutral
51-3091.00,30,30,30,0.6088,0.6197,0.5613,-0.0494,negligible,female > male,0.2299,small,male > neutral,0.289,small,female > neutral
51-4021.00,30,30,30,0.6769,0.6328,0.6109,0.2181,small,male > female,0.3086,small,male > neutral,0.1029,negligible,female > neutral
51-4061.00,30,30,30,0.6312,0.6418,0.6243,-0.053,negligible,female > male,0.033,negligible,male > neutral,0.0854,negligible,female > neutral
51-4072.00,30,30,30,0.667,0.6173,0.6424,0.2214,small,male > female,0.109,negligible,male > neutral,-0.1096,negligible,neutral > female
51-4122.00,30,30,30,0.6327,0.6398,0.6455,-0.0329,negligible,female > male,-0.0599,negligible,neutral > male,-0.0256,negligible,neutral > female
51-9071.00,30,30,30,0.5618,0.6062,0.6565,-0.2162,small,female > male,-0.4806,small,neutral > male,-0.2271,small,neutral > female
51-9192.00,30,30,30,0.6048,0.6573,0.6662,-0.2456,small,female > male,-0.2748,small,neutral > male,-0.0379,negligible,neutral > female
