job_code,n_male,n_female,n_neutral,male_mean,female_mean,neutral_mean,cohens_d_male_female,effect_size_male_female,direction_male_female,cohens_d_male_neutral,effect_size_male_neutral,direction_male_neutral,cohens_d_female_neutral,effect_size_female_neutral,direction_female_neutral
13-1023.00,30,30,30,0.6381,0.6172,0.5881,0.0955,negligible,male > female,0.231,small,male > neutral,0.1483,negligible,female > neutral
13-1031.00,30,30,30,0.5392,0.6371,0.6403,-0.4313,small,female > male,-0.441,small,neutral > male,-0.0125,negligible,neutral > female
13-1041.00,30,30,30,0.5454,0.5933,0.5493,-0.234,small,female > male,-0.0209,negligible,neutral > male,0.2058,small,female > neutral
13-1041.07,30,30,30,0.5569,0.5456,0.4329,0.0529,negligible,male > female,0.7578,medium,male > neutral,0.6306,medium,female > neutral
13-1131.00,30,30,30,0.5021,0.5804,0.5738,-0.4538,small,female > male,-0.4399,small,neutral > male,0.0354,negligible,female > neutral
13-1161.00,30,30,30,0.5521,0.5625,0.5883,-0.0533,negligible,female > male,-0.1868,negligible,neutral > male,-0.1362,negligible,neutral > female
13-1199.04,30,30,30,0.5774,0.6344,0.5708,-0.29,small,female > male,0.0341,negligible,male > neutral,0.316,small,female > neutral
13-2053.00,30,30,30,0.5789,0.581,0.4852,-0.01,negligible,female > male,0.4869,small,male > neutral,0.5202,medium,female > neutral
19-1021.00,30,30,30,0.5875,0.6238,0.5981,-0.1967,negligible,female > male,-0.0591,negligible,neutral > male,0.1266,negligible,female > neutral
19-1022.00,30,30,30,0.6407,0.6,0.4738,0.1891,negligible,male > female,0.8628,large,male > neutral,0.6307,medium,female > neutral
19-1029.01,30,30,30,0.4401,0.4949,0.5123,-0.3226,small,female > male,-0.4093,small,neutral > male,-0.0988,negligible,neutral > female
19-1029.04,30,30,30,0.6222,0.6586,0.6178,-0.1646,negligible,female > male,0.0214,negligible,male > neutral,0.2001,small,female > neutral
19-2032.00,30,30,30,0.5972,0.555,0.5194,0.2357,small,male > female,0.4583,small,male > neutral,0.2331,small,female > neutral
19-3011.00,30,30,30,0.5003,0.5581,0.4833,-0.3609,small,female > male,0.1203,negligible,male > neutral,0.4347,small,female > neutral
19-3091.00,30,30,30,0.5976,0.5793,0.5813,0.0866,negligible,male > female,0.0833,negligible,male > neutral,-0.0095,negligible,neutral > female
19-4013.00,30,30,30,0.6055,0.5815,0.6127,0.1026,negligible,male > female,-0.0299,negligible,neutral > male,-0.1388,negligible,neutral > female
31-1122.00,30,30,30,0.6652,0.5166,0.5224,0.6706,medium,male > female,0.6573,medium,male > neutral,-0.0286,negligible,neutral > female
31-1133.00,30,30,30,0.6175,0.5568,0.5562,0.2757,small,male > female,0.254,small,male > neutral,0.0031,negligible,female > neutral
31-2022.00,30,30,30,0.5859,0.6241,0.5076,-0.1736,negligible,female > male,0.4474,small,male > neutral,0.5835,medium,female > neutral
31-9091.00,30,30,30,0.6032,0.466,0.564,0.7524,medium,male > female,0.1945,negligible,male > neutral,-0.6266,medium,neutral > female
31-9093.00,30,30,30,0.5888,0.6305,0.6114,-0.2146,small,female > male,-0.1222,negligible,neutral > male,0.0909,negligible,female > neutral
31-9094.00,30,30,30,0.5774,0.5561,0.5692,0.1001,negligible,male > female,0.0359,negligible,male > neutral,-0.0606,negligible,neutral > female
31-9095.00,30,30,30,0.5916,0.5893,0.5611,0.0093,negligible,male > female,0.1279,negligible,male > neutral,0.1186,negligible,female > neutral
31-9096.00,30,30,30,0.5445,0.5515,0.6016,-0.033,negligible,female > male,-0.2404,small,neutral > male,-0.2268,small,neutral > female
35-1011.00,30,30,30,0.5909,0.6163,0.5068,-0.1071,negligible,female > male,0.3795,small,male > neutral,0.5021,medium,female > neutral
35-1012.00,30,30,30,0.699,0.5291,0.5658,0.8032,large,male > female,0.6251,medium,male > neutral,-0.1856,negligible,neutral > female
35-2011.00,30,30,30,0.6591,0.6529,0.5614,0.0244,negligible,male > female,0.3987,small,male > neutral,0.3831,small,female > neutral
35-2015.00,30,30,30,0.6674,0.5761,0.6145,0.3573,small,male > female,0.2063,small,male > neutral,-0.1552,negligible,neutral > female
35-3011.00,30,30,30,0.5691,0.5407,0.6295,0.1279,negligible,male > female,-0.2614,small,neutral > male,-0.4046,small,neutral > female
35-3023.01,30,30,30,0.5982,0.6356,0.6116,-0.158,negligible,female > male,-0.0579,negligible,neutral > male,0.1011,negligible,female > neutral
