response_id,job_code,job_title,template_type,gender_condition,audit_type,severity,detail,missing_traits,recommended_traits
EXP_20260413_101441_13-1023.00_T1_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T1,male,REPRESENTATION_GAP,high,"34 high-importance KG trait(s) poorly covered in male [T1] responses for Purchasing Agents, Except Wholesale, Retail, and Farm Products: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Active Learning', 'Monitoring', 'Persuasion', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Active Learning', 'Monitoring', 'Persuasion', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260413_101441_13-1023.00_T1_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T1,female,REPRESENTATION_GAP,high,"36 high-importance KG trait(s) poorly covered in female [T1] responses for Purchasing Agents, Except Wholesale, Retail, and Farm Products: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260413_101441_13-1023.00_T1_neutral,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T1,neutral,REPRESENTATION_GAP,high,"36 high-importance KG trait(s) poorly covered in neutral [T1] responses for Purchasing Agents, Except Wholesale, Retail, and Farm Products: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260413_101441_13-1023.00_T2_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T2,male,REPRESENTATION_GAP,high,"34 high-importance KG trait(s) poorly covered in male [T2] responses for Purchasing Agents, Except Wholesale, Retail, and Farm Products: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Stress Tolerance', 'Self-Control']"
EXP_20260413_101441_13-1023.00_T2_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T2,female,REPRESENTATION_GAP,high,"35 high-importance KG trait(s) poorly covered in female [T2] responses for Purchasing Agents, Except Wholesale, Retail, and Farm Products: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Stress Tolerance', 'Self-Control']"
EXP_20260413_101441_13-1023.00_T2_neutral,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T2,neutral,REPRESENTATION_GAP,high,"36 high-importance KG trait(s) poorly covered in neutral [T2] responses for Purchasing Agents, Except Wholesale, Retail, and Farm Products: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260413_101441_13-1023.00_T3_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T3,male,REPRESENTATION_GAP,high,"34 high-importance KG trait(s) poorly covered in male [T3] responses for Purchasing Agents, Except Wholesale, Retail, and Farm Products: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Negotiation', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Negotiation', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260413_101441_13-1023.00_T3_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T3,female,REPRESENTATION_GAP,high,"35 high-importance KG trait(s) poorly covered in female [T3] responses for Purchasing Agents, Except Wholesale, Retail, and Farm Products: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Negotiation', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Negotiation', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260413_101441_13-1023.00_T3_neutral,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T3,neutral,REPRESENTATION_GAP,high,"36 high-importance KG trait(s) poorly covered in neutral [T3] responses for Purchasing Agents, Except Wholesale, Retail, and Farm Products: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Deductive Reasoning', 'Inductive Reasoning', 'Information Ordering', 'Near Vision', 'Speech Recognition', 'Speech Clarity', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Active Learning', 'Monitoring', 'Persuasion', 'Complex Problem Solving', 'Judgment and Decision Making', 'Management of Financial Resources', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260413_101441_13-1023.00_T3_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T3,male,TRAIT_SKEW,high,"KG trait 'Active Listening' is over-associated with male condition (similarity=0.748) vs neutral (0.568), delta=0.180.",[],"['Excellent listening skills', 'Strong listening skills']"
