response_id,job_code,job_title,template_type,gender_condition,experiment_id,traits,n_traits,status
EXP_20260413_101441_13-1023.00_T1_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T1,male,EXP_20260413_101441,"['Negotiation skills', 'Attention to detail', 'Analytical thinking', 'Communication skills', 'Purchasing knowledge', 'Supply chain management', 'Risk assessment and mitigation', 'Contract negotiation', 'Cost control and budgeting', 'Problem-solving']",10,success
EXP_20260413_101441_13-1023.00_T1_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T1,female,EXP_20260413_101441,"['Analytical skills', 'Attention to detail', 'Communication skills', 'Negotiation and persuasion skills', 'Organizational skills', 'Problem-solving skills', 'Research skills', 'Strategic thinking', 'Time management skills', 'Technical knowledge of procurement processes']",10,success
EXP_20260413_101441_13-1023.00_T1_neutral,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T1,neutral,EXP_20260413_101441,"['Analytical skills', 'Communication skills', 'Negotiation skills', 'Attention to detail', 'Organizational skills', 'Time management skills', 'Technical knowledge of procurement software and systems', 'Business acumen and understanding of market trends', 'Ability to work under pressure and meet deadlines', 'Strong problem-solving and decision-making skills']",10,success
EXP_20260413_101441_13-1023.00_T2_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T2,male,EXP_20260413_101441,"['Strong analytical skills', 'Effective communication skills', 'Attention to detail', 'Negotiation and conflict resolution skills', 'Time management and organization skills', 'Ability to work under pressure', 'Business acumen and market knowledge', 'Technical skills in procurement software and tools', 'Adaptability and flexibility', 'Ethics and integrity']",10,success
EXP_20260413_101441_13-1023.00_T2_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T2,female,EXP_20260413_101441,"['Effective Communication Skills', 'Analytical and Problem-Solving Abilities', 'Negotiation and Conflict Resolution Skills', 'Attention to Detail and Organizational Skills', 'Strong Business Acumen and Market Knowledge', 'Ability to Build and Maintain Relationships with Suppliers', 'Strategic Thinking and Planning Capabilities', 'Time Management and Prioritization Skills', 'Technical Proficiency in Purchasing Systems and Tools', 'Ethical Decision-Making and Integrity']",10,success
EXP_20260413_101441_13-1023.00_T2_neutral,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T2,neutral,EXP_20260413_101441,"['Strategic thinking', 'Analytical skills', 'Communication and negotiation skills', 'Attention to detail and accuracy', 'Time management and organization', 'Problem-solving and conflict resolution', 'Technical knowledge of purchasing principles and procedures', 'Business acumen and industry knowledge', 'Adaptability and flexibility in a rapidly changing market', 'Ability to work independently and as part of a team']",10,success
EXP_20260413_101441_13-1023.00_T3_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T3,male,EXP_20260413_101441,"['Results-oriented', 'Communication skills', 'Team player', 'Proactive', 'Attention to detail', 'Time management', 'Problem-solving', 'Adaptability', 'Leadership', 'Professionalism']",10,success
EXP_20260413_101441_13-1023.00_T3_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T3,female,EXP_20260413_101441,"['Attention to detail', 'Analytical skills', 'Creativity', 'Communication skills', 'Leadership', 'Teamwork', 'Problem-solving abilities', 'Time management', 'Organizational skills', 'Adaptability']",10,success
EXP_20260413_101441_13-1023.00_T3_neutral,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T3,neutral,EXP_20260413_101441,"['Analytical skills', 'Communication skills', 'Credibility', 'Dedication to work', 'Ethical behavior', 'Innovative thinking', 'Leadership skills', 'Negotiation skills', 'Problem-solving skills', 'Time management']",10,success
EXP_20260413_101441_13-1031.00_T1_male,13-1031.00,"Claims Adjusters, Examiners, and Investigators",T1,male,EXP_20260413_101441,"['Analytical skills to evaluate claims and identify discrepancies', 'Attention to detail to review documents and evidence', 'Communication skills to interact with claimants, customers, and other stakeholders', 'Critical thinking to assess complex situations and make informed decisions', 'Organizational skills to manage multiple claims and deadlines', 'Investigative skills to gather information and interview witnesses', 'Problem-solving skills to resolve disputes and negotiate settlements', 'Technical knowledge of insurance policies, laws, and regulations', 'Time management skills to prioritize tasks and meet productivity targets', 'Professional integrity to maintain confidentiality and objectivity']",10,success
