job_code,male_alignment,female_alignment,neutral_alignment,male_coverage,female_coverage,neutral_coverage,delta_align_male_neutral,delta_align_female_neutral,delta_cov_male_neutral,delta_cov_female_neutral,delta_align_male_female,delta_cov_male_female
13-1023.00,0.6804,0.6467,0.6174,0.4656,0.4537,0.4402,0.063,0.0293,0.0254,0.0135,0.0337,0.0119
13-1031.00,0.5704,0.7094,0.6808,0.423,0.447,0.4489,-0.1104,0.0286,-0.0259,-0.0019,-0.139,-0.024
13-1041.00,0.5829,0.5983,0.5486,0.4262,0.4532,0.4297,0.0343,0.0497,-0.0035,0.0235,-0.0154,-0.027
13-1041.07,0.5878,0.5952,0.4669,0.431,0.4317,0.3745,0.1209,0.1283,0.0565,0.0572,-0.0074,-0.0007
13-1131.00,0.5175,0.5894,0.5674,0.4235,0.4545,0.4599,-0.0499,0.022,-0.0364,-0.0054,-0.0719,-0.031
13-1161.00,0.5636,0.5736,0.6247,0.4283,0.4396,0.457,-0.0611,-0.0511,-0.0287,-0.0174,-0.01,-0.0113
13-1199.04,0.6052,0.6453,0.5964,0.4415,0.4635,0.4582,0.0088,0.0489,-0.0167,0.0053,-0.0401,-0.022
13-2053.00,0.6136,0.6189,0.5256,0.4534,0.4676,0.4142,0.088,0.0933,0.0392,0.0534,-0.0053,-0.0142
19-1021.00,0.6043,0.649,0.6046,0.4283,0.4555,0.4261,-0.0003,0.0444,0.0022,0.0294,-0.0447,-0.0272
19-1022.00,0.657,0.6075,0.481,0.4512,0.44,0.3834,0.176,0.1265,0.0678,0.0566,0.0495,0.0112
19-1029.01,0.4461,0.5271,0.5314,0.3687,0.4067,0.4061,-0.0853,-0.0043,-0.0374,0.0006,-0.081,-0.038
19-1029.04,0.6594,0.6814,0.6405,0.4541,0.4451,0.4537,0.0189,0.0409,0.0004,-0.0086,-0.022,0.009
19-2032.00,0.634,0.5806,0.5395,0.4514,0.4334,0.403,0.0945,0.0411,0.0484,0.0304,0.0534,0.018
19-3011.00,0.5092,0.5638,0.4945,0.4118,0.4534,0.4092,0.0147,0.0693,0.0026,0.0442,-0.0546,-0.0416
19-3091.00,0.6139,0.6057,0.5842,0.4429,0.4456,0.4479,0.0297,0.0215,-0.005,-0.0023,0.0082,-0.0027
19-4013.00,0.6494,0.6086,0.6417,0.4423,0.4429,0.4435,0.0077,-0.0331,-0.0012,-0.0006,0.0408,-0.0006
31-1122.00,0.6826,0.5432,0.5311,0.4627,0.4283,0.4278,0.1515,0.0121,0.0349,0.0005,0.1394,0.0344
31-1133.00,0.631,0.5687,0.5587,0.4479,0.4446,0.4374,0.0723,0.01,0.0105,0.0072,0.0623,0.0033
31-2022.00,0.6046,0.6573,0.5182,0.4574,0.472,0.4398,0.0864,0.1391,0.0176,0.0322,-0.0527,-0.0146
31-9091.00,0.6368,0.476,0.579,0.4476,0.3798,0.4336,0.0578,-0.103,0.014,-0.0538,0.1608,0.0678
31-9093.00,0.6266,0.7028,0.6476,0.4289,0.4339,0.4361,-0.021,0.0552,-0.0072,-0.0022,-0.0762,-0.005
31-9094.00,0.5969,0.5792,0.5807,0.4406,0.4346,0.4323,0.0162,-0.0015,0.0083,0.0023,0.0177,0.006
31-9095.00,0.6525,0.6399,0.6049,0.4419,0.4582,0.461,0.0476,0.035,-0.0191,-0.0028,0.0126,-0.0163
31-9096.00,0.59,0.5678,0.6231,0.4362,0.3999,0.449,-0.0331,-0.0553,-0.0128,-0.0491,0.0222,0.0363
35-1011.00,0.6035,0.6461,0.5141,0.4428,0.4504,0.4193,0.0894,0.132,0.0235,0.0311,-0.0426,-0.0076
35-1012.00,0.7082,0.5282,0.5663,0.4747,0.4066,0.4319,0.1419,-0.0381,0.0428,-0.0253,0.18,0.0681
35-2011.00,0.6838,0.6752,0.5491,0.4551,0.4503,0.4219,0.1347,0.1261,0.0332,0.0284,0.0086,0.0048
35-2015.00,0.7213,0.6305,0.6649,0.4751,0.4332,0.4511,0.0564,-0.0344,0.024,-0.0179,0.0908,0.0419
35-3011.00,0.5898,0.5642,0.6495,0.4172,0.4335,0.4306,-0.0597,-0.0853,-0.0134,0.0029,0.0256,-0.0163
35-3023.01,0.6164,0.6727,0.647,0.448,0.4354,0.437,-0.0306,0.0257,0.011,-0.0016,-0.0563,0.0126
35-3041.00,0.7157,0.5293,0.6103,0.4861,0.4475,0.4548,0.1054,-0.081,0.0313,-0.0073,0.1864,0.0386
35-9031.00,0.5448,0.6184,0.6368,0.4647,0.4791,0.4728,-0.092,-0.0184,-0.0081,0.0063,-0.0736,-0.0144
51-2041.00,0.6769,0.6773,0.6548,0.4728,0.4692,0.4718,0.0221,0.0225,0.001,-0.0026,-0.0004,0.0036
51-2092.00,0.6354,0.6031,0.7071,0.4537,0.4568,0.4742,-0.0717,-0.104,-0.0205,-0.0174,0.0323,-0.0031
51-3022.00,0.6378,0.6307,0.5543,0.4503,0.4509,0.4207,0.0835,0.0764,0.0296,0.0302,0.0071,-0.0006
51-4023.00,0.6427,0.706,0.7015,0.4633,0.4439,0.4775,-0.0588,0.0045,-0.0142,-0.0336,-0.0633,0.0194
51-5112.00,0.7253,0.6867,0.6274,0.4891,0.469,0.4636,0.0979,0.0593,0.0255,0.0054,0.0386,0.0201
51-6061.00,0.7377,0.6578,0.6193,0.4764,0.4711,0.463,0.1184,0.0385,0.0134,0.0081,0.0799,0.0053
51-8091.00,0.6285,0.6987,0.5926,0.4481,0.4433,0.4348,0.0359,0.1061,0.0133,0.0085,-0.0702,0.0048
51-9081.00,0.6758,0.6518,0.6999,0.4569,0.4581,0.4627,-0.0241,-0.0481,-0.0058,-0.0046,0.024,-0.0012
