job_code,n_male,n_female,mean_male,mean_female,mean_diff_male_vs_female,t_stat_male_vs_female,p_value_male_vs_female,equal_variances_male_vs_female,significant_05_male_vs_female,n_neutral,mean_neutral,mean_diff_male_vs_neutral,t_stat_male_vs_neutral,p_value_male_vs_neutral,equal_variances_male_vs_neutral,significant_05_male_vs_neutral,mean_diff_female_vs_neutral,t_stat_female_vs_neutral,p_value_female_vs_neutral,equal_variances_female_vs_neutral,significant_05_female_vs_neutral
13-1023.00,30,30,0.6381,0.6172,0.0209,0.3699,0.7128,True,False,30,0.5881,0.05,0.8945,0.3747,True,False,0.0291,0.5744,0.5679,True,False
13-1031.00,30,30,0.5392,0.6371,-0.0979,-1.6705,0.1002,True,False,30,0.6403,-0.101,-1.7081,0.093,True,False,-0.0031,-0.0484,0.9615,True,False
13-1041.00,30,30,0.5454,0.5933,-0.0478,-0.9064,0.3685,True,False,30,0.5493,-0.0039,-0.0808,0.9359,True,False,0.0439,0.7972,0.4286,True,False
13-1041.07,30,30,0.5569,0.5456,0.0113,0.205,0.8383,True,False,30,0.4329,0.124,2.935,0.0048,True,True,0.1127,2.4424,0.0177,False,True
13-1131.00,30,30,0.5021,0.5804,-0.0782,-1.7577,0.0841,True,False,30,0.5738,-0.0717,-1.7037,0.0938,True,False,0.0065,0.1372,0.8914,True,False
13-1161.00,30,30,0.5521,0.5625,-0.0104,-0.2064,0.8372,True,False,30,0.5883,-0.0362,-0.7236,0.4722,True,False,-0.0258,-0.5275,0.5999,True,False
13-1199.04,30,30,0.5774,0.6344,-0.0571,-1.1231,0.266,True,False,30,0.5708,0.0066,0.1323,0.8952,True,False,0.0636,1.2239,0.226,True,False
13-2053.00,30,30,0.5789,0.581,-0.0021,-0.0386,0.9693,True,False,30,0.4852,0.0938,1.8858,0.0643,True,False,0.0958,2.0147,0.0486,True,True
19-1021.00,30,30,0.5875,0.6238,-0.0363,-0.7619,0.4492,True,False,30,0.5981,-0.0106,-0.2287,0.8199,True,False,0.0257,0.4902,0.6259,True,False
19-1022.00,30,30,0.6407,0.6,0.0406,0.7325,0.4668,True,False,30,0.4738,0.1669,3.3417,0.0015,True,True,0.1262,2.4428,0.0176,True,True
19-1029.01,30,30,0.4401,0.4949,-0.0548,-1.2496,0.2165,True,False,30,0.5123,-0.0722,-1.5852,0.1184,True,False,-0.0174,-0.3825,0.7035,True,False
19-1029.04,30,30,0.6222,0.6586,-0.0363,-0.6377,0.5262,True,False,30,0.6178,0.0045,0.0829,0.9342,True,False,0.0408,0.775,0.4415,True,False
19-2032.00,30,30,0.5972,0.555,0.0422,0.9127,0.3652,True,False,30,0.5194,0.0778,1.7749,0.0812,True,False,0.0356,0.903,0.3703,True,False
19-3011.00,30,30,0.5003,0.5581,-0.0578,-1.3977,0.1675,True,False,30,0.4833,0.017,0.4658,0.6431,True,False,0.0748,1.6838,0.0976,True,False
19-3091.00,30,30,0.5976,0.5793,0.0183,0.3354,0.7385,True,False,30,0.5813,0.0163,0.3225,0.7482,True,False,-0.002,-0.0368,0.9708,True,False
19-4013.00,30,30,0.6055,0.5815,0.024,0.3974,0.6925,True,False,30,0.6127,-0.0072,-0.116,0.9081,True,False,-0.0311,-0.5377,0.5929,True,False
31-1122.00,30,30,0.6652,0.5166,0.1486,2.5973,0.0119,True,True,30,0.5224,0.1428,2.5458,0.0136,True,True,-0.0058,-0.1108,0.9122,True,False
31-1133.00,30,30,0.6175,0.5568,0.0607,1.0676,0.2901,True,False,30,0.5562,0.0613,0.9839,0.3293,True,False,0.0007,0.0122,0.9903,True,False
31-2022.00,30,30,0.5859,0.6241,-0.0382,-0.6722,0.5041,True,False,30,0.5076,0.0783,1.7329,0.0884,True,False,0.1165,2.2597,0.0276,False,True
31-9091.00,30,30,0.6032,0.466,0.1372,2.9142,0.0051,False,True,30,0.564,0.0392,0.7532,0.4544,True,False,-0.098,-2.4269,0.0184,True,True
31-9093.00,30,30,0.5888,0.6305,-0.0417,-0.8312,0.4093,True,False,30,0.6114,-0.0226,-0.4731,0.6379,True,False,0.0191,0.3519,0.7262,True,False
31-9094.00,30,30,0.5774,0.5561,0.0213,0.3876,0.6997,True,False,30,0.5692,0.0082,0.1389,0.89,True,False,-0.0131,-0.2346,0.8153,True,False
31-9095.00,30,30,0.5916,0.5893,0.0023,0.0361,0.9713,True,False,30,0.5611,0.0305,0.4954,0.6222,True,False,0.0282,0.4593,0.6477,True,False
31-9096.00,30,30,0.5445,0.5515,-0.007,-0.1279,0.8987,True,False,30,0.6016,-0.0571,-0.9312,0.3556,True,False,-0.0501,-0.8784,0.3833,True,False
35-1011.00,30,30,0.5909,0.6163,-0.0255,-0.4149,0.6798,True,False,30,0.5068,0.084,1.4696,0.1471,True,False,0.1095,1.9447,0.0567,True,False
35-1012.00,30,30,0.699,0.5291,0.1699,3.1107,0.0029,True,True,30,0.5658,0.1332,2.421,0.0186,True,True,-0.0367,-0.7188,0.4752,True,False
