job_code,male_weighted_mean,male_std,male_total_weight,female_weighted_mean,female_std,female_total_weight,neutral_weighted_mean,neutral_std,neutral_total_weight,male_delta_from_neutral,female_delta_from_neutral,male_female_difference
13-1023.00,0.6804,0.2334,20.7299,0.6467,0.1956,20.3077,0.6174,0.1904,19.9213,0.063,0.0293,0.0337
13-1031.00,0.5704,0.1989,18.2407,0.7094,0.245,17.4727,0.6808,0.2488,18.0476,-0.1104,0.0286,-0.139
13-1041.00,0.5829,0.1738,19.2639,0.5983,0.2248,20.2066,0.5486,0.1937,20.2833,0.0343,0.0497,-0.0154
13-1041.07,0.5878,0.1976,19.79,0.5952,0.2214,17.8625,0.4669,0.1127,16.0917,0.1209,0.1283,-0.0074
13-1131.00,0.5175,0.1466,21.7702,0.5894,0.1896,21.5534,0.5674,0.1728,20.7513,-0.0499,0.022,-0.0719
13-1161.00,0.5636,0.197,22.8192,0.5736,0.1881,22.2938,0.6247,0.1838,20.8597,-0.0611,-0.0511,-0.01
13-1199.04,0.6052,0.1842,20.9907,0.6453,0.2023,22.8229,0.5964,0.1935,21.6863,0.0088,0.0489,-0.0401
13-2053.00,0.6136,0.2107,16.8563,0.6189,0.1958,16.9233,0.5256,0.1652,15.9782,0.088,0.0933,-0.0053
19-1021.00,0.6043,0.1553,22.2358,0.649,0.2044,20.7058,0.6046,0.1952,20.3217,-0.0003,0.0444,-0.0447
19-1022.00,0.657,0.2049,20.9567,0.6075,0.2171,21.2783,0.481,0.1741,22.2242,0.176,0.1265,0.0495
19-1029.01,0.4461,0.1676,16.8417,0.5271,0.1665,17.4183,0.5314,0.1791,17.5092,-0.0853,-0.0043,-0.081
19-1029.04,0.6594,0.2208,21.6525,0.6814,0.2132,19.3308,0.6405,0.1869,20.0142,0.0189,0.0409,-0.022
19-2032.00,0.634,0.1904,19.145,0.5806,0.1602,19.3783,0.5395,0.1394,19.35,0.0945,0.0411,0.0534
19-3011.00,0.5092,0.1245,18.12,0.5638,0.1845,20.2967,0.4945,0.1522,20.0667,0.0147,0.0693,-0.0546
19-3091.00,0.6139,0.1939,20.71,0.6057,0.2208,21.825,0.5842,0.1912,20.9683,0.0297,0.0215,0.0082
19-4013.00,0.6494,0.244,17.3432,0.6086,0.2142,18.1846,0.6417,0.2267,17.2617,0.0077,-0.0331,0.0408
31-1122.00,0.6826,0.2318,19.1292,0.5432,0.203,19.6158,0.5311,0.1938,18.3325,0.1515,0.0121,0.1394
31-1133.00,0.631,0.2466,22.2783,0.5687,0.1812,22.4075,0.5587,0.2277,23.46,0.0723,0.01,0.0623
31-2022.00,0.6046,0.1946,20.2404,0.6573,0.2361,20.3464,0.5182,0.1461,18.4909,0.0864,0.1391,-0.0527
31-9091.00,0.6368,0.2186,18.5547,0.476,0.1283,19.754,0.579,0.1754,19.9303,0.0578,-0.103,0.1608
31-9093.00,0.6266,0.1634,15.5742,0.7028,0.2152,14.2004,0.6476,0.1984,15.551,-0.021,0.0552,-0.0762
31-9094.00,0.5969,0.2222,17.8292,0.5792,0.1952,16.4775,0.5807,0.228,18.8408,0.0162,-0.0015,0.0177
31-9095.00,0.6525,0.2485,17.3154,0.6399,0.2466,17.0575,0.6049,0.2194,17.718,0.0476,0.035,0.0126
31-9096.00,0.59,0.2267,18.3933,0.5678,0.1911,18.5479,0.6231,0.2404,20.3915,-0.0331,-0.0553,0.0222
35-1011.00,0.6035,0.2368,24.1876,0.6461,0.2306,22.2593,0.5141,0.1969,23.7796,0.0894,0.132,-0.0426
35-1012.00,0.7082,0.2221,22.6106,0.5282,0.1928,19.9173,0.5663,0.1961,22.9227,0.1419,-0.0381,0.18
35-2011.00,0.6838,0.2532,17.4407,0.6752,0.2417,16.001,0.5491,0.2279,16.5425,0.1347,0.1261,0.0086
35-2015.00,0.7213,0.2601,17.8865,0.6305,0.2422,16.0401,0.6649,0.2442,16.6125,0.0564,-0.0344,0.0908
35-3011.00,0.5898,0.2294,18.118,0.5642,0.2057,17.79,0.6495,0.2255,18.7444,-0.0597,-0.0853,0.0256
35-3023.01,0.6164,0.2272,18.7856,0.6727,0.2375,18.8471,0.647,0.2281,18.8163,-0.0306,0.0257,-0.0563
35-3041.00,0.7157,0.2396,19.8391,0.5293,0.1773,19.1967,0.6103,0.216,16.6754,0.1054,-0.081,0.1864
35-9031.00,0.5448,0.2234,18.8167,0.6184,0.2017,18.402,0.6368,0.2318,17.2976,-0.092,-0.0184,-0.0736
51-2041.00,0.6769,0.215,14.1399,0.6773,0.1958,14.1645,0.6548,0.1924,14.7367,0.0221,0.0225,-0.0004
51-2092.00,0.6354,0.2032,18.4916,0.6031,0.1579,17.7242,0.7071,0.2058,18.3668,-0.0717,-0.104,0.0323
51-3022.00,0.6378,0.2251,17.8275,0.6307,0.249,17.594,0.5543,0.1823,16.0378,0.0835,0.0764,0.0071
51-4023.00,0.6427,0.1992,17.6219,0.706,0.2217,18.4012,0.7015,0.209,18.0461,-0.0588,0.0045,-0.0633
51-5112.00,0.7253,0.2275,16.8765,0.6867,0.2039,16.3774,0.6274,0.164,17.0688,0.0979,0.0593,0.0386
51-6061.00,0.7377,0.2177,18.4942,0.6578,0.2159,17.5498,0.6193,0.2071,15.5876,0.1184,0.0385,0.0799
51-8091.00,0.6285,0.2385,18.8537,0.6987,0.2302,16.4364,0.5926,0.1796,18.5279,0.0359,0.1061,-0.0702
51-9081.00,0.6758,0.2652,16.7858,0.6518,0.2109,15.65,0.6999,0.245,16.6608,-0.0241,-0.0481,0.024
