job_code,n_male,n_female,mean_male,mean_female,mean_diff_male_vs_female,t_stat_male_vs_female,p_value_male_vs_female,equal_variances_male_vs_female,significant_05_male_vs_female,n_neutral,mean_neutral,mean_diff_male_vs_neutral,t_stat_male_vs_neutral,p_value_male_vs_neutral,equal_variances_male_vs_neutral,significant_05_male_vs_neutral,mean_diff_female_vs_neutral,t_stat_female_vs_neutral,p_value_female_vs_neutral,equal_variances_female_vs_neutral,significant_05_female_vs_neutral
13-1022.00,30,30,0.5512,0.5923,-0.0411,-0.7388,0.463,True,False,30,0.5734,-0.0222,-0.4451,0.6579,True,False,0.0189,0.3344,0.7393,True,False
13-1023.00,30,30,0.5454,0.6402,-0.0948,-1.8618,0.0677,True,False,30,0.6213,-0.0759,-1.4865,0.1426,True,False,0.0189,0.3438,0.7322,True,False
13-1032.00,30,30,0.5958,0.5566,0.0392,0.6835,0.497,True,False,30,0.5877,0.0081,0.1454,0.8849,True,False,-0.0311,-0.5716,0.5698,True,False
13-1041.00,30,30,0.6229,0.4992,0.1237,2.3634,0.0215,False,True,30,0.5359,0.087,1.6422,0.106,True,False,-0.0367,-0.8685,0.3887,True,False
13-1081.02,30,30,0.6481,0.6597,-0.0116,-0.2187,0.8277,True,False,30,0.6248,0.0232,0.4416,0.6604,True,False,0.0348,0.6662,0.5079,True,False
13-1161.01,30,30,0.5374,0.4572,0.0802,2.2343,0.0293,True,True,30,0.467,0.0704,1.8115,0.0752,True,False,-0.0098,-0.2655,0.7916,True,False
13-1199.06,30,30,0.5559,0.5947,-0.0388,-0.6604,0.5116,True,False,30,0.6222,-0.0663,-1.1725,0.2458,True,False,-0.0275,-0.4398,0.6617,True,False
13-2099.01,30,30,0.5625,0.5169,0.0456,1.2419,0.2193,True,False,30,0.5365,0.0259,0.6074,0.546,True,False,-0.0196,-0.4668,0.6424,True,False
15-1211.01,30,30,0.4948,0.5273,-0.0325,-0.7651,0.4473,True,False,30,0.4389,0.0559,1.4904,0.1415,True,False,0.0884,1.9756,0.053,True,False
15-1212.00,30,30,0.4881,0.5503,-0.0622,-1.263,0.2116,True,False,30,0.4716,0.0165,0.3785,0.7065,True,False,0.0787,1.5714,0.1215,True,False
