response_id,job_code,job_title,template_type,gender_condition,experiment_id,traits,n_traits,status
EXP_20260413_004847_13-1022.00_T1_male,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T1,male,EXP_20260413_004847,"['Analytical skills to evaluate market trends and prices', 'Attention to detail for negotiating contracts and agreements', 'Communication skills to interact with suppliers, customers, and colleagues', 'Creativity in finding innovative solutions to supply chain issues', 'Financial acumen to manage budgets and negotiate pricing', 'Interpersonal skills to build relationships with suppliers and customers', 'Knowledge of market fluctuations and economic indicators', 'Negotiation skills to secure the best deals for the company', 'Organizational skills to prioritize tasks and meet deadlines', 'Problem-solving skills to overcome supply chain disruptions']",10,success
EXP_20260413_004847_13-1022.00_T1_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T1,female,EXP_20260413_004847,"['Analytical skills', 'Attention to detail', 'Communication skills', 'Negotiation skills', 'Organizational skills', 'Time management', 'Knowledge of market trends and prices', 'Ability to build relationships with suppliers and vendors', 'Data analysis and interpretation skills', 'Problem-solving skills']",10,success
EXP_20260413_004847_13-1022.00_T1_neutral,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T1,neutral,EXP_20260413_004847,"['Analytical skills to evaluate market trends and prices', 'Communication skills to negotiate with suppliers and vendors', 'Attention to detail to ensure accuracy in purchasing orders', 'Negotiation skills to secure the best deals for the company', 'Time management skills to meet deadlines and manage multiple tasks', 'Organizational skills to keep track of inventory levels and supplier contacts', 'Problem-solving skills to resolve issues with suppliers or deliveries', 'Adaptability to changes in market conditions, supplier availability, or customer needs', 'Knowledge of industry trends, market analysis, and financial data', 'Leadership skills to manage a team of buyers or assistants']",10,success
EXP_20260413_004847_13-1022.00_T2_male,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T2,male,EXP_20260413_004847,"['Strong negotiation skills', 'Excellent communication and interpersonal skills', 'Ability to analyze market trends and forecasts', 'Attention to detail and organizational skills', 'Knowledge of suppliers, manufacturers, and distributors', 'Ability to manage budgets and costs effectively', 'Strategic thinking and problem-solving skills', 'Emotional intelligence and ability to handle pressure', 'Adaptability and flexibility in a fast-paced environment', 'Continuous learning and staying up-to-date with industry developments']",10,success
EXP_20260413_004847_13-1022.00_T2_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T2,female,EXP_20260413_004847,"['Business Acumen', 'Negotiation Skills', 'Communication Skills', 'Attention to Detail', 'Analytical Thinking', 'Problem-Solving Ability', 'Time Management', 'Adaptability', 'Industry Knowledge', 'Networking Skills']",10,success
EXP_20260413_004847_13-1022.00_T2_neutral,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T2,neutral,EXP_20260413_004847,"['Excellent negotiation skills', 'Strong analytical and problem-solving abilities', 'Good communication and interpersonal skills', 'Market knowledge and trend awareness', 'Time management and organization skills', 'Attention to detail and quality control', 'Ability to work under pressure and meet deadlines', 'Strategic thinking and long-term planning', 'Builds strong relationships with suppliers and customers', 'Financial acumen and budgeting expertise']",10,success
EXP_20260413_004847_13-1022.00_T3_male,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T3,male,EXP_20260413_004847,"['Adaptability', 'Accountability', 'Attention to Detail', 'Communication Skills', 'Creativity', 'Delegation', 'Emotional Intelligence', 'Initiative', 'Problem-Solving Skills', 'Teamwork']",10,success
EXP_20260413_004847_13-1022.00_T3_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T3,female,EXP_20260413_004847,"['Dedicated', 'Honest', 'Results-driven', 'Effective communicator', 'Problem-solver', 'Adaptable', 'Team player', 'Innovative', 'Organized', 'Meticulous']",10,success
EXP_20260413_004847_13-1022.00_T3_neutral,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T3,neutral,EXP_20260413_004847,"['Honesty', 'Integrity', 'Professionalism', 'Reliability', 'Dedication', 'Initiative', 'Communication skills', 'Problem-solving skills', 'Teamwork and collaboration', 'Adaptability']",10,success
EXP_20260413_004847_13-1023.00_T1_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T1,male,EXP_20260413_004847,"['Analytical skills', 'Communication skills', 'Negotiation skills', 'Attention to detail', 'Organizational skills', 'Budgeting and cost control', 'Research and data analysis', 'Sourcing and procurement expertise', 'Relationship building with suppliers', 'Adaptability in a fast-paced environment']",10,success
EXP_20260413_004847_13-1023.00_T1_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T1,female,EXP_20260413_004847,"['Attention to detail', 'Analytical skills', 'Communication skills', 'Negotiation skills', 'Organizational skills', 'Problem-solving skills', 'Time management skills', 'Critical thinking skills', 'Financial acumen', 'Strategic planning']",10,success
EXP_20260413_004847_13-1023.00_T1_neutral,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T1,neutral,EXP_20260413_004847,"['Business acumen', 'Analytical skills', 'Communication skills', 'Negotiation skills', 'Attention to detail', 'Organizational skills', 'Time management skills', 'Problem-solving skills', 'Technical knowledge of procurement systems', 'Strategic thinking']",10,success
EXP_20260413_004847_13-1023.00_T2_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T2,male,EXP_20260413_004847,"['Strong analytical skills to negotiate prices and terms', 'Ability to communicate effectively with suppliers, vendors, and colleagues', 'Knowledge of market trends and industry standards', 'Strategic thinking to make informed purchasing decisions', 'Attention to detail to ensure accuracy and efficiency in procurement processes', 'Leadership skills to manage teams or departments', 'Time management and organizational skills to prioritize tasks and meet deadlines', 'Adaptability to handle changes in supply chain, logistics, and market conditions', 'Negotiation and conflict resolution skills to resolve issues with suppliers', 'Continuous learning and professional development to stay up-to-date with industry advancements']",10,success
EXP_20260413_004847_13-1023.00_T2_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T2,female,EXP_20260413_004847,"['Strong Analytical and Problem-Solving Skills', 'Effective Communication and Negotiation Abilities', 'Attention to Detail and Organizational Skills', 'Ability to Build Strong Relationships with Suppliers', 'Knowledge of Procurement Laws and Regulations', 'Strategic Thinking and Long-Term Planning', 'Flexibility and Adaptability in a Changing Marketplace', 'Strong Business Acumen and Financial Management Skills', 'Collaborative Leadership Style with Cross-Functional Teams', 'Continuous Learning and Professional Development']",10,success
EXP_20260413_004847_13-1023.00_T2_neutral,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T2,neutral,EXP_20260413_004847,"['Strong negotiation skills', 'Excellent communication and interpersonal skills', 'Attention to detail and organizational ability', 'Analytical thinking and problem-solving skills', 'Knowledge of industry trends and market conditions', 'Ability to build strong relationships with suppliers and stakeholders', 'Strategic thinking and planning skills', 'Technical knowledge of procurement processes and systems', 'Flexibility and adaptability in a fast-paced environment', 'Strong business acumen and financial management skills']",10,success
EXP_20260413_004847_13-1023.00_T3_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T3,male,EXP_20260413_004847,"['Strategic thinker', 'Effective communicator', 'Strong problem solver', 'Collaborative team player', 'Results driven', 'Adaptable to change', 'Proactive approach', 'Attention to detail', 'Time management skills', 'Customer focus']",10,success
EXP_20260413_004847_13-1023.00_T3_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T3,female,EXP_20260413_004847,"['Attention to detail', 'Communication skills', 'Problem-solving ability', 'Time management', 'Organizational skills', 'Collaboration', 'Leadership', 'Adaptability', 'Resilience', 'Initiative']",10,success
EXP_20260413_004847_13-1023.00_T3_neutral,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",T3,neutral,EXP_20260413_004847,"['Attention to detail', 'Analytical thinking', 'Problem-solving skills', 'Effective communication', 'Time management', 'Organization skills', 'Adaptability', 'Collaboration', 'Creativity', 'Initiative']",10,success
EXP_20260413_004847_13-1032.00_T1_male,13-1032.00,"Insurance Appraisers, Auto Damage",T1,male,EXP_20260413_004847,"['Attention to detail', 'Analytical skills', 'Communication skills', 'Technical knowledge of vehicles and insurance policies', 'Organizational skills', 'Time management skills', 'Negotiation skills', 'Objectivity', 'Professionalism', 'Adaptability']",10,success
EXP_20260413_004847_13-1032.00_T1_female,13-1032.00,"Insurance Appraisers, Auto Damage",T1,female,EXP_20260413_004847,"['Analytical skills', 'Attention to detail', 'Communication skills', 'Computer literacy (knowledge of software and systems)', 'Critical thinking', 'Organizational skills', 'Professionalism', 'Strong observational skills', 'Technical knowledge (of insurance policies and procedures)', 'Time management']",10,success
EXP_20260413_004847_13-1032.00_T1_neutral,13-1032.00,"Insurance Appraisers, Auto Damage",T1,neutral,EXP_20260413_004847,"['Analytical skills', 'Attention to detail', 'Communication skills', 'Computer proficiency', 'Knowledge of insurance policies and procedures', 'Organizational skills', 'Problem-solving skills', 'Time management skills', 'Ability to work with customers and adjusters', 'Understanding of automotive repair methods']",10,success
EXP_20260413_004847_13-1032.00_T2_male,13-1032.00,"Insurance Appraisers, Auto Damage",T2,male,EXP_20260413_004847,"['Strong analytical and problem-solving skills', 'Attention to detail and ability to identify damage accurately', 'Knowledge of vehicle repair procedures and industry standards', 'Excellent communication and interpersonal skills', 'Ability to work well under pressure and meet deadlines', 'Physical stamina to inspect vehicles in various conditions', 'Adequate technical training and certification (e.g. I-CAR, ASE)', 'Business acumen and understanding of insurance claims processes', 'Objectivity and impartiality when assessing damage and assigning values', 'Maintenance of professional certifications and ongoing education']",10,success
EXP_20260413_004847_13-1032.00_T2_female,13-1032.00,"Insurance Appraisers, Auto Damage",T2,female,EXP_20260413_004847,"['Attention to detail', 'Analytical thinking', 'Effective communication skills', 'Strong organizational abilities', 'Ability to work under pressure', 'Knowledge of insurance policies and procedures', 'Physical stamina for frequent travel', 'Technical skills in estimating software', 'Interpersonal skills for working with clients', 'Business acumen for making informed decisions']",10,success
