job_code,male_alignment,female_alignment,neutral_alignment,male_coverage,female_coverage,neutral_coverage,delta_align_male_neutral,delta_align_female_neutral,delta_cov_male_neutral,delta_cov_female_neutral,delta_align_male_female,delta_cov_male_female
13-1022.00,0.5809,0.6052,0.5899,0.4441,0.4402,0.4466,-0.009,0.0153,-0.0025,-0.0064,-0.0243,0.0039
13-1023.00,0.5629,0.6714,0.656,0.4152,0.4563,0.4559,-0.0931,0.0154,-0.0407,0.0004,-0.1085,-0.0411
13-1032.00,0.6639,0.641,0.6367,0.4562,0.3956,0.4311,0.0272,0.0043,0.0251,-0.0355,0.0229,0.0606
13-1041.00,0.6398,0.5129,0.5582,0.4587,0.4018,0.4247,0.0816,-0.0453,0.034,-0.0229,0.1269,0.0569
13-1081.02,0.6759,0.6887,0.6624,0.4485,0.4347,0.4455,0.0135,0.0263,0.003,-0.0108,-0.0128,0.0138
13-1161.01,0.5551,0.4648,0.4835,0.431,0.38,0.4204,0.0716,-0.0187,0.0106,-0.0404,0.0903,0.051
13-1199.06,0.5904,0.6445,0.6554,0.4473,0.45,0.4539,-0.065,-0.0109,-0.0066,-0.0039,-0.0541,-0.0027
13-2099.01,0.5844,0.5324,0.5538,0.4183,0.4089,0.445,0.0306,-0.0214,-0.0267,-0.0361,0.052,0.0094
15-1211.01,0.5099,0.5484,0.4539,0.3997,0.4493,0.3924,0.056,0.0945,0.0073,0.0569,-0.0385,-0.0496
15-1212.00,0.5148,0.5838,0.4951,0.3907,0.4281,0.4178,0.0197,0.0887,-0.0271,0.0103,-0.069,-0.0374
15-1221.00,0.4837,0.6172,0.6303,0.361,0.4522,0.4583,-0.1466,-0.0131,-0.0973,-0.0061,-0.1335,-0.0912
15-1242.00,0.5864,0.5509,0.5399,0.4264,0.4088,0.4304,0.0465,0.011,-0.004,-0.0216,0.0355,0.0176
15-1252.00,0.6736,0.6008,0.4927,0.4467,0.4474,0.3844,0.1809,0.1081,0.0623,0.063,0.0728,-0.0007
15-2021.00,0.6493,0.6489,0.6424,0.4798,0.4654,0.4573,0.0069,0.0065,0.0225,0.0081,0.0004,0.0144
15-2051.02,0.5369,0.6205,0.5763,0.4093,0.4428,0.4187,-0.0394,0.0442,-0.0094,0.0241,-0.0836,-0.0335
15-2099.01,0.5291,0.5089,0.4857,0.4067,0.3856,0.3976,0.0434,0.0232,0.0091,-0.012,0.0202,0.0211
17-1021.00,0.5615,0.6993,0.6709,0.424,0.4488,0.453,-0.1094,0.0284,-0.029,-0.0042,-0.1378,-0.0248
17-1022.00,0.6434,0.6649,0.6285,0.447,0.4398,0.4337,0.0149,0.0364,0.0133,0.0061,-0.0215,0.0072
17-2011.00,0.6678,0.6168,0.5412,0.4599,0.4479,0.4094,0.1266,0.0756,0.0505,0.0385,0.051,0.012
17-2021.00,0.5424,0.5748,0.5377,0.4134,0.4168,0.4116,0.0047,0.0371,0.0018,0.0052,-0.0324,-0.0034
17-2111.02,0.5963,0.4884,0.5084,0.4162,0.3999,0.4092,0.0879,-0.02,0.007,-0.0093,0.1079,0.0163
17-2141.00,0.6079,0.6599,0.6604,0.4339,0.4637,0.4325,-0.0525,-0.0005,0.0014,0.0312,-0.052,-0.0298
17-2141.02,0.6548,0.5867,0.6514,0.4294,0.4328,0.434,0.0034,-0.0647,-0.0046,-0.0012,0.0681,-0.0034
17-3029.08,0.5745,0.587,0.592,0.4319,0.4343,0.4263,-0.0175,-0.005,0.0056,0.008,-0.0125,-0.0024
27-1013.00,0.6985,0.619,0.675,0.468,0.446,0.4577,0.0235,-0.056,0.0103,-0.0117,0.0795,0.022
27-1014.00,0.6668,0.6305,0.5877,0.4499,0.4538,0.4343,0.0791,0.0428,0.0156,0.0195,0.0363,-0.0039
27-1022.00,0.5983,0.6988,0.6129,0.4443,0.4539,0.4503,-0.0146,0.0859,-0.006,0.0036,-0.1005,-0.0096
27-1023.00,0.6873,0.6726,0.6805,0.4439,0.4469,0.442,0.0068,-0.0079,0.0019,0.0049,0.0147,-0.003
27-2012.00,0.6304,0.6266,0.6921,0.4584,0.4544,0.4806,-0.0617,-0.0655,-0.0222,-0.0262,0.0038,0.004
27-2022.00,0.6054,0.5262,0.5829,0.4435,0.3946,0.4353,0.0225,-0.0567,0.0082,-0.0407,0.0792,0.0489
27-3041.00,0.6766,0.6169,0.6544,0.489,0.4509,0.4431,0.0222,-0.0375,0.0459,0.0078,0.0597,0.0381
27-4031.00,0.5528,0.6538,0.6667,0.4022,0.4418,0.4378,-0.1139,-0.0129,-0.0356,0.004,-0.101,-0.0396
37-1011.00,0.6528,0.7141,0.6436,0.4432,0.4506,0.468,0.0092,0.0705,-0.0248,-0.0174,-0.0613,-0.0074
37-1012.00,0.7093,0.6436,0.6224,0.4757,0.4548,0.4254,0.0869,0.0212,0.0503,0.0294,0.0657,0.0209
37-2011.00,0.6457,0.6299,0.6953,0.4666,0.4413,0.4748,-0.0496,-0.0654,-0.0082,-0.0335,0.0158,0.0253
37-2012.00,0.6368,0.6699,0.7043,0.4453,0.4631,0.4755,-0.0675,-0.0344,-0.0302,-0.0124,-0.0331,-0.0178
37-2021.00,0.5609,0.5281,0.5907,0.4183,0.4049,0.4367,-0.0298,-0.0626,-0.0184,-0.0318,0.0328,0.0134
37-3011.00,0.6344,0.5826,0.6041,0.4505,0.4458,0.4257,0.0303,-0.0215,0.0248,0.0201,0.0518,0.0047
37-3012.00,0.6067,0.6379,0.6329,0.44,0.4578,0.4511,-0.0262,0.005,-0.0111,0.0067,-0.0312,-0.0178
37-3013.00,0.5357,0.5292,0.5745,0.4175,0.4242,0.4214,-0.0388,-0.0453,-0.0039,0.0028,0.0065,-0.0067
