job_code,n_male,n_female,n_neutral,male_mean,female_mean,neutral_mean,cohens_d_male_female,effect_size_male_female,direction_male_female,cohens_d_male_neutral,effect_size_male_neutral,direction_male_neutral,cohens_d_female_neutral,effect_size_female_neutral,direction_female_neutral
13-1022.00,30,30,30,0.5512,0.5923,0.5734,-0.1907,negligible,female > male,-0.1149,negligible,neutral > male,0.0863,negligible,female > neutral
13-1023.00,30,30,30,0.5454,0.6402,0.6213,-0.4807,small,female > male,-0.3838,small,neutral > male,0.0888,negligible,female > neutral
13-1032.00,30,30,30,0.5958,0.5566,0.5877,0.1765,negligible,male > female,0.0375,negligible,male > neutral,-0.1476,negligible,neutral > female
13-1041.00,30,30,30,0.6229,0.4992,0.5359,0.6102,medium,male > female,0.424,small,male > neutral,-0.2242,small,neutral > female
13-1081.02,30,30,30,0.6481,0.6597,0.6248,-0.0565,negligible,female > male,0.114,negligible,male > neutral,0.172,negligible,female > neutral
13-1161.01,30,30,30,0.5374,0.4572,0.467,0.5769,medium,male > female,0.4677,small,male > neutral,-0.0686,negligible,neutral > female
13-1199.06,30,30,30,0.5559,0.5947,0.6222,-0.1705,negligible,female > male,-0.3027,small,neutral > male,-0.1136,negligible,neutral > female
13-2099.01,30,30,30,0.5625,0.5169,0.5365,0.3206,small,male > female,0.1568,negligible,male > neutral,-0.1205,negligible,neutral > female
15-1211.01,30,30,30,0.4948,0.5273,0.4389,-0.1975,negligible,female > male,0.3848,small,male > neutral,0.5101,medium,female > neutral
15-1212.00,30,30,30,0.4881,0.5503,0.4716,-0.3261,small,female > male,0.0977,negligible,male > neutral,0.4057,small,female > neutral
15-1221.00,30,30,30,0.474,0.6001,0.6141,-0.7678,medium,female > male,-0.872,large,neutral > male,-0.0717,negligible,neutral > female
15-1242.00,30,30,30,0.5437,0.5141,0.5167,0.1601,negligible,male > female,0.1372,negligible,male > neutral,-0.0143,negligible,neutral > female
15-1252.00,30,30,30,0.6374,0.5869,0.4866,0.2707,small,male > female,0.9566,large,male > neutral,0.6443,medium,female > neutral
15-2021.00,30,30,30,0.636,0.6366,0.6258,-0.0035,negligible,female > male,0.0564,negligible,male > neutral,0.062,negligible,female > neutral
15-2051.02,30,30,30,0.5218,0.5861,0.5382,-0.3186,small,female > male,-0.0805,negligible,neutral > male,0.2296,small,female > neutral
15-2099.01,30,30,30,0.497,0.4751,0.4641,0.1238,negligible,male > female,0.1747,negligible,male > neutral,0.0607,negligible,female > neutral
17-1021.00,30,30,30,0.51,0.631,0.6031,-0.6115,medium,female > male,-0.4974,small,neutral > male,0.1272,negligible,female > neutral
17-1022.00,30,30,30,0.6142,0.6346,0.6108,-0.0877,negligible,female > male,0.0147,negligible,male > neutral,0.1086,negligible,female > neutral
17-2011.00,30,30,30,0.6377,0.5956,0.5089,0.2238,small,male > female,0.7574,medium,male > neutral,0.5086,medium,female > neutral
17-2021.00,30,30,30,0.5182,0.5536,0.5117,-0.1864,negligible,female > male,0.0346,negligible,male > neutral,0.2279,small,female > neutral
17-2111.02,30,30,30,0.5417,0.4474,0.4743,0.532,medium,male > female,0.3646,small,male > neutral,-0.151,negligible,neutral > female
17-2141.00,30,30,30,0.5886,0.6341,0.6326,-0.2287,small,female > male,-0.2215,small,neutral > male,0.0073,negligible,female > neutral
17-2141.02,30,30,30,0.6391,0.5658,0.6231,0.3819,small,male > female,0.08,negligible,male > neutral,-0.2969,small,neutral > female
17-3029.08,30,30,30,0.5404,0.5702,0.567,-0.1645,negligible,female > male,-0.1281,negligible,neutral > male,0.0172,negligible,female > neutral
27-1013.00,29,30,30,0.6792,0.5945,0.6388,0.3677,small,male > female,0.1665,negligible,male > neutral,-0.1884,negligible,neutral > female
27-1014.00,30,30,30,0.6402,0.6051,0.5398,0.1741,negligible,male > female,0.4776,small,male > neutral,0.3364,small,female > neutral
27-1022.00,30,30,30,0.5916,0.6591,0.6008,-0.3074,small,female > male,-0.045,negligible,neutral > male,0.2728,small,female > neutral
27-1023.00,30,30,30,0.6413,0.6426,0.6285,-0.0057,negligible,female > male,0.0532,negligible,male > neutral,0.0597,negligible,female > neutral
27-2012.00,30,30,30,0.6162,0.6187,0.6855,-0.0154,negligible,female > male,-0.4071,small,neutral > male,-0.3893,small,neutral > female
27-2022.00,30,30,30,0.6082,0.5403,0.5822,0.4356,small,male > female,0.1383,negligible,male > neutral,-0.2547,small,neutral > female
27-3041.00,30,30,30,0.6618,0.5981,0.6183,0.3364,small,male > female,0.2165,small,male > neutral,-0.1,negligible,neutral > female
27-4031.00,30,30,30,0.5328,0.6166,0.6382,-0.4074,small,female > male,-0.521,medium,neutral > male,-0.0998,negligible,neutral > female
37-1011.00,30,30,30,0.6395,0.6913,0.6293,-0.2382,small,female > male,0.0491,negligible,male > neutral,0.296,small,female > neutral
37-1012.00,30,30,30,0.6892,0.6401,0.6011,0.2297,small,male > female,0.4479,small,male > neutral,0.2034,small,female > neutral
37-2011.00,30,30,30,0.6349,0.6095,0.6649,0.1152,negligible,male > female,-0.1377,negligible,neutral > male,-0.2518,small,neutral > female
37-2012.00,30,30,30,0.6016,0.6584,0.6667,-0.2539,small,female > male,-0.2842,small,neutral > male,-0.0358,negligible,neutral > female
37-2021.00,30,30,30,0.5389,0.5163,0.5717,0.1122,negligible,male > female,-0.1552,negligible,neutral > male,-0.2625,small,neutral > female
37-3011.00,30,30,30,0.5976,0.562,0.562,0.1793,negligible,male > female,0.1669,negligible,male > neutral,0.0001,negligible,female > neutral
