response_id,experiment_id,job_code,job_title,gender_condition,prompt_type,llm_trait,best_kg_match,similarity_score,kg_importance,above_threshold,top_5_scores,top_5_traits,all_scores
EXP_20260413_004847_13-1022.00_T1_male,EXP_20260413_004847,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Analytical skills to evaluate market trends and prices,Mathematics,0.3308,0.6022727272727274,True,"[0.3308, 0.3291, 0.2579, 0.2573, 0.2376]","['Mathematics', 'Learning Strategies', 'Operations Analysis', 'Mathematical Reasoning', 'Negotiation']",
EXP_20260413_004847_13-1022.00_T1_male,EXP_20260413_004847,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Attention to detail for negotiating contracts and agreements,Negotiation,0.59,0.8522727272727274,True,"[0.59, 0.4654, 0.2773, 0.2764, 0.2702]","['Negotiation', 'Attention to Detail', 'Operations Analysis', 'Judgment and Decision Making', 'Instructing']",
EXP_20260413_004847_13-1022.00_T1_male,EXP_20260413_004847,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,"Communication skills to interact with suppliers, customers, and colleagues",Cooperation,0.3753,0.8162878787878789,True,"[0.3753, 0.351, 0.3394, 0.3214, 0.2964]","['Cooperation', 'Coordination', 'Instructing', 'Negotiation', 'Self-Confidence']",
EXP_20260413_004847_13-1022.00_T1_male,EXP_20260413_004847,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Creativity in finding innovative solutions to supply chain issues,Innovation,0.4444,0.8106060606060608,True,"[0.4444, 0.2703, 0.2647, 0.2537, 0.2433]","['Innovation', 'Technology Design', 'Complex Problem Solving', 'Equipment Selection', 'Critical Thinking']",
EXP_20260413_004847_13-1022.00_T1_male,EXP_20260413_004847,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Financial acumen to manage budgets and negotiate pricing,Management of Financial Resources,0.5935,0.6392045454545455,True,"[0.5935, 0.4374, 0.327, 0.3169, 0.2933]","['Management of Financial Resources', 'Negotiation', 'Management of Material Resources', 'Management of Personnel Resources', 'Rate Control']",
EXP_20260413_004847_13-1022.00_T1_male,EXP_20260413_004847,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Interpersonal skills to build relationships with suppliers and customers,Cooperation,0.3705,0.8162878787878789,True,"[0.3705, 0.3462, 0.3445, 0.32, 0.315]","['Cooperation', 'Self-Confidence', 'Negotiation', 'Social Orientation', 'Sincerity']",
EXP_20260413_004847_13-1022.00_T1_male,EXP_20260413_004847,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Knowledge of market fluctuations and economic indicators,Monitoring,0.2914,0.6022727272727274,False,"[0.2914, 0.2575, 0.2506, 0.2495, 0.2192]","['Monitoring', 'Mathematics', 'Mathematical Reasoning', 'Systems Analysis', 'Fluency of Ideas']",
EXP_20260413_004847_13-1022.00_T1_male,EXP_20260413_004847,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Negotiation skills to secure the best deals for the company,Negotiation,0.6661,0.8522727272727274,True,"[0.6661, 0.3255, 0.296, 0.2798, 0.2706]","['Negotiation', 'Cooperation', 'Learning Strategies', 'Integrity', 'Perseverance']",
EXP_20260413_004847_13-1022.00_T1_male,EXP_20260413_004847,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Organizational skills to prioritize tasks and meet deadlines,Time Management,0.5004,0.5681818181818182,True,"[0.5004, 0.435, 0.3941, 0.3659, 0.3631]","['Time Management', 'Coordination', 'Selective Attention', 'Management of Personnel Resources', 'Leadership Orientation']",
EXP_20260413_004847_13-1022.00_T1_male,EXP_20260413_004847,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,Problem-solving skills to overcome supply chain disruptions,Complex Problem Solving,0.4255,0.6392045454545455,True,"[0.4255, 0.358, 0.3548, 0.3274, 0.3107]","['Complex Problem Solving', 'Learning Strategies', 'Negotiation', 'Equipment Maintenance', 'Coordination']",
