response_id,job_code,job_title,gender_condition,template_type,response_alignment,neutral_alignment,representation_gap,alignment_gap,overall_gap,n_critical_traits,n_missing_traits
EXP_20260413_004847_13-1022.00_T1_male,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,0.4653,0.5135,0.9688,0.0482,0.5085,32,31
EXP_20260413_004847_13-1022.00_T1_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T1,0.6063,0.5135,0.9375,0.0928,0.5151,32,30
EXP_20260413_004847_13-1022.00_T2_male,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T2,0.541,0.5496,0.9375,0.0087,0.4731,32,30
EXP_20260413_004847_13-1022.00_T2_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T2,0.6903,0.5496,0.875,0.1406,0.5078,32,28
EXP_20260413_004847_13-1022.00_T3_male,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T3,0.7165,0.6946,0.875,0.0219,0.4485,32,28
EXP_20260413_004847_13-1022.00_T3_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T3,0.5221,0.6946,0.9375,0.1724,0.555,32,30
EXP_20260413_004847_13-1023.00_T1_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T1,0.5749,0.6437,0.9474,0.0688,0.5081,38,36
EXP_20260413_004847_13-1023.00_T1_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",female,T1,0.6901,0.6437,0.8947,0.0464,0.4706,38,34
EXP_20260413_004847_13-1023.00_T2_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T2,0.5045,0.5463,0.9737,0.0417,0.5077,38,37
EXP_20260413_004847_13-1023.00_T2_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",female,T2,0.5523,0.5463,0.9474,0.0061,0.4768,38,36
EXP_20260413_004847_13-1023.00_T3_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T3,0.6025,0.7535,0.9474,0.151,0.5492,38,36
EXP_20260413_004847_13-1023.00_T3_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",female,T3,0.7642,0.7535,0.8421,0.0107,0.4264,38,32
EXP_20260413_004847_13-1032.00_T1_male,13-1032.00,"Insurance Appraisers, Auto Damage",male,T1,0.7189,0.646,0.9444,0.0728,0.5086,18,17
EXP_20260413_004847_13-1032.00_T1_female,13-1032.00,"Insurance Appraisers, Auto Damage",female,T1,0.7348,0.646,0.9444,0.0888,0.5166,18,17
EXP_20260413_004847_13-1032.00_T2_male,13-1032.00,"Insurance Appraisers, Auto Damage",male,T2,0.468,0.5472,0.9444,0.0792,0.5118,18,17
EXP_20260413_004847_13-1032.00_T2_female,13-1032.00,"Insurance Appraisers, Auto Damage",female,T2,0.6064,0.5472,0.9444,0.0592,0.5018,18,17
EXP_20260413_004847_13-1032.00_T3_male,13-1032.00,"Insurance Appraisers, Auto Damage",male,T3,0.7574,0.7087,0.8333,0.0487,0.441,18,15
EXP_20260413_004847_13-1032.00_T3_female,13-1032.00,"Insurance Appraisers, Auto Damage",female,T3,0.584,0.7087,0.9444,0.1247,0.5345,18,17
EXP_20260413_004847_13-1041.00_T1_male,13-1041.00,Compliance Officers,male,T1,0.7392,0.5996,0.8824,0.1396,0.511,17,15
EXP_20260413_004847_13-1041.00_T1_female,13-1041.00,Compliance Officers,female,T1,0.4667,0.5996,0.9412,0.1329,0.5371,17,16
