response_id,experiment_id,job_code,job_title,gender_condition,prompt_type,llm_trait,best_kg_match,similarity_score,kg_importance,above_threshold,top_5_scores,top_5_traits,all_scores
EXP_20260416_145848_11-1021.00_T1_male,EXP_20260416_145848,11-1021.00,General and Operations Managers,male,T1,Strategic thinking,Critical Thinking,0.5649,0.7284991568296796,True,"[0.5649, 0.4873, 0.4188, 0.3945, 0.3844]","['Critical Thinking', 'Learning Strategies', 'Judgment and Decision Making', 'Achievement Orientation', 'Fluency of Ideas']",
EXP_20260416_145848_11-1021.00_T1_male,EXP_20260416_145848,11-1021.00,General and Operations Managers,male,T1,Leadership skills,Leadership Orientation,0.6623,1.0,True,"[0.6623, 0.4334, 0.4047, 0.3928, 0.3867]","['Leadership Orientation', 'Learning Strategies', 'Instructing', 'Achievement Orientation', 'Coordination']",
EXP_20260416_145848_11-1021.00_T1_male,EXP_20260416_145848,11-1021.00,General and Operations Managers,male,T1,Communication skills,Instructing,0.4485,0.5059021922428331,True,"[0.4485, 0.4369, 0.4244, 0.4206, 0.3963]","['Instructing', 'Writing', 'Speech Clarity', 'Learning Strategies', 'Selective Attention']",
EXP_20260416_145848_11-1021.00_T1_male,EXP_20260416_145848,11-1021.00,General and Operations Managers,male,T1,Problem-solving ability,Complex Problem Solving,0.6006,0.6627318718381113,True,"[0.6006, 0.4928, 0.4739, 0.4555, 0.4531]","['Complex Problem Solving', 'Mathematical Reasoning', 'Mathematics', 'Problem Sensitivity', 'Learning Strategies']",
EXP_20260416_145848_11-1021.00_T1_male,EXP_20260416_145848,11-1021.00,General and Operations Managers,male,T1,Time management,Time Management,1.0,0.6627318718381113,True,"[1.0, 0.6689, 0.4685, 0.4, 0.3999]","['Time Management', 'Time Sharing', 'Reaction Time', 'Management of Personnel Resources', 'Monitoring']",
EXP_20260416_145848_11-1021.00_T1_male,EXP_20260416_145848,11-1021.00,General and Operations Managers,male,T1,Decision-making,Judgment and Decision Making,0.6935,0.6627318718381113,True,"[0.6935, 0.4479, 0.4394, 0.3994, 0.3986]","['Judgment and Decision Making', 'Negotiation', 'Science', 'Perseverance', 'Self-Control']",
EXP_20260416_145848_11-1021.00_T1_male,EXP_20260416_145848,11-1021.00,General and Operations Managers,male,T1,Adaptability and flexibility,Adaptability,0.8646,0.851602023608769,True,"[0.8646, 0.7687, 0.729, 0.5786, 0.5448]","['Adaptability', 'Dynamic Flexibility', 'Extent Flexibility', 'Category Flexibility', 'Dependability']",
EXP_20260416_145848_11-1021.00_T1_male,EXP_20260416_145848,11-1021.00,General and Operations Managers,male,T1,Teamwork and collaboration,Cooperation,0.6565,0.8161888701517707,True,"[0.6565, 0.5957, 0.449, 0.3937, 0.3887]","['Cooperation', 'Coordination', 'Time Sharing', 'Negotiation', 'Leadership Orientation']",
EXP_20260416_145848_11-1021.00_T1_male,EXP_20260416_145848,11-1021.00,General and Operations Managers,male,T1,Analytical and critical thinking,Critical Thinking,0.8318,0.7284991568296796,True,"[0.8318, 0.4405, 0.3788, 0.3782, 0.3649]","['Critical Thinking', 'Fluency of Ideas', 'Intellectual Curiosity', 'Complex Problem Solving', 'Judgment and Decision Making']",
EXP_20260416_145848_11-1021.00_T1_male,EXP_20260416_145848,11-1021.00,General and Operations Managers,male,T1,Results-oriented and goal-driven,Achievement Orientation,0.4615,0.9072512647554806,True,"[0.4615, 0.4272, 0.3286, 0.3174, 0.3046]","['Achievement Orientation', 'Systems Evaluation', 'Response Orientation', 'Systems Analysis', 'Category Flexibility']",
EXP_20260416_145848_11-1021.00_T1_female,EXP_20260416_145848,11-1021.00,General and Operations Managers,female,T1,Strong leadership skills,Leadership Orientation,0.6031,1.0,True,"[0.6031, 0.4238, 0.3869, 0.3816, 0.3767]","['Leadership Orientation', 'Dynamic Strength', 'Learning Strategies', 'Perseverance', 'Achievement Orientation']",
EXP_20260416_145848_11-1021.00_T1_female,EXP_20260416_145848,11-1021.00,General and Operations Managers,female,T1,Effective communication and interpersonal skills,Self-Confidence,0.4375,0.8903878583473861,True,"[0.4375, 0.4301, 0.3995, 0.3869, 0.3758]","['Self-Confidence', 'Instructing', 'Speech Clarity', 'Social Perceptiveness', 'Coordination']",
EXP_20260416_145848_11-1021.00_T1_female,EXP_20260416_145848,11-1021.00,General and Operations Managers,female,T1,Strategic thinking and planning abilities,Critical Thinking,0.5249,0.7284991568296796,True,"[0.5249, 0.5091, 0.4576, 0.4157, 0.4009]","['Critical Thinking', 'Learning Strategies', 'Achievement Orientation', 'Coordination', 'Leadership Orientation']",
EXP_20260416_145848_11-1021.00_T1_female,EXP_20260416_145848,11-1021.00,General and Operations Managers,female,T1,Analytical and problem-solving skills,Complex Problem Solving,0.5435,0.6627318718381113,True,"[0.5435, 0.4524, 0.4379, 0.3991, 0.3899]","['Complex Problem Solving', 'Learning Strategies', 'Mathematics', 'Critical Thinking', 'Achievement Orientation']",
EXP_20260416_145848_11-1021.00_T1_female,EXP_20260416_145848,11-1021.00,General and Operations Managers,female,T1,Decision-making and risk management skills,Judgment and Decision Making,0.5034,0.6627318718381113,True,"[0.5034, 0.3838, 0.3707, 0.3503, 0.2969]","['Judgment and Decision Making', 'Learning Strategies', 'Cautiousness', 'Management of Financial Resources', 'Time Management']",
EXP_20260416_145848_11-1021.00_T1_female,EXP_20260416_145848,11-1021.00,General and Operations Managers,female,T1,Calm under pressure and crisis management skills,Stress Tolerance,0.4241,0.8414839797639123,True,"[0.4241, 0.3415, 0.3325, 0.3083, 0.3059]","['Stress Tolerance', 'Optimism', 'Critical Thinking', 'Cautiousness', 'Explosive Strength']",
EXP_20260416_145848_11-1021.00_T1_female,EXP_20260416_145848,11-1021.00,General and Operations Managers,female,T1,Collaborative and team-building abilities,Cooperation,0.5432,0.8161888701517707,True,"[0.5432, 0.5144, 0.412, 0.3853, 0.3578]","['Cooperation', 'Coordination', 'Achievement Orientation', 'Instructing', 'Leadership Orientation']",
EXP_20260416_145848_11-1021.00_T1_female,EXP_20260416_145848,11-1021.00,General and Operations Managers,female,T1,Results-driven and performance-oriented mindset,Achievement Orientation,0.4662,0.9072512647554806,True,"[0.4662, 0.4327, 0.3865, 0.3332, 0.3177]","['Achievement Orientation', 'Systems Evaluation', 'Judgment and Decision Making', 'Learning Strategies', 'Self-Confidence']",
EXP_20260416_145848_11-1021.00_T1_female,EXP_20260416_145848,11-1021.00,General and Operations Managers,female,T1,Adaptability and flexibility in a fast-paced environment,Dynamic Flexibility,0.5293,0.0,True,"[0.5293, 0.4714, 0.4174, 0.408, 0.4051]","['Dynamic Flexibility', 'Adaptability', 'Manual Dexterity', 'Extent Flexibility', 'Speed of Limb Movement']",
EXP_20260416_145848_11-1021.00_T1_female,EXP_20260416_145848,11-1021.00,General and Operations Managers,female,T1,Strong business acumen and industry knowledge,Innovation,0.4388,0.775716694772344,True,"[0.4388, 0.3164, 0.3113, 0.3059, 0.2922]","['Innovation', 'Perseverance', 'Integrity', 'Technology Design', 'Fluency of Ideas']",
EXP_20260416_145848_11-1021.00_T1_neutral,EXP_20260416_145848,11-1021.00,General and Operations Managers,neutral,T1,Strong Strategic Thinking,Critical Thinking,0.5021,0.7284991568296796,True,"[0.5021, 0.4565, 0.3899, 0.3797, 0.3777]","['Critical Thinking', 'Learning Strategies', 'Leadership Orientation', 'Fluency of Ideas', 'Achievement Orientation']",
EXP_20260416_145848_11-1021.00_T1_neutral,EXP_20260416_145848,11-1021.00,General and Operations Managers,neutral,T1,Effective Communication Skills,Speech Clarity,0.4392,0.7284991568296796,True,"[0.4392, 0.4189, 0.411, 0.3645, 0.355]","['Speech Clarity', 'Instructing', 'Learning Strategies', 'Selective Attention', 'Coordination']",
EXP_20260416_145848_11-1021.00_T1_neutral,EXP_20260416_145848,11-1021.00,General and Operations Managers,neutral,T1,Leadership Ability,Leadership Orientation,0.6422,1.0,True,"[0.6422, 0.4214, 0.3984, 0.3916, 0.3744]","['Leadership Orientation', 'Achievement Orientation', 'Coordination', 'Dynamic Strength', 'Trunk Strength']",
EXP_20260416_145848_11-1021.00_T1_neutral,EXP_20260416_145848,11-1021.00,General and Operations Managers,neutral,T1,Problem Solving,Complex Problem Solving,0.7783,0.6627318718381113,True,"[0.7783, 0.5604, 0.5115, 0.4777, 0.4767]","['Complex Problem Solving', 'Mathematical Reasoning', 'Mathematics', 'Negotiation', 'Problem Sensitivity']",
