job_code,male_alignment,female_alignment,neutral_alignment,male_coverage,female_coverage,neutral_coverage,delta_align_male_neutral,delta_align_female_neutral,delta_cov_male_neutral,delta_cov_female_neutral,delta_align_male_female,delta_cov_male_female
11-1021.00,0.6141,0.6248,0.624,0.5174,0.6065,0.4923,-0.0099,0.0008,0.0251,0.1142,-0.0107,-0.0891
11-3012.00,0.5921,0.6551,0.6046,0.4752,0.4709,0.5075,-0.0125,0.0505,-0.0323,-0.0366,-0.063,0.0043
11-3013.00,0.6572,0.6422,0.6684,0.5113,0.4969,0.5077,-0.0112,-0.0262,0.0036,-0.0108,0.015,0.0144
11-3013.01,0.554,0.636,0.5997,0.5136,0.5397,0.508,-0.0457,0.0363,0.0056,0.0317,-0.082,-0.0261
11-3051.01,0.6147,0.6337,0.6584,0.5086,0.5625,0.5732,-0.0437,-0.0247,-0.0646,-0.0107,-0.019,-0.0539
11-3061.00,0.6797,0.643,0.5954,0.4516,0.5079,0.4659,0.0843,0.0476,-0.0143,0.042,0.0367,-0.0563
11-3071.04,0.6532,0.5769,0.6664,0.5248,0.4688,0.5091,-0.0132,-0.0895,0.0157,-0.0403,0.0763,0.056
11-9179.02,0.6589,0.5868,0.6299,0.605,0.5319,0.5537,0.029,-0.0431,0.0513,-0.0218,0.0721,0.0731
17-1012.00,0.5491,0.6082,0.6282,0.5009,0.5265,0.5507,-0.0791,-0.02,-0.0498,-0.0242,-0.0591,-0.0256
17-2031.00,0.6619,0.5855,0.582,0.564,0.5001,0.499,0.0799,0.0035,0.065,0.0011,0.0764,0.0639
17-2041.00,0.6515,0.5895,0.5942,0.5419,0.5421,0.5003,0.0573,-0.0047,0.0416,0.0418,0.062,-0.0002
17-2072.01,0.5367,0.4878,0.5793,0.4579,0.4504,0.492,-0.0426,-0.0915,-0.0341,-0.0416,0.0489,0.0075
17-2081.00,0.5953,0.603,0.6107,0.5163,0.5478,0.4961,-0.0154,-0.0077,0.0202,0.0517,-0.0077,-0.0315
17-2111.02,0.5274,0.5944,0.6423,0.4861,0.5509,0.5787,-0.1149,-0.0479,-0.0926,-0.0278,-0.067,-0.0648
17-3022.00,0.64,0.5648,0.6224,0.517,0.4862,0.5302,0.0176,-0.0576,-0.0132,-0.044,0.0752,0.0308
17-3027.00,0.6315,0.6635,0.6668,0.494,0.5185,0.5305,-0.0353,-0.0033,-0.0365,-0.012,-0.032,-0.0245
25-1021.00,0.4902,0.5283,0.4744,0.406,0.4886,0.422,0.0158,0.0539,-0.016,0.0666,-0.0381,-0.0826
25-1043.00,0.4779,0.4749,0.4754,0.3987,0.4118,0.3988,0.0025,-0.0005,-0.0001,0.013,0.003,-0.0131
25-1051.00,0.4616,0.5085,0.5012,0.451,0.5213,0.5104,-0.0396,0.0073,-0.0594,0.0109,-0.0469,-0.0703
25-1063.00,0.4642,0.4954,0.4977,0.3895,0.4196,0.4037,-0.0335,-0.0023,-0.0142,0.0159,-0.0312,-0.0301
25-1064.00,0.5345,0.5165,0.4753,0.4493,0.4075,0.3713,0.0592,0.0412,0.078,0.0362,0.018,0.0418
25-1066.00,0.5812,0.5962,0.458,0.5155,0.5112,0.4169,0.1232,0.1382,0.0986,0.0943,-0.015,0.0043
25-2031.00,0.5366,0.5469,0.485,0.5159,0.4826,0.4546,0.0516,0.0619,0.0613,0.028,-0.0103,0.0333
25-3011.00,0.5623,0.5664,0.5121,0.5401,0.5354,0.4882,0.0502,0.0543,0.0519,0.0472,-0.0041,0.0047
27-1012.00,0.6829,0.6722,0.6977,0.6202,0.5894,0.6372,-0.0148,-0.0255,-0.017,-0.0478,0.0107,0.0308
27-1023.00,0.678,0.6438,0.6785,0.4984,0.4978,0.554,-0.0005,-0.0347,-0.0556,-0.0562,0.0342,0.0006
27-1024.00,0.6316,0.7361,0.6898,0.5482,0.5953,0.5485,-0.0582,0.0463,-0.0003,0.0468,-0.1045,-0.0471
27-1025.00,0.649,0.6427,0.5815,0.5251,0.5412,0.5694,0.0675,0.0612,-0.0443,-0.0282,0.0063,-0.0161
27-2012.04,0.5358,0.5919,0.5341,0.4828,0.528,0.471,0.0017,0.0578,0.0118,0.057,-0.0561,-0.0452
27-2012.05,0.5956,0.5875,0.5094,0.5242,0.5181,0.4854,0.0862,0.0781,0.0388,0.0327,0.0081,0.0061
27-2022.00,0.5091,0.6095,0.645,0.4149,0.4446,0.4964,-0.1359,-0.0355,-0.0815,-0.0518,-0.1004,-0.0297
27-2041.00,0.5607,0.582,0.5995,0.535,0.5232,0.5598,-0.0388,-0.0175,-0.0248,-0.0366,-0.0213,0.0118
51-2022.00,0.6346,0.6936,0.7184,0.5696,0.5503,0.5793,-0.0838,-0.0248,-0.0097,-0.029,-0.059,0.0193
51-3091.00,0.6903,0.6101,0.5522,0.518,0.5523,0.53,0.1381,0.0579,-0.012,0.0223,0.0802,-0.0343
51-4021.00,0.6648,0.7083,0.6367,0.5437,0.5553,0.5701,0.0281,0.0716,-0.0264,-0.0148,-0.0435,-0.0116
51-4061.00,0.7146,0.7527,0.6643,0.5248,0.5476,0.4542,0.0503,0.0884,0.0706,0.0934,-0.0381,-0.0228
51-4072.00,0.5869,0.6701,0.7622,0.558,0.5279,0.5559,-0.1753,-0.0921,0.0021,-0.028,-0.0832,0.0301
51-4122.00,0.651,0.6514,0.5954,0.5779,0.55,0.4677,0.0556,0.056,0.1102,0.0823,-0.0004,0.0279
51-9071.00,0.6789,0.6834,0.6691,0.6083,0.596,0.5497,0.0098,0.0143,0.0586,0.0463,-0.0045,0.0123
51-9192.00,0.6574,0.7236,0.5906,0.4763,0.4684,0.4586,0.0668,0.133,0.0177,0.0098,-0.0662,0.0079
