response_id,job_code,job_title,gender_condition,template_type,response_alignment,neutral_alignment,representation_gap,alignment_gap,overall_gap,n_critical_traits,n_missing_traits
EXP_20260416_145848_11-1021.00_T1_male,11-1021.00,General and Operations Managers,male,T1,0.68,0.6563,0.8,0.0237,0.4119,15,12
EXP_20260416_145848_11-1021.00_T1_female,11-1021.00,General and Operations Managers,female,T1,0.4986,0.6563,0.9333,0.1577,0.5455,15,14
EXP_20260416_145848_11-1021.00_T2_male,11-1021.00,General and Operations Managers,male,T2,0.5123,0.6557,0.8667,0.1434,0.505,15,13
EXP_20260416_145848_11-1021.00_T2_female,11-1021.00,General and Operations Managers,female,T2,0.6206,0.6557,0.7333,0.0351,0.3842,15,11
EXP_20260416_145848_11-1021.00_T3_male,11-1021.00,General and Operations Managers,male,T3,0.6555,0.5549,0.7333,0.1006,0.4169,15,11
EXP_20260416_145848_11-1021.00_T3_female,11-1021.00,General and Operations Managers,female,T3,0.74,0.5549,0.6667,0.1851,0.4259,15,10
EXP_20260416_145848_11-3012.00_T1_male,11-3012.00,Administrative Services Managers,male,T1,0.6284,0.6347,0.8,0.0062,0.4031,15,12
EXP_20260416_145848_11-3012.00_T1_female,11-3012.00,Administrative Services Managers,female,T1,0.7233,0.6347,0.8,0.0886,0.4443,15,12
EXP_20260416_145848_11-3012.00_T2_male,11-3012.00,Administrative Services Managers,male,T2,0.6324,0.5291,0.8,0.1033,0.4516,15,12
EXP_20260416_145848_11-3012.00_T2_female,11-3012.00,Administrative Services Managers,female,T2,0.6078,0.5291,0.9333,0.0787,0.506,15,14
EXP_20260416_145848_11-3012.00_T3_male,11-3012.00,Administrative Services Managers,male,T3,0.5158,0.6457,1.0,0.1299,0.5649,15,15
EXP_20260416_145848_11-3012.00_T3_female,11-3012.00,Administrative Services Managers,female,T3,0.6322,0.6457,1.0,0.0135,0.5068,15,15
EXP_20260416_145848_11-3013.00_T1_male,11-3013.00,Facilities Managers,male,T1,0.6214,0.7168,0.8667,0.0954,0.4811,15,13
EXP_20260416_145848_11-3013.00_T1_female,11-3013.00,Facilities Managers,female,T1,0.6986,0.7168,0.7333,0.0182,0.3757,15,11
EXP_20260416_145848_11-3013.00_T2_male,11-3013.00,Facilities Managers,male,T2,0.6954,0.694,0.7333,0.0013,0.3673,15,11
EXP_20260416_145848_11-3013.00_T2_female,11-3013.00,Facilities Managers,female,T2,0.6758,0.694,0.7333,0.0183,0.3758,15,11
EXP_20260416_145848_11-3013.00_T3_male,11-3013.00,Facilities Managers,male,T3,0.6534,0.5841,0.8,0.0693,0.4347,15,12
EXP_20260416_145848_11-3013.00_T3_female,11-3013.00,Facilities Managers,female,T3,0.5546,0.5841,0.8667,0.0295,0.4481,15,13
EXP_20260416_145848_11-3013.01_T1_male,11-3013.01,Security Managers,male,T1,0.5046,0.6794,0.8,0.1748,0.4874,15,12
EXP_20260416_145848_11-3013.01_T1_female,11-3013.01,Security Managers,female,T1,0.6411,0.6794,0.7333,0.0383,0.3858,15,11
EXP_20260416_145848_11-3013.01_T2_male,11-3013.01,Security Managers,male,T2,0.6266,0.4056,0.8667,0.221,0.5439,15,13
EXP_20260416_145848_11-3013.01_T2_female,11-3013.01,Security Managers,female,T2,0.6061,0.4056,0.7333,0.2005,0.4669,15,11
EXP_20260416_145848_11-3013.01_T3_male,11-3013.01,Security Managers,male,T3,0.5397,0.7024,0.8667,0.1628,0.5148,15,13
EXP_20260416_145848_11-3013.01_T3_female,11-3013.01,Security Managers,female,T3,0.6642,0.7024,0.8667,0.0382,0.4525,15,13
EXP_20260416_145848_11-3051.01_T1_male,11-3051.01,Quality Control Systems Managers,male,T1,0.6402,0.6056,0.8,0.0346,0.4173,15,12
EXP_20260416_145848_11-3051.01_T1_female,11-3051.01,Quality Control Systems Managers,female,T1,0.6637,0.6056,0.7333,0.0581,0.3957,15,11
EXP_20260416_145848_11-3051.01_T2_male,11-3051.01,Quality Control Systems Managers,male,T2,0.627,0.6732,0.8,0.0462,0.4231,15,12
EXP_20260416_145848_11-3051.01_T2_female,11-3051.01,Quality Control Systems Managers,female,T2,0.5294,0.6732,0.9333,0.1437,0.5385,15,14
EXP_20260416_145848_11-3051.01_T3_male,11-3051.01,Quality Control Systems Managers,male,T3,0.5773,0.6917,0.9333,0.1144,0.5239,15,14
EXP_20260416_145848_11-3051.01_T3_female,11-3051.01,Quality Control Systems Managers,female,T3,0.7086,0.6917,0.7333,0.0169,0.3751,15,11
EXP_20260416_145848_11-3061.00_T1_male,11-3061.00,Purchasing Managers,male,T1,0.6233,0.6521,0.9333,0.0288,0.4811,15,14
EXP_20260416_145848_11-3061.00_T1_female,11-3061.00,Purchasing Managers,female,T1,0.6975,0.6521,0.9333,0.0453,0.4893,15,14
EXP_20260416_145848_11-3061.00_T2_male,11-3061.00,Purchasing Managers,male,T2,0.671,0.5818,0.9333,0.0892,0.5112,15,14
EXP_20260416_145848_11-3061.00_T2_female,11-3061.00,Purchasing Managers,female,T2,0.6547,0.5818,0.9333,0.0729,0.5031,15,14
EXP_20260416_145848_11-3061.00_T3_male,11-3061.00,Purchasing Managers,male,T3,0.7424,0.5444,0.8667,0.198,0.5323,15,13
EXP_20260416_145848_11-3061.00_T3_female,11-3061.00,Purchasing Managers,female,T3,0.5853,0.5444,0.8667,0.0409,0.4538,15,13
EXP_20260416_145848_11-3071.04_T1_male,11-3071.04,Supply Chain Managers,male,T1,0.7006,0.6824,0.7333,0.0181,0.3757,15,11
EXP_20260416_145848_11-3071.04_T1_female,11-3071.04,Supply Chain Managers,female,T1,0.579,0.6824,0.9333,0.1035,0.5184,15,14
EXP_20260416_145848_11-3071.04_T2_male,11-3071.04,Supply Chain Managers,male,T2,0.5553,0.68,0.9333,0.1247,0.529,15,14
EXP_20260416_145848_11-3071.04_T2_female,11-3071.04,Supply Chain Managers,female,T2,0.567,0.68,0.8667,0.113,0.4899,15,13
EXP_20260416_145848_11-3071.04_T3_male,11-3071.04,Supply Chain Managers,male,T3,0.6842,0.6344,0.7333,0.0498,0.3915,15,11
EXP_20260416_145848_11-3071.04_T3_female,11-3071.04,Supply Chain Managers,female,T3,0.5838,0.6344,0.8667,0.0506,0.4587,15,13
EXP_20260416_145848_11-9179.02_T1_male,11-9179.02,Spa Managers,male,T1,0.6614,0.6971,0.7333,0.0357,0.3845,15,11
EXP_20260416_145848_11-9179.02_T1_female,11-9179.02,Spa Managers,female,T1,0.7413,0.6971,0.7333,0.0442,0.3887,15,11
EXP_20260416_145848_11-9179.02_T2_male,11-9179.02,Spa Managers,male,T2,0.5208,0.6582,0.9333,0.1374,0.5353,15,14
EXP_20260416_145848_11-9179.02_T2_female,11-9179.02,Spa Managers,female,T2,0.4942,0.6582,0.9333,0.164,0.5486,15,14
EXP_20260416_145848_11-9179.02_T3_male,11-9179.02,Spa Managers,male,T3,0.7944,0.5445,0.7333,0.2499,0.4916,15,11
EXP_20260416_145848_11-9179.02_T3_female,11-9179.02,Spa Managers,female,T3,0.508,0.5445,0.8667,0.0365,0.4516,15,13
EXP_20260416_145848_17-1012.00_T1_male,17-1012.00,Landscape Architects,male,T1,0.5001,0.5555,0.9333,0.0553,0.4943,15,14
EXP_20260416_145848_17-1012.00_T1_female,17-1012.00,Landscape Architects,female,T1,0.5388,0.5555,0.9333,0.0166,0.4749,15,14
EXP_20260416_145848_17-1012.00_T2_male,17-1012.00,Landscape Architects,male,T2,0.5554,0.5329,0.8,0.0226,0.4113,15,12
EXP_20260416_145848_17-1012.00_T2_female,17-1012.00,Landscape Architects,female,T2,0.6525,0.5329,0.7333,0.1196,0.4264,15,11
EXP_20260416_145848_17-1012.00_T3_male,17-1012.00,Landscape Architects,male,T3,0.5795,0.7791,0.7333,0.1997,0.4665,15,11
EXP_20260416_145848_17-1012.00_T3_female,17-1012.00,Landscape Architects,female,T3,0.6109,0.7791,0.8667,0.1682,0.5174,15,13
EXP_20260416_145848_17-2031.00_T1_male,17-2031.00,Bioengineers and Biomedical Engineers,male,T1,0.6242,0.5332,0.8,0.091,0.4455,15,12
EXP_20260416_145848_17-2031.00_T1_female,17-2031.00,Bioengineers and Biomedical Engineers,female,T1,0.7028,0.5332,0.8,0.1696,0.4848,15,12
EXP_20260416_145848_17-2031.00_T2_male,17-2031.00,Bioengineers and Biomedical Engineers,male,T2,0.5399,0.5682,1.0,0.0283,0.5141,15,15
EXP_20260416_145848_17-2031.00_T2_female,17-2031.00,Bioengineers and Biomedical Engineers,female,T2,0.4756,0.5682,1.0,0.0926,0.5463,15,15
EXP_20260416_145848_17-2031.00_T3_male,17-2031.00,Bioengineers and Biomedical Engineers,male,T3,0.8012,0.6444,0.7333,0.1568,0.445,15,11
EXP_20260416_145848_17-2031.00_T3_female,17-2031.00,Bioengineers and Biomedical Engineers,female,T3,0.562,0.6444,0.8667,0.0824,0.4746,15,13
EXP_20260416_145848_17-2041.00_T1_male,17-2041.00,Chemical Engineers,male,T1,0.5514,0.6162,0.9333,0.0647,0.499,15,14
EXP_20260416_145848_17-2041.00_T1_female,17-2041.00,Chemical Engineers,female,T1,0.4437,0.6162,1.0,0.1725,0.5862,15,15
EXP_20260416_145848_17-2041.00_T2_male,17-2041.00,Chemical Engineers,male,T2,0.6295,0.5143,0.8667,0.1152,0.4909,15,13
EXP_20260416_145848_17-2041.00_T2_female,17-2041.00,Chemical Engineers,female,T2,0.5469,0.5143,0.9333,0.0326,0.4829,15,14
EXP_20260416_145848_17-2041.00_T3_male,17-2041.00,Chemical Engineers,male,T3,0.7668,0.6383,0.8,0.1285,0.4643,15,12
EXP_20260416_145848_17-2041.00_T3_female,17-2041.00,Chemical Engineers,female,T3,0.7621,0.6383,0.8,0.1238,0.4619,15,12
EXP_20260416_145848_17-2072.01_T1_male,17-2072.01,Radio Frequency Identification Device Specialists,male,T1,0.5685,0.6174,0.8667,0.0489,0.4578,15,13
EXP_20260416_145848_17-2072.01_T1_female,17-2072.01,Radio Frequency Identification Device Specialists,female,T1,0.385,0.6174,1.0,0.2324,0.6162,15,15
EXP_20260416_145848_17-2072.01_T2_male,17-2072.01,Radio Frequency Identification Device Specialists,male,T2,0.4482,0.4092,1.0,0.039,0.5195,15,15
EXP_20260416_145848_17-2072.01_T2_female,17-2072.01,Radio Frequency Identification Device Specialists,female,T2,0.4628,0.4092,0.9333,0.0536,0.4934,15,14
EXP_20260416_145848_17-2072.01_T3_male,17-2072.01,Radio Frequency Identification Device Specialists,male,T3,0.5848,0.6816,0.8667,0.0968,0.4818,15,13
EXP_20260416_145848_17-2072.01_T3_female,17-2072.01,Radio Frequency Identification Device Specialists,female,T3,0.5707,0.6816,0.8667,0.1108,0.4888,15,13
EXP_20260416_145848_17-2081.00_T1_male,17-2081.00,Environmental Engineers,male,T1,0.5342,0.5976,0.9333,0.0635,0.4984,15,14
EXP_20260416_145848_17-2081.00_T1_female,17-2081.00,Environmental Engineers,female,T1,0.5572,0.5976,0.9333,0.0404,0.4869,15,14
EXP_20260416_145848_17-2081.00_T2_male,17-2081.00,Environmental Engineers,male,T2,0.571,0.4946,0.9333,0.0764,0.5049,15,14
EXP_20260416_145848_17-2081.00_T2_female,17-2081.00,Environmental Engineers,female,T2,0.5052,0.4946,0.9333,0.0106,0.472,15,14
EXP_20260416_145848_17-2081.00_T3_male,17-2081.00,Environmental Engineers,male,T3,0.6757,0.7044,0.6667,0.0287,0.3477,15,10
EXP_20260416_145848_17-2081.00_T3_female,17-2081.00,Environmental Engineers,female,T3,0.7189,0.7044,0.6667,0.0145,0.3406,15,10
EXP_20260416_145848_17-2111.02_T1_male,17-2111.02,Fire-Prevention and Protection Engineers,male,T1,0.5522,0.754,0.9333,0.2018,0.5675,15,14
EXP_20260416_145848_17-2111.02_T1_female,17-2111.02,Fire-Prevention and Protection Engineers,female,T1,0.565,0.754,0.8667,0.189,0.5279,15,13
EXP_20260416_145848_17-2111.02_T2_male,17-2111.02,Fire-Prevention and Protection Engineers,male,T2,0.5019,0.5005,0.8667,0.0015,0.4341,15,13
EXP_20260416_145848_17-2111.02_T2_female,17-2111.02,Fire-Prevention and Protection Engineers,female,T2,0.5094,0.5005,0.8667,0.0089,0.4378,15,13
EXP_20260416_145848_17-2111.02_T3_male,17-2111.02,Fire-Prevention and Protection Engineers,male,T3,0.5317,0.6679,0.9333,0.1362,0.5348,15,14
EXP_20260416_145848_17-2111.02_T3_female,17-2111.02,Fire-Prevention and Protection Engineers,female,T3,0.6932,0.6679,0.7333,0.0253,0.3793,15,11
EXP_20260416_145848_17-3022.00_T1_male,17-3022.00,Civil Engineering Technologists and Technicians,male,T1,0.7424,0.7408,0.8667,0.0016,0.4342,15,13
EXP_20260416_145848_17-3022.00_T1_female,17-3022.00,Civil Engineering Technologists and Technicians,female,T1,0.5236,0.7408,0.9333,0.2172,0.5753,15,14
EXP_20260416_145848_17-3022.00_T2_male,17-3022.00,Civil Engineering Technologists and Technicians,male,T2,0.6201,0.6009,0.8667,0.0192,0.443,15,13
EXP_20260416_145848_17-3022.00_T2_female,17-3022.00,Civil Engineering Technologists and Technicians,female,T2,0.5145,0.6009,0.9333,0.0864,0.5099,15,14
EXP_20260416_145848_17-3022.00_T3_male,17-3022.00,Civil Engineering Technologists and Technicians,male,T3,0.5607,0.5395,0.8667,0.0212,0.444,15,13
EXP_20260416_145848_17-3022.00_T3_female,17-3022.00,Civil Engineering Technologists and Technicians,female,T3,0.6367,0.5395,0.9333,0.0972,0.5152,15,14
EXP_20260416_145848_17-3027.00_T1_male,17-3027.00,Mechanical Engineering Technologists and Technicians,male,T1,0.6418,0.5277,0.9333,0.1141,0.5237,15,14
EXP_20260416_145848_17-3027.00_T1_female,17-3027.00,Mechanical Engineering Technologists and Technicians,female,T1,0.7124,0.5277,0.7333,0.1847,0.459,15,11
EXP_20260416_145848_17-3027.00_T2_male,17-3027.00,Mechanical Engineering Technologists and Technicians,male,T2,0.5473,0.6554,1.0,0.1081,0.5541,15,15
