job_code,male_weighted_mean,male_std,male_total_weight,female_weighted_mean,female_std,female_total_weight,neutral_weighted_mean,neutral_std,neutral_total_weight,male_delta_from_neutral,female_delta_from_neutral,male_female_difference
11-1021.00,0.6141,0.1598,23.3457,0.6248,0.1662,23.6644,0.624,0.1513,22.6046,-0.0099,0.0008,-0.0107
11-3012.00,0.5921,0.1713,22.146,0.6551,0.1943,20.531,0.6046,0.1594,20.654,-0.0125,0.0505,-0.063
11-3013.00,0.6572,0.1724,21.9762,0.6422,0.1699,20.9031,0.6684,0.1876,20.6316,-0.0112,-0.0262,0.015
11-3013.01,0.554,0.1461,21.32,0.636,0.1742,22.5767,0.5997,0.2209,22.0308,-0.0457,0.0363,-0.082
11-3051.01,0.6147,0.1681,20.7217,0.6337,0.1701,22.12,0.6584,0.1779,21.0575,-0.0437,-0.0247,-0.019
11-3061.00,0.6797,0.206,21.4133,0.643,0.2004,21.5442,0.5954,0.1598,20.7265,0.0843,0.0476,0.0367
11-3071.04,0.6532,0.1897,22.0301,0.5769,0.1391,20.1504,0.6664,0.1774,23.2381,-0.0132,-0.0895,0.0763
11-9179.02,0.6589,0.2101,23.2694,0.5868,0.1961,23.6329,0.6299,0.1912,23.4539,0.029,-0.0431,0.0721
17-1012.00,0.5491,0.1865,20.922,0.6082,0.1929,19.9725,0.6282,0.2376,21.8807,-0.0791,-0.02,-0.0591
17-2031.00,0.6619,0.1898,21.3883,0.5855,0.1911,21.2133,0.582,0.1636,20.6292,0.0799,0.0035,0.0764
17-2041.00,0.6515,0.2153,22.1032,0.5895,0.1963,20.4321,0.5942,0.1593,21.6861,0.0573,-0.0047,0.062
17-2072.01,0.5367,0.1731,18.3047,0.4878,0.1372,17.8327,0.5793,0.1851,17.9539,-0.0426,-0.0915,0.0489
17-2081.00,0.5953,0.2061,21.0329,0.603,0.2069,19.4973,0.6107,0.204,21.2522,-0.0154,-0.0077,-0.0077
17-2111.02,0.5274,0.1627,20.5329,0.5944,0.2155,19.6265,0.6423,0.2213,22.0338,-0.1149,-0.0479,-0.067
17-3022.00,0.64,0.1803,15.6305,0.5648,0.1696,16.2319,0.6224,0.1712,16.6367,0.0176,-0.0576,0.0752
17-3027.00,0.6315,0.1933,18.2734,0.6635,0.1807,18.6473,0.6668,0.2043,18.7593,-0.0353,-0.0033,-0.032
25-1021.00,0.4902,0.1357,20.9094,0.5283,0.196,21.9041,0.4744,0.0964,20.6172,0.0158,0.0539,-0.0381
25-1043.00,0.4779,0.1461,21.3374,0.4749,0.1388,20.4274,0.4754,0.1184,22.9519,0.0025,-0.0005,0.003
25-1051.00,0.4616,0.1062,22.1923,0.5085,0.1538,21.4668,0.5012,0.1631,21.3348,-0.0396,0.0073,-0.0469
25-1063.00,0.4642,0.106,18.4222,0.4954,0.1584,20.7666,0.4977,0.1178,22.514,-0.0335,-0.0023,-0.0312
25-1064.00,0.5345,0.1673,20.8121,0.5165,0.1253,20.9607,0.4753,0.114,20.4607,0.0592,0.0412,0.018
25-1066.00,0.5812,0.1602,19.7925,0.5962,0.2066,23.2233,0.458,0.0953,20.6175,0.1232,0.1382,-0.015
25-2031.00,0.5366,0.1494,21.8805,0.5469,0.1438,23.4133,0.485,0.122,23.2416,0.0516,0.0619,-0.0103
25-3011.00,0.5623,0.1791,21.0674,0.5664,0.1851,20.9472,0.5121,0.1689,22.6384,0.0502,0.0543,-0.0041
27-1012.00,0.6829,0.2325,18.3802,0.6722,0.2184,17.7704,0.6977,0.2332,16.8539,-0.0148,-0.0255,0.0107
27-1023.00,0.678,0.2421,18.3268,0.6438,0.2257,19.1518,0.6785,0.2426,17.9154,-0.0005,-0.0347,0.0342
27-1024.00,0.6316,0.1799,18.0118,0.7361,0.2088,20.0381,0.6898,0.1936,19.5381,-0.0582,0.0463,-0.1045
27-1025.00,0.649,0.2089,19.6581,0.6427,0.2041,20.6353,0.5815,0.1931,22.0731,0.0675,0.0612,0.0063
27-2012.04,0.5358,0.1664,20.9161,0.5919,0.1915,22.9613,0.5341,0.1635,21.6799,0.0017,0.0578,-0.0561
27-2012.05,0.5956,0.167,22.4954,0.5875,0.1318,20.1207,0.5094,0.12,20.7185,0.0862,0.0781,0.0081
27-2022.00,0.5091,0.152,23.7364,0.6095,0.1842,25.2811,0.645,0.178,23.9588,-0.1359,-0.0355,-0.1004
27-2041.00,0.5607,0.1681,22.4044,0.582,0.1861,20.6706,0.5995,0.1996,21.5973,-0.0388,-0.0175,-0.0213
51-2022.00,0.6346,0.2138,16.6737,0.6936,0.2308,16.5485,0.7184,0.2222,16.9136,-0.0838,-0.0248,-0.059
51-3091.00,0.6903,0.2098,15.4176,0.6101,0.2229,18.0058,0.5522,0.1963,15.9593,0.1381,0.0579,0.0802
51-4021.00,0.6648,0.1998,16.5225,0.7083,0.2273,14.5472,0.6367,0.2156,16.8541,0.0281,0.0716,-0.0435
51-4061.00,0.7146,0.2148,15.3998,0.7527,0.2097,17.3689,0.6643,0.2098,17.1148,0.0503,0.0884,-0.0381
51-4072.00,0.5869,0.1942,16.3584,0.6701,0.2204,14.422,0.7622,0.2254,17.9249,-0.1753,-0.0921,-0.0832
51-4122.00,0.651,0.1835,16.8052,0.6514,0.1944,16.469,0.5954,0.1676,14.7248,0.0556,0.056,-0.0004
51-9071.00,0.6789,0.2485,17.3558,0.6834,0.2259,16.3808,0.6691,0.2331,14.65,0.0098,0.0143,-0.0045
51-9192.00,0.6574,0.2276,17.4037,0.7236,0.2378,16.7399,0.5906,0.194,16.2688,0.0668,0.133,-0.0662
