job_code,n_male,n_female,mean_male,mean_female,mean_diff_male_vs_female,t_stat_male_vs_female,p_value_male_vs_female,equal_variances_male_vs_female,significant_05_male_vs_female,n_neutral,mean_neutral,mean_diff_male_vs_neutral,t_stat_male_vs_neutral,p_value_male_vs_neutral,equal_variances_male_vs_neutral,significant_05_male_vs_neutral,mean_diff_female_vs_neutral,t_stat_female_vs_neutral,p_value_female_vs_neutral,equal_variances_female_vs_neutral,significant_05_female_vs_neutral
11-1021.00,30,30,0.6123,0.6181,-0.0058,-0.1345,0.8935,True,False,30,0.6233,-0.0109,-0.2677,0.7899,True,False,-0.0052,-0.1241,0.9017,True,False
11-3012.00,30,30,0.5863,0.6551,-0.0688,-1.4296,0.1582,True,False,30,0.59,-0.0037,-0.0858,0.9319,True,False,0.065,1.3939,0.1687,True,False
11-3013.00,30,30,0.6498,0.6247,0.0251,0.5589,0.5784,True,False,30,0.6473,0.0025,0.053,0.9579,True,False,-0.0226,-0.4811,0.6322,True,False
11-3013.01,30,30,0.5374,0.6331,-0.0957,-2.2668,0.0271,True,True,30,0.586,-0.0486,-0.9879,0.3273,True,False,0.0471,0.9019,0.3709,True,False
11-3051.01,30,30,0.5943,0.6185,-0.0242,-0.5449,0.5879,True,False,30,0.6404,-0.0461,-1.014,0.3148,True,False,-0.0219,-0.4789,0.6338,True,False
11-3061.00,30,30,0.6516,0.6144,0.0372,0.6964,0.489,True,False,30,0.5701,0.0815,1.6835,0.0977,True,False,0.0443,0.9314,0.3555,True,False
11-3071.04,30,30,0.6164,0.5435,0.0729,1.6684,0.1006,True,False,30,0.6485,-0.0321,-0.6649,0.5087,True,False,-0.1049,-2.5074,0.015,True,True
11-9179.02,30,30,0.6563,0.5792,0.0771,1.4451,0.1538,True,False,30,0.6195,0.0368,0.6969,0.4886,True,False,-0.0404,-0.7934,0.4308,True,False
17-1012.00,30,30,0.5215,0.5612,-0.0397,-0.7972,0.4286,True,False,30,0.5902,-0.0687,-1.2245,0.2257,True,False,-0.029,-0.5097,0.6122,True,False
17-2031.00,30,30,0.6431,0.5647,0.0784,1.5681,0.1223,True,False,30,0.557,0.0862,1.8513,0.0692,True,False,0.0077,0.1653,0.8693,True,False
17-2041.00,30,30,0.6437,0.5647,0.079,1.4599,0.1497,True,False,30,0.5692,0.0745,1.4977,0.1396,True,False,-0.0045,-0.0959,0.9239,True,False
17-2072.01,30,30,0.4938,0.457,0.0368,0.8983,0.3727,True,False,30,0.547,-0.0532,-1.1299,0.2632,True,False,-0.09,-2.1039,0.0397,True,True
17-2081.00,30,30,0.5671,0.5661,0.001,0.0192,0.9847,True,False,30,0.57,-0.0029,-0.054,0.9571,True,False,-0.004,-0.0732,0.9419,True,False
17-2111.02,30,30,0.4947,0.5524,-0.0576,-1.1492,0.2552,True,False,30,0.6135,-0.1188,-2.3284,0.0234,False,True,-0.0611,-1.0656,0.291,True,False
17-3022.00,30,30,0.5824,0.5449,0.0375,0.8169,0.4174,True,False,30,0.5816,0.0008,0.0172,0.9863,True,False,-0.0368,-0.8211,0.4149,True,False
17-3027.00,30,30,0.6023,0.6254,-0.0231,-0.4707,0.6396,True,False,30,0.638,-0.0357,-0.6842,0.4966,True,False,-0.0126,-0.2489,0.8043,True,False
25-1021.00,30,30,0.495,0.5371,-0.042,-0.9498,0.3462,True,False,30,0.4664,0.0286,0.9265,0.358,True,False,0.0707,1.7428,0.0867,False,False
25-1043.00,30,30,0.476,0.4745,0.0015,0.0399,0.9683,True,False,30,0.4773,-0.0013,-0.0381,0.9698,True,False,-0.0028,-0.0833,0.9339,True,False
25-1051.00,30,30,0.4648,0.5135,-0.0487,-1.4023,0.1662,True,False,30,0.5075,-0.0427,-1.1818,0.2421,True,False,0.006,0.1433,0.8865,True,False
25-1063.00,30,30,0.4674,0.4992,-0.0317,-0.8969,0.3735,True,False,30,0.4968,-0.0294,-0.9993,0.3218,True,False,0.0023,0.0635,0.9496,True,False
25-1064.00,30,30,0.5293,0.5112,0.0182,0.4684,0.6413,True,False,30,0.4747,0.0547,1.4542,0.1513,True,False,0.0365,1.1596,0.2509,True,False
25-1066.00,30,30,0.567,0.6095,-0.0425,-0.8761,0.3846,True,False,30,0.4743,0.0926,2.6761,0.0097,True,True,0.1352,3.1994,0.0022,False,True
25-2031.00,30,30,0.5399,0.5484,-0.0085,-0.2195,0.827,True,False,30,0.48,0.06,1.6744,0.0994,True,False,0.0684,1.9541,0.0555,True,False
25-3011.00,30,30,0.5601,0.5598,0.0003,0.0069,0.9945,True,False,30,0.5165,0.0436,0.9543,0.3439,True,False,0.0433,0.9303,0.3561,True,False
27-1012.00,30,30,0.6553,0.6271,0.0282,0.4763,0.6357,True,False,30,0.6452,0.0101,0.1659,0.8688,True,False,-0.0181,-0.3046,0.7618,True,False
27-1023.00,30,30,0.6431,0.6286,0.0145,0.2356,0.8146,True,False,30,0.6258,0.0172,0.271,0.7874,True,False,0.0028,0.045,0.9643,True,False
27-1024.00,30,30,0.591,0.704,-0.1129,-2.2066,0.0313,True,True,30,0.6534,-0.0624,-1.2712,0.2087,True,False,0.0506,0.9562,0.3429,True,False
27-1025.00,30,30,0.6079,0.6133,-0.0054,-0.0999,0.9208,True,False,30,0.5542,0.0537,1.017,0.3134,True,False,0.0591,1.1335,0.2617,True,False
27-2012.04,30,30,0.5234,0.5818,-0.0584,-1.2394,0.2202,True,False,30,0.5293,-0.0058,-0.1348,0.8932,True,False,0.0525,1.1239,0.2657,True,False
27-2012.05,30,30,0.5828,0.5625,0.0204,0.5154,0.6082,True,False,30,0.5043,0.0785,2.0561,0.0443,True,True,0.0582,1.7568,0.0842,True,False
27-2022.00,30,30,0.515,0.6165,-0.1015,-2.2884,0.0258,True,True,30,0.6466,-0.1316,-3.0286,0.0037,True,True,-0.0301,-0.6339,0.5286,True,False
27-2041.00,30,30,0.5577,0.5648,-0.0071,-0.1526,0.8792,True,False,30,0.587,-0.0293,-0.6052,0.5474,True,False,-0.0222,-0.4385,0.6626,True,False
51-2022.00,30,30,0.5895,0.6619,-0.0724,-1.2385,0.2205,True,False,30,0.675,-0.0855,-1.4927,0.1409,True,False,-0.0131,-0.2207,0.8261,True,False
