job_code,n_male,n_female,n_neutral,male_mean,female_mean,neutral_mean,cohens_d_male_female,effect_size_male_female,direction_male_female,cohens_d_male_neutral,effect_size_male_neutral,direction_male_neutral,cohens_d_female_neutral,effect_size_female_neutral,direction_female_neutral
11-1021.00,30,30,30,0.6123,0.6181,0.6233,-0.0347,negligible,female > male,-0.0691,negligible,neutral > male,-0.032,negligible,neutral > female
11-3012.00,30,30,30,0.5863,0.6551,0.59,-0.3691,small,female > male,-0.0221,negligible,neutral > male,0.3599,small,female > neutral
11-3013.00,30,30,30,0.6498,0.6247,0.6473,0.1443,negligible,male > female,0.0137,negligible,male > neutral,-0.1242,negligible,neutral > female
11-3013.01,30,30,30,0.5374,0.6331,0.586,-0.5853,medium,female > male,-0.2551,small,neutral > male,0.2329,small,female > neutral
11-3051.01,30,30,30,0.5943,0.6185,0.6404,-0.1407,negligible,female > male,-0.2618,small,neutral > male,-0.1236,negligible,neutral > female
11-3061.00,30,30,30,0.6516,0.6144,0.5701,0.1798,negligible,male > female,0.4347,small,male > neutral,0.2405,small,female > neutral
11-3071.04,30,30,30,0.6164,0.5435,0.6485,0.4308,small,male > female,-0.1717,negligible,neutral > male,-0.6474,medium,neutral > female
11-9179.02,30,30,30,0.6563,0.5792,0.6195,0.3731,small,male > female,0.1799,negligible,male > neutral,-0.2048,small,neutral > female
17-1012.00,30,30,30,0.5215,0.5612,0.5902,-0.2058,small,female > male,-0.3162,small,neutral > male,-0.1316,negligible,neutral > female
17-2031.00,30,30,30,0.6431,0.5647,0.557,0.4049,small,male > female,0.478,small,male > neutral,0.0427,negligible,female > neutral
17-2041.00,30,30,30,0.6437,0.5647,0.5692,0.377,small,male > female,0.3867,small,male > neutral,-0.0248,negligible,neutral > female
17-2072.01,30,30,30,0.4938,0.457,0.547,0.2319,small,male > female,-0.2917,small,neutral > male,-0.5432,medium,neutral > female
17-2081.00,30,30,30,0.5671,0.5661,0.57,0.005,negligible,male > female,-0.0139,negligible,neutral > male,-0.0189,negligible,neutral > female
17-2111.02,30,30,30,0.4947,0.5524,0.6135,-0.2967,small,female > male,-0.6012,medium,neutral > male,-0.2751,small,neutral > female
17-3022.00,30,30,30,0.5824,0.5449,0.5816,0.2109,small,male > female,0.0044,negligible,male > neutral,-0.212,small,neutral > female
17-3027.00,30,30,30,0.6023,0.6254,0.638,-0.1215,negligible,female > male,-0.1767,negligible,neutral > male,-0.0643,negligible,neutral > female
25-1021.00,30,30,30,0.495,0.5371,0.4664,-0.2452,small,female > male,0.2392,small,male > neutral,0.45,small,female > neutral
25-1043.00,30,30,30,0.476,0.4745,0.4773,0.0103,negligible,male > female,-0.0098,negligible,neutral > male,-0.0215,negligible,neutral > female
25-1051.00,30,30,30,0.4648,0.5135,0.5075,-0.3621,small,female > male,-0.3051,small,neutral > male,0.037,negligible,female > neutral
25-1063.00,30,30,30,0.4674,0.4992,0.4968,-0.2316,small,female > male,-0.258,small,neutral > male,0.0164,negligible,female > neutral
25-1064.00,30,30,30,0.5293,0.5112,0.4747,0.1209,negligible,male > female,0.3755,small,male > neutral,0.2994,small,female > neutral
25-1066.00,30,30,30,0.567,0.6095,0.4743,-0.2262,small,female > male,0.691,medium,male > neutral,0.8261,large,female > neutral
25-2031.00,30,30,30,0.5399,0.5484,0.48,-0.0567,negligible,female > male,0.4323,small,male > neutral,0.5046,medium,female > neutral
25-3011.00,30,30,30,0.5601,0.5598,0.5165,0.0018,negligible,male > female,0.2464,small,male > neutral,0.2402,small,female > neutral
27-1012.00,30,30,30,0.6553,0.6271,0.6452,0.123,negligible,male > female,0.0428,negligible,male > neutral,-0.0786,negligible,neutral > female
27-1023.00,30,30,30,0.6431,0.6286,0.6258,0.0608,negligible,male > female,0.07,negligible,male > neutral,0.0116,negligible,female > neutral
27-1024.00,30,30,30,0.591,0.704,0.6534,-0.5697,medium,female > male,-0.3282,small,neutral > male,0.2469,small,female > neutral
27-1025.00,30,30,30,0.6079,0.6133,0.5542,-0.0258,negligible,female > male,0.2626,small,male > neutral,0.2927,small,female > neutral
27-2012.04,30,30,30,0.5234,0.5818,0.5293,-0.32,small,female > male,-0.0348,negligible,neutral > male,0.2902,small,female > neutral
27-2012.05,30,30,30,0.5828,0.5625,0.5043,0.1331,negligible,male > female,0.5309,medium,male > neutral,0.4536,small,female > neutral
27-2022.00,30,30,30,0.515,0.6165,0.6466,-0.5909,medium,female > male,-0.782,medium,neutral > male,-0.1637,negligible,neutral > female
27-2041.00,30,30,30,0.5577,0.5648,0.587,-0.0394,negligible,female > male,-0.1563,negligible,neutral > male,-0.1132,negligible,neutral > female
51-2022.00,30,30,30,0.5895,0.6619,0.675,-0.3198,small,female > male,-0.3854,small,neutral > male,-0.057,negligible,neutral > female
51-3091.00,30,30,30,0.6588,0.6028,0.5467,0.2545,small,male > female,0.5425,medium,male > neutral,0.2625,small,female > neutral
51-4021.00,30,30,30,0.6564,0.6434,0.613,0.0599,negligible,male > female,0.2051,small,male > neutral,0.1346,negligible,female > neutral
51-4061.00,30,30,30,0.6554,0.7064,0.6393,-0.2363,small,female > male,0.0747,negligible,male > neutral,0.3147,small,female > neutral
51-4072.00,30,30,30,0.559,0.5986,0.7275,-0.1878,negligible,female > male,-0.7877,medium,neutral > male,-0.5683,medium,neutral > female
51-4122.00,30,30,30,0.6281,0.6303,0.5764,-0.0117,negligible,female > male,0.2893,small,male > neutral,0.2922,small,female > neutral
51-9071.00,30,30,30,0.6453,0.6552,0.6315,-0.041,negligible,female > male,0.0563,negligible,male > neutral,0.1015,negligible,female > neutral
51-9192.00,30,30,30,0.639,0.6983,0.5739,-0.2507,small,female > male,0.3027,small,male > neutral,0.5638,medium,female > neutral
