job_code,male_weighted_mean,male_std,male_total_weight,female_weighted_mean,female_std,female_total_weight,neutral_weighted_mean,neutral_std,neutral_total_weight,male_delta_from_neutral,female_delta_from_neutral,male_female_difference
11-1021.00,0.652,0.1768,22.2723,0.6587,0.1887,21.1088,0.6671,0.1734,21.2605,-0.0151,-0.0084,-0.0067
11-3012.00,0.7198,0.2036,19.7735,0.7142,0.2168,21.0779,0.7206,0.2109,20.592,-0.0008,-0.0064,0.0056
11-3013.00,0.6704,0.1955,19.1901,0.6677,0.1836,19.9287,0.6436,0.2064,19.6782,0.0268,0.0241,0.0027
11-3013.01,0.6666,0.2215,22.5275,0.6829,0.2083,20.6108,0.6954,0.2051,21.8592,-0.0288,-0.0125,-0.0163
11-3051.01,0.6941,0.2036,20.115,0.677,0.1972,21.6733,0.6652,0.1926,20.7942,0.0289,0.0118,0.0171
11-3061.00,0.6052,0.1732,21.0469,0.5943,0.1742,20.7469,0.6194,0.1864,20.1496,-0.0142,-0.0251,0.0109
11-3071.04,0.6444,0.1676,20.9929,0.5976,0.1788,20.7257,0.6392,0.1747,21.0363,0.0052,-0.0416,0.0468
11-9179.02,0.6658,0.2159,21.6076,0.6534,0.2098,23.198,0.6574,0.2215,21.7993,0.0084,-0.004,0.0124
17-1012.00,0.6196,0.2098,19.444,0.6359,0.2368,20.8404,0.5801,0.2066,21.6055,0.0395,0.0558,-0.0163
17-2031.00,0.695,0.1935,21.9292,0.6527,0.1917,23.7258,0.6432,0.214,23.0817,0.0518,0.0095,0.0423
17-2041.00,0.707,0.2016,21.9409,0.6775,0.188,22.1455,0.6819,0.1864,23.4868,0.0251,-0.0044,0.0295
17-2072.01,0.5839,0.1853,18.217,0.6313,0.2151,18.5461,0.6118,0.1916,18.7893,-0.0279,0.0195,-0.0474
17-2081.00,0.6478,0.2273,20.9147,0.5422,0.1808,18.8828,0.5332,0.1756,18.1297,0.1146,0.009,0.1056
17-2111.02,0.6272,0.2071,22.175,0.5882,0.2313,22.1802,0.5134,0.17,23.5355,0.1138,0.0748,0.039
17-3022.00,0.7122,0.1989,17.7716,0.6445,0.2104,17.5088,0.6503,0.1915,16.8668,0.0619,-0.0058,0.0677
17-3027.00,0.6662,0.1917,20.2451,0.6828,0.1967,20.2249,0.6851,0.2035,20.097,-0.0189,-0.0023,-0.0166
25-1021.00,0.5619,0.1274,19.8446,0.5401,0.1349,22.048,0.5735,0.1647,21.3082,-0.0116,-0.0334,0.0218
25-1043.00,0.5133,0.1756,21.6871,0.4522,0.1528,20.2727,0.4624,0.1574,21.1407,0.0509,-0.0102,0.0611
25-1051.00,0.4694,0.1001,22.7273,0.4858,0.0885,22.5577,0.5411,0.1274,22.7194,-0.0717,-0.0553,-0.0164
25-1063.00,0.5088,0.1656,21.1399,0.4975,0.1555,21.9082,0.4745,0.122,22.4738,0.0343,0.023,0.0113
25-1064.00,0.5194,0.1464,19.6696,0.4988,0.141,19.7054,0.5072,0.1423,19.6503,0.0122,-0.0084,0.0206
25-1066.00,0.5504,0.1511,22.2342,0.5721,0.1769,23.5708,0.5366,0.1536,21.5333,0.0138,0.0355,-0.0217
25-2031.00,0.597,0.2219,24.9841,0.5871,0.1949,24.4664,0.5621,0.175,24.6664,0.0349,0.025,0.0099
25-3011.00,0.6103,0.2227,23.8069,0.583,0.1953,23.9353,0.5888,0.1942,23.2304,0.0215,-0.0058,0.0273
27-1012.00,0.7126,0.2273,18.8448,0.6726,0.2514,20.1198,0.6824,0.2248,20.2414,0.0302,-0.0098,0.04
27-1023.00,0.6691,0.2688,18.6518,0.6663,0.2521,18.5856,0.6356,0.2673,17.8804,0.0335,0.0307,0.0028
27-1024.00,0.7187,0.2376,19.8521,0.7255,0.2257,19.2332,0.6811,0.2265,19.9964,0.0376,0.0444,-0.0068
27-1025.00,0.7382,0.2276,22.9726,0.6557,0.2201,19.2194,0.7051,0.2159,20.851,0.0331,-0.0494,0.0825
27-2012.04,0.6469,0.2257,22.5295,0.6238,0.1823,22.8349,0.5992,0.1745,22.0959,0.0477,0.0246,0.0231
27-2012.05,0.7071,0.2228,20.2203,0.6633,0.1949,22.4022,0.6967,0.2017,22.543,0.0104,-0.0334,0.0438
27-2022.00,0.5601,0.1741,24.958,0.5713,0.1898,25.2084,0.5281,0.1411,25.3853,0.032,0.0432,-0.0112
27-2041.00,0.6711,0.2129,21.4053,0.5962,0.2052,22.8123,0.6742,0.2146,22.6758,-0.0031,-0.078,0.0749
51-2022.00,0.7108,0.2072,17.261,0.6633,0.1938,17.4233,0.7318,0.2146,16.5282,-0.021,-0.0685,0.0475
51-3091.00,0.7175,0.2219,19.2946,0.7242,0.2051,19.8314,0.7128,0.2175,20.093,0.0047,0.0114,-0.0067
51-4021.00,0.7527,0.2242,18.2994,0.6973,0.2131,19.3391,0.7459,0.2028,18.0494,0.0068,-0.0486,0.0554
51-4061.00,0.7134,0.2269,18.235,0.6847,0.2014,17.4454,0.7147,0.2067,18.0829,-0.0013,-0.03,0.0287
51-4072.00,0.7398,0.1957,18.6281,0.7137,0.2063,18.4518,0.7306,0.2002,18.4268,0.0092,-0.0169,0.0261
51-4122.00,0.6946,0.2088,19.4302,0.6755,0.2151,18.1928,0.6973,0.2101,19.2432,-0.0027,-0.0218,0.0191
51-9071.00,0.598,0.2273,17.3367,0.5986,0.2405,17.9108,0.6175,0.2297,16.815,-0.0195,-0.0189,-0.0006
51-9192.00,0.6876,0.2283,19.8805,0.6893,0.2165,18.5183,0.6781,0.1919,17.3054,0.0095,0.0112,-0.0017
