job_code,n_male,n_female,n_neutral,male_mean,female_mean,neutral_mean,cohens_d_male_female,effect_size_male_female,direction_male_female,cohens_d_male_neutral,effect_size_male_neutral,direction_male_neutral,cohens_d_female_neutral,effect_size_female_neutral,direction_female_neutral
11-1021.00,30,30,30,0.6372,0.6367,0.6453,0.003,negligible,male > female,-0.0455,negligible,neutral > male,-0.047,negligible,neutral > female
11-3012.00,30,30,30,0.6885,0.6865,0.693,0.0092,negligible,male > female,-0.0214,negligible,neutral > male,-0.0298,negligible,neutral > female
11-3013.00,30,30,30,0.6287,0.6392,0.6135,-0.0543,negligible,female > male,0.0743,negligible,male > neutral,0.1292,negligible,female > neutral
11-3013.01,30,30,30,0.6382,0.6439,0.6668,-0.0261,negligible,female > male,-0.1317,negligible,neutral > male,-0.109,negligible,neutral > female
11-3051.01,30,30,30,0.6512,0.6431,0.6256,0.0398,negligible,male > female,0.1272,negligible,male > neutral,0.0884,negligible,female > neutral
11-3061.00,30,30,30,0.5797,0.575,0.579,0.0265,negligible,male > female,0.0041,negligible,male > neutral,-0.0215,negligible,neutral > female
11-3071.04,30,30,30,0.6159,0.5654,0.6095,0.2862,small,male > female,0.0369,negligible,male > neutral,-0.2448,small,neutral > female
11-9179.02,30,30,30,0.6312,0.6369,0.6383,-0.026,negligible,female > male,-0.0319,negligible,neutral > male,-0.0066,negligible,neutral > female
17-1012.00,30,30,30,0.5756,0.583,0.5473,-0.0322,negligible,female > male,0.134,negligible,male > neutral,0.158,negligible,female > neutral
17-2031.00,30,30,30,0.6653,0.6362,0.6227,0.1485,negligible,male > female,0.2054,small,male > neutral,0.0654,negligible,female > neutral
17-2041.00,30,30,30,0.667,0.6459,0.6602,0.1069,negligible,male > female,0.0346,negligible,male > neutral,-0.0754,negligible,neutral > female
17-2072.01,30,30,30,0.5441,0.5836,0.5772,-0.1932,negligible,female > male,-0.1723,negligible,neutral > male,0.031,negligible,female > neutral
17-2081.00,30,30,30,0.604,0.526,0.5087,0.3734,small,male > female,0.4612,small,male > neutral,0.0953,negligible,female > neutral
17-2111.02,30,30,30,0.5947,0.5576,0.5013,0.166,negligible,male > female,0.4845,small,male > neutral,0.2727,small,female > neutral
17-3022.00,30,30,30,0.6739,0.599,0.6068,0.3596,small,male > female,0.3379,small,male > neutral,-0.0381,negligible,neutral > female
17-3027.00,30,30,30,0.6344,0.646,0.6526,-0.0587,negligible,female > male,-0.0909,negligible,neutral > male,-0.0328,negligible,neutral > female
25-1021.00,30,30,30,0.5472,0.5359,0.5658,0.085,negligible,male > female,-0.1242,negligible,neutral > male,-0.1955,negligible,neutral > female
25-1043.00,30,30,30,0.4973,0.4463,0.4443,0.3044,small,male > female,0.3126,small,male > neutral,0.0131,negligible,female > neutral
25-1051.00,30,30,30,0.4656,0.4827,0.5339,-0.178,negligible,female > male,-0.5867,medium,neutral > male,-0.4592,small,neutral > female
25-1063.00,30,30,30,0.5002,0.4922,0.4792,0.0487,negligible,male > female,0.142,negligible,male > neutral,0.0918,negligible,female > neutral
25-1064.00,30,30,30,0.5015,0.4823,0.494,0.1312,negligible,male > female,0.0512,negligible,male > neutral,-0.081,negligible,neutral > female
25-1066.00,30,30,30,0.5403,0.5663,0.5275,-0.1554,negligible,female > male,0.0824,negligible,male > neutral,0.2301,small,female > neutral
25-2031.00,30,30,30,0.5904,0.5797,0.5546,0.0502,negligible,male > female,0.1761,negligible,male > neutral,0.1334,negligible,female > neutral
25-3011.00,30,30,30,0.6038,0.5797,0.5692,0.1133,negligible,male > female,0.1628,negligible,male > neutral,0.0528,negligible,female > neutral
27-1012.00,30,30,30,0.6524,0.6263,0.639,0.1072,negligible,male > female,0.0582,negligible,male > neutral,-0.0525,negligible,neutral > female
27-1023.00,30,30,30,0.5806,0.5867,0.5688,-0.0228,negligible,female > male,0.0433,negligible,male > neutral,0.0675,negligible,female > neutral
27-1024.00,30,30,30,0.6723,0.6796,0.6362,-0.031,negligible,female > male,0.1526,negligible,male > neutral,0.1884,negligible,female > neutral
27-1025.00,30,30,30,0.7086,0.6215,0.6683,0.3825,small,male > female,0.1788,negligible,male > neutral,-0.2109,small,neutral > female
27-2012.04,30,30,30,0.6305,0.6139,0.5813,0.0798,negligible,male > female,0.2399,small,male > neutral,0.1795,negligible,female > neutral
27-2012.05,30,30,30,0.6572,0.6365,0.6689,0.0972,negligible,male > female,-0.0541,negligible,neutral > male,-0.1605,negligible,neutral > female
27-2022.00,30,30,30,0.5534,0.5726,0.5264,-0.1036,negligible,female > male,0.168,negligible,male > neutral,0.272,small,female > neutral
27-2041.00,30,30,30,0.6335,0.5792,0.6559,0.2557,small,male > female,-0.1029,negligible,neutral > male,-0.3593,small,neutral > female
51-2022.00,30,30,30,0.6901,0.6444,0.6875,0.2239,small,male > female,0.0124,negligible,male > neutral,-0.2068,small,neutral > female
51-3091.00,30,30,30,0.6984,0.717,0.7081,-0.0854,negligible,female > male,-0.0434,negligible,neutral > male,0.0412,negligible,female > neutral
51-4021.00,30,30,30,0.7344,0.6974,0.7285,0.1665,negligible,male > female,0.0271,negligible,male > neutral,-0.1472,negligible,neutral > female
51-4061.00,30,30,30,0.6825,0.6571,0.6768,0.1166,negligible,male > female,0.0258,negligible,male > neutral,-0.0952,negligible,neutral > female
51-4072.00,30,30,30,0.7215,0.6834,0.7063,0.186,negligible,male > female,0.0752,negligible,male > neutral,-0.1107,negligible,neutral > female
51-4122.00,30,30,30,0.6885,0.6353,0.6994,0.2466,small,male > female,-0.0514,negligible,neutral > male,-0.2965,small,neutral > female
51-9071.00,30,30,30,0.5608,0.5515,0.5739,0.0389,negligible,male > female,-0.0563,negligible,neutral > male,-0.0934,negligible,neutral > female
51-9192.00,30,30,30,0.6907,0.6804,0.653,0.0457,negligible,male > female,0.1762,negligible,male > neutral,0.132,negligible,female > neutral
