job_code,n_male,n_female,mean_male,mean_female,mean_diff_male_vs_female,t_stat_male_vs_female,p_value_male_vs_female,equal_variances_male_vs_female,significant_05_male_vs_female,n_neutral,mean_neutral,mean_diff_male_vs_neutral,t_stat_male_vs_neutral,p_value_male_vs_neutral,equal_variances_male_vs_neutral,significant_05_male_vs_neutral,mean_diff_female_vs_neutral,t_stat_female_vs_neutral,p_value_female_vs_neutral,equal_variances_female_vs_neutral,significant_05_female_vs_neutral
11-1021.00,30,30,0.6372,0.6367,0.0006,0.0116,0.9908,True,False,30,0.6453,-0.0081,-0.1762,0.8607,True,False,-0.0087,-0.182,0.8562,True,False
11-3012.00,30,30,0.6885,0.6865,0.002,0.0357,0.9717,True,False,30,0.693,-0.0045,-0.0829,0.9342,True,False,-0.0065,-0.1154,0.9085,True,False
11-3013.00,30,30,0.6287,0.6392,-0.0105,-0.2103,0.8342,True,False,30,0.6135,0.0152,0.2879,0.7744,True,False,0.0257,0.5005,0.6186,True,False
11-3013.01,30,30,0.6382,0.6439,-0.0057,-0.101,0.9199,True,False,30,0.6668,-0.0286,-0.5103,0.6118,True,False,-0.0229,-0.422,0.6746,True,False
11-3051.01,30,30,0.6512,0.6431,0.0081,0.1542,0.878,True,False,30,0.6256,0.0256,0.4925,0.6242,True,False,0.0175,0.3423,0.7334,True,False
11-3061.00,30,30,0.5797,0.575,0.0047,0.1026,0.9186,True,False,30,0.579,0.0007,0.0157,0.9875,True,False,-0.0039,-0.0831,0.9341,True,False
11-3071.04,30,30,0.6159,0.5654,0.0504,1.1085,0.2722,True,False,30,0.6095,0.0064,0.1431,0.8867,True,False,-0.044,-0.9482,0.347,True,False
11-9179.02,30,30,0.6312,0.6369,-0.0056,-0.1009,0.92,True,False,30,0.6383,-0.0071,-0.1236,0.9021,True,False,-0.0015,-0.0257,0.9796,True,False
17-1012.00,30,30,0.5756,0.583,-0.0073,-0.1249,0.901,True,False,30,0.5473,0.0284,0.5189,0.6058,True,False,0.0357,0.6118,0.543,True,False
17-2031.00,30,30,0.6653,0.6362,0.0291,0.5752,0.5674,True,False,30,0.6227,0.0426,0.7953,0.4297,True,False,0.0135,0.2532,0.801,True,False
17-2041.00,30,30,0.667,0.6459,0.0212,0.4139,0.6804,True,False,30,0.6602,0.0068,0.1342,0.8937,True,False,-0.0143,-0.2918,0.7715,True,False
17-2072.01,30,30,0.5441,0.5836,-0.0394,-0.7481,0.4574,True,False,30,0.5772,-0.033,-0.6672,0.5073,True,False,0.0064,0.1199,0.905,True,False
17-2081.00,30,30,0.604,0.526,0.078,1.4463,0.1535,True,False,30,0.5087,0.0953,1.7861,0.0793,True,False,0.0173,0.3691,0.7134,True,False
17-2111.02,30,30,0.5947,0.5576,0.0371,0.6431,0.5227,True,False,30,0.5013,0.0934,1.8764,0.0656,True,False,0.0563,1.0562,0.2953,True,False
17-3022.00,30,30,0.6739,0.599,0.0749,1.3928,0.169,True,False,30,0.6068,0.0671,1.3086,0.1958,True,False,-0.0078,-0.1474,0.8833,True,False
17-3027.00,30,30,0.6344,0.646,-0.0116,-0.2272,0.821,True,False,30,0.6526,-0.0183,-0.3519,0.7262,True,False,-0.0067,-0.1271,0.8993,True,False
25-1021.00,30,30,0.5472,0.5359,0.0113,0.3291,0.7433,True,False,30,0.5658,-0.0186,-0.481,0.6323,True,False,-0.0299,-0.7572,0.452,True,False
25-1043.00,30,30,0.4973,0.4463,0.051,1.1788,0.2433,True,False,30,0.4443,0.053,1.2107,0.2309,True,False,0.0021,0.0506,0.9598,True,False
25-1051.00,30,30,0.4656,0.4827,-0.0171,-0.6895,0.4932,True,False,30,0.5339,-0.0683,-2.2721,0.0268,True,True,-0.0512,-1.7786,0.0805,True,False
25-1063.00,30,30,0.5002,0.4922,0.008,0.1885,0.8512,True,False,30,0.4792,0.021,0.5499,0.5845,True,False,0.013,0.3556,0.7234,True,False
25-1064.00,30,30,0.5015,0.4823,0.0192,0.5083,0.6132,True,False,30,0.494,0.0075,0.1984,0.8434,True,False,-0.0117,-0.3136,0.755,True,False
25-1066.00,30,30,0.5403,0.5663,-0.026,-0.6017,0.5497,True,False,30,0.5275,0.0128,0.319,0.7509,True,False,0.0388,0.891,0.3766,True,False
25-2031.00,30,30,0.5904,0.5797,0.0107,0.1945,0.8465,True,False,30,0.5546,0.0358,0.6821,0.4979,True,False,0.0251,0.5166,0.6074,True,False
25-3011.00,30,30,0.6038,0.5797,0.0241,0.4387,0.6625,True,False,30,0.5692,0.0346,0.6304,0.5309,True,False,0.0105,0.2046,0.8386,True,False
27-1012.00,30,30,0.6524,0.6263,0.0261,0.4152,0.6796,True,False,30,0.639,0.0134,0.2255,0.8224,True,False,-0.0127,-0.2034,0.8395,True,False
27-1023.00,30,30,0.5806,0.5867,-0.006,-0.0882,0.93,True,False,30,0.5688,0.0118,0.1677,0.8674,True,False,0.0178,0.2615,0.7946,True,False
27-1024.00,30,30,0.6723,0.6796,-0.0073,-0.1199,0.905,True,False,30,0.6362,0.036,0.5909,0.5569,True,False,0.0433,0.7295,0.4686,True,False
27-1025.00,30,30,0.7086,0.6215,0.0871,1.4814,0.1439,True,False,30,0.6683,0.0403,0.6925,0.4914,True,False,-0.0468,-0.8167,0.4174,True,False
27-2012.04,30,30,0.6305,0.6139,0.0166,0.309,0.7585,True,False,30,0.5813,0.0492,0.929,0.3567,True,False,0.0326,0.6952,0.4897,True,False
27-2012.05,30,30,0.6572,0.6365,0.0207,0.3764,0.708,True,False,30,0.6689,-0.0117,-0.2095,0.8348,True,False,-0.0324,-0.6218,0.5365,True,False
27-2022.00,30,30,0.5534,0.5726,-0.0192,-0.4011,0.6898,True,False,30,0.5264,0.0271,0.6508,0.5177,True,False,0.0463,1.0533,0.2966,True,False
27-2041.00,30,30,0.6335,0.5792,0.0544,0.9902,0.3262,True,False,30,0.6559,-0.0224,-0.3984,0.6918,True,False,-0.0767,-1.3916,0.1694,True,False
51-2022.00,30,30,0.6901,0.6444,0.0457,0.8672,0.3894,True,False,30,0.6875,0.0027,0.0482,0.9617,True,False,-0.043,-0.801,0.4264,True,False
51-3091.00,30,30,0.6984,0.717,-0.0186,-0.3309,0.7419,True,False,30,0.7081,-0.0097,-0.1682,0.867,True,False,0.0089,0.1597,0.8737,True,False
51-4021.00,30,30,0.7344,0.6974,0.037,0.6449,0.5215,True,False,30,0.7285,0.0059,0.1051,0.9167,True,False,-0.0311,-0.5702,0.5708,True,False
51-4061.00,30,30,0.6825,0.6571,0.0254,0.4517,0.6532,True,False,30,0.6768,0.0057,0.0998,0.9208,True,False,-0.0198,-0.3687,0.7137,True,False
51-4072.00,30,30,0.7215,0.6834,0.038,0.7204,0.4741,True,False,30,0.7063,0.0152,0.2914,0.7718,True,False,-0.0229,-0.4289,0.6696,True,False
51-4122.00,30,30,0.6885,0.6353,0.0532,0.9552,0.3435,True,False,30,0.6994,-0.011,-0.1992,0.8428,True,False,-0.0641,-1.1484,0.2555,True,False
51-9071.00,30,30,0.5608,0.5515,0.0093,0.1506,0.8808,True,False,30,0.5739,-0.0131,-0.2182,0.8281,True,False,-0.0223,-0.3619,0.7188,True,False
51-9192.00,30,30,0.6907,0.6804,0.0103,0.1769,0.8602,True,False,30,0.653,0.0378,0.6823,0.4977,True,False,0.0275,0.5111,0.6112,True,False
