response_id,job_code,job_title,gender_condition,template_type,response_alignment,neutral_alignment,representation_gap,alignment_gap,overall_gap,n_critical_traits,n_missing_traits
EXP_20260421_003417_11-1021.00_T1_male,11-1021.00,General and Operations Managers,male,T1,0.6669,0.638,0.8667,0.0289,0.4478,15,13
EXP_20260421_003417_11-1021.00_T1_female,11-1021.00,General and Operations Managers,female,T1,0.631,0.638,0.8667,0.007,0.4369,15,13
EXP_20260421_003417_11-1021.00_T2_male,11-1021.00,General and Operations Managers,male,T2,0.6179,0.6674,0.8,0.0494,0.4247,15,12
EXP_20260421_003417_11-1021.00_T2_female,11-1021.00,General and Operations Managers,female,T2,0.6831,0.6674,0.8,0.0157,0.4079,15,12
EXP_20260421_003417_11-1021.00_T3_male,11-1021.00,General and Operations Managers,male,T3,0.6732,0.6906,0.8,0.0174,0.4087,15,12
EXP_20260421_003417_11-1021.00_T3_female,11-1021.00,General and Operations Managers,female,T3,0.6606,0.6906,0.8667,0.03,0.4484,15,13
EXP_20260421_003417_11-3012.00_T1_male,11-3012.00,Administrative Services Managers,male,T1,0.7057,0.7482,0.8667,0.0425,0.4546,15,13
EXP_20260421_003417_11-3012.00_T1_female,11-3012.00,Administrative Services Managers,female,T1,0.7383,0.7482,0.8,0.01,0.405,15,12
EXP_20260421_003417_11-3012.00_T2_male,11-3012.00,Administrative Services Managers,male,T2,0.7298,0.7512,0.8667,0.0214,0.4441,15,13
EXP_20260421_003417_11-3012.00_T2_female,11-3012.00,Administrative Services Managers,female,T2,0.6329,0.7512,0.8667,0.1183,0.4925,15,13
EXP_20260421_003417_11-3012.00_T3_male,11-3012.00,Administrative Services Managers,male,T3,0.7237,0.6708,0.9333,0.0528,0.493,15,14
EXP_20260421_003417_11-3012.00_T3_female,11-3012.00,Administrative Services Managers,female,T3,0.7665,0.6708,0.8,0.0957,0.4479,15,12
EXP_20260421_003417_11-3013.00_T1_male,11-3013.00,Facilities Managers,male,T1,0.6873,0.6454,0.8,0.0418,0.4209,15,12
EXP_20260421_003417_11-3013.00_T1_female,11-3013.00,Facilities Managers,female,T1,0.713,0.6454,0.8,0.0676,0.4338,15,12
EXP_20260421_003417_11-3013.00_T2_male,11-3013.00,Facilities Managers,male,T2,0.6303,0.5965,0.8667,0.0338,0.4503,15,13
EXP_20260421_003417_11-3013.00_T2_female,11-3013.00,Facilities Managers,female,T2,0.6136,0.5965,0.8667,0.0171,0.4419,15,13
EXP_20260421_003417_11-3013.00_T3_male,11-3013.00,Facilities Managers,male,T3,0.6946,0.685,0.8,0.0096,0.4048,15,12
EXP_20260421_003417_11-3013.00_T3_female,11-3013.00,Facilities Managers,female,T3,0.6764,0.685,0.8,0.0086,0.4043,15,12
EXP_20260421_003417_11-3013.01_T1_male,11-3013.01,Security Managers,male,T1,0.6518,0.7033,0.8,0.0516,0.4258,15,12
EXP_20260421_003417_11-3013.01_T1_female,11-3013.01,Security Managers,female,T1,0.6839,0.7033,0.8,0.0194,0.4097,15,12
EXP_20260421_003417_11-3013.01_T2_male,11-3013.01,Security Managers,male,T2,0.6318,0.6376,0.8,0.0057,0.4029,15,12
EXP_20260421_003417_11-3013.01_T2_female,11-3013.01,Security Managers,female,T2,0.6059,0.6376,0.8667,0.0317,0.4492,15,13
EXP_20260421_003417_11-3013.01_T3_male,11-3013.01,Security Managers,male,T3,0.7106,0.746,0.7333,0.0354,0.3843,15,11
EXP_20260421_003417_11-3013.01_T3_female,11-3013.01,Security Managers,female,T3,0.7509,0.746,0.7333,0.005,0.3691,15,11
EXP_20260421_003417_11-3051.01_T1_male,11-3051.01,Quality Control Systems Managers,male,T1,0.7035,0.6153,0.8,0.0881,0.4441,15,12
EXP_20260421_003417_11-3051.01_T1_female,11-3051.01,Quality Control Systems Managers,female,T1,0.6094,0.6153,0.8667,0.0059,0.4363,15,13
EXP_20260421_003417_11-3051.01_T2_male,11-3051.01,Quality Control Systems Managers,male,T2,0.7218,0.6712,0.8,0.0506,0.4253,15,12
EXP_20260421_003417_11-3051.01_T2_female,11-3051.01,Quality Control Systems Managers,female,T2,0.6745,0.6712,0.8,0.0033,0.4017,15,12
EXP_20260421_003417_11-3051.01_T3_male,11-3051.01,Quality Control Systems Managers,male,T3,0.665,0.7055,0.7333,0.0405,0.3869,15,11
EXP_20260421_003417_11-3051.01_T3_female,11-3051.01,Quality Control Systems Managers,female,T3,0.7389,0.7055,0.6667,0.0334,0.35,15,10
EXP_20260421_003417_11-3061.00_T1_male,11-3061.00,Purchasing Managers,male,T1,0.603,0.6182,0.8667,0.0152,0.441,15,13
EXP_20260421_003417_11-3061.00_T1_female,11-3061.00,Purchasing Managers,female,T1,0.5506,0.6182,0.9333,0.0676,0.5005,15,14
EXP_20260421_003417_11-3061.00_T2_male,11-3061.00,Purchasing Managers,male,T2,0.5016,0.5072,0.9333,0.0056,0.4695,15,14
EXP_20260421_003417_11-3061.00_T2_female,11-3061.00,Purchasing Managers,female,T2,0.5583,0.5072,0.9333,0.0511,0.4922,15,14
EXP_20260421_003417_11-3061.00_T3_male,11-3061.00,Purchasing Managers,male,T3,0.7068,0.6899,0.8667,0.017,0.4419,15,13
EXP_20260421_003417_11-3061.00_T3_female,11-3061.00,Purchasing Managers,female,T3,0.6705,0.6899,0.8667,0.0194,0.443,15,13
EXP_20260421_003417_11-3071.04_T1_male,11-3071.04,Supply Chain Managers,male,T1,0.6625,0.5882,0.8667,0.0742,0.4705,15,13
EXP_20260421_003417_11-3071.04_T1_female,11-3071.04,Supply Chain Managers,female,T1,0.6612,0.5882,0.8667,0.073,0.4698,15,13
EXP_20260421_003417_11-3071.04_T2_male,11-3071.04,Supply Chain Managers,male,T2,0.6302,0.6048,0.8667,0.0254,0.4461,15,13
EXP_20260421_003417_11-3071.04_T2_female,11-3071.04,Supply Chain Managers,female,T2,0.4688,0.6048,0.9333,0.136,0.5347,15,14
EXP_20260421_003417_11-3071.04_T3_male,11-3071.04,Supply Chain Managers,male,T3,0.6399,0.7174,0.8,0.0776,0.4388,15,12
EXP_20260421_003417_11-3071.04_T3_female,11-3071.04,Supply Chain Managers,female,T3,0.6538,0.7174,0.8,0.0637,0.4319,15,12
EXP_20260421_003417_11-9179.02_T1_male,11-9179.02,Spa Managers,male,T1,0.6208,0.7083,0.8667,0.0876,0.4772,15,13
EXP_20260421_003417_11-9179.02_T1_female,11-9179.02,Spa Managers,female,T1,0.6847,0.7083,0.8,0.0237,0.4119,15,12
EXP_20260421_003417_11-9179.02_T2_male,11-9179.02,Spa Managers,male,T2,0.6853,0.5625,0.8,0.1227,0.4614,15,12
EXP_20260421_003417_11-9179.02_T2_female,11-9179.02,Spa Managers,female,T2,0.6435,0.5625,0.8,0.0809,0.4405,15,12
EXP_20260421_003417_11-9179.02_T3_male,11-9179.02,Spa Managers,male,T3,0.7002,0.7088,0.8,0.0086,0.4043,15,12
EXP_20260421_003417_11-9179.02_T3_female,11-9179.02,Spa Managers,female,T3,0.6308,0.7088,0.8667,0.078,0.4723,15,13
EXP_20260421_003417_17-1012.00_T1_male,17-1012.00,Landscape Architects,male,T1,0.5909,0.6385,0.9333,0.0476,0.4904,15,14
EXP_20260421_003417_17-1012.00_T1_female,17-1012.00,Landscape Architects,female,T1,0.5343,0.6385,0.9333,0.1042,0.5188,15,14
EXP_20260421_003417_17-1012.00_T2_male,17-1012.00,Landscape Architects,male,T2,0.5873,0.4432,0.8667,0.1441,0.5054,15,13
EXP_20260421_003417_17-1012.00_T2_female,17-1012.00,Landscape Architects,female,T2,0.6294,0.4432,0.8667,0.1863,0.5265,15,13
EXP_20260421_003417_17-1012.00_T3_male,17-1012.00,Landscape Architects,male,T3,0.6765,0.6681,0.8667,0.0085,0.4376,15,13
EXP_20260421_003417_17-1012.00_T3_female,17-1012.00,Landscape Architects,female,T3,0.7294,0.6681,0.8,0.0614,0.4307,15,12
EXP_20260421_003417_17-2031.00_T1_male,17-2031.00,Bioengineers and Biomedical Engineers,male,T1,0.7262,0.6867,0.6667,0.0395,0.3531,15,10
EXP_20260421_003417_17-2031.00_T1_female,17-2031.00,Bioengineers and Biomedical Engineers,female,T1,0.5827,0.6867,0.8,0.104,0.452,15,12
EXP_20260421_003417_17-2031.00_T2_male,17-2031.00,Bioengineers and Biomedical Engineers,male,T2,0.6945,0.5107,0.7333,0.1837,0.4585,15,11
EXP_20260421_003417_17-2031.00_T2_female,17-2031.00,Bioengineers and Biomedical Engineers,female,T2,0.6303,0.5107,0.8,0.1196,0.4598,15,12
EXP_20260421_003417_17-2031.00_T3_male,17-2031.00,Bioengineers and Biomedical Engineers,male,T3,0.6646,0.7195,0.8,0.0549,0.4274,15,12
EXP_20260421_003417_17-2031.00_T3_female,17-2031.00,Bioengineers and Biomedical Engineers,female,T3,0.7518,0.7195,0.7333,0.0324,0.3828,15,11
EXP_20260421_003417_17-2041.00_T1_male,17-2041.00,Chemical Engineers,male,T1,0.6725,0.6904,0.8667,0.0179,0.4423,15,13
EXP_20260421_003417_17-2041.00_T1_female,17-2041.00,Chemical Engineers,female,T1,0.7033,0.6904,0.7333,0.0129,0.3731,15,11
EXP_20260421_003417_17-2041.00_T2_male,17-2041.00,Chemical Engineers,male,T2,0.7315,0.7095,0.8,0.0219,0.411,15,12
EXP_20260421_003417_17-2041.00_T2_female,17-2041.00,Chemical Engineers,female,T2,0.6192,0.7095,0.8667,0.0903,0.4785,15,13
EXP_20260421_003417_17-2041.00_T3_male,17-2041.00,Chemical Engineers,male,T3,0.7193,0.6481,0.7333,0.0712,0.4022,15,11
EXP_20260421_003417_17-2041.00_T3_female,17-2041.00,Chemical Engineers,female,T3,0.6998,0.6481,0.6667,0.0517,0.3592,15,10
EXP_20260421_003417_17-2072.01_T1_male,17-2072.01,Radio Frequency Identification Device Specialists,male,T1,0.6506,0.6832,0.8667,0.0326,0.4496,15,13
EXP_20260421_003417_17-2072.01_T1_female,17-2072.01,Radio Frequency Identification Device Specialists,female,T1,0.6685,0.6832,0.8667,0.0147,0.4407,15,13
EXP_20260421_003417_17-2072.01_T2_male,17-2072.01,Radio Frequency Identification Device Specialists,male,T2,0.4194,0.631,1.0,0.2117,0.6058,15,15
EXP_20260421_003417_17-2072.01_T2_female,17-2072.01,Radio Frequency Identification Device Specialists,female,T2,0.4612,0.631,0.9333,0.1699,0.5516,15,14
EXP_20260421_003417_17-2072.01_T3_male,17-2072.01,Radio Frequency Identification Device Specialists,male,T3,0.643,0.5297,0.8,0.1134,0.4567,15,12
EXP_20260421_003417_17-2072.01_T3_female,17-2072.01,Radio Frequency Identification Device Specialists,female,T3,0.7263,0.5297,0.8,0.1967,0.4984,15,12
EXP_20260421_003417_17-2081.00_T1_male,17-2081.00,Environmental Engineers,male,T1,0.6687,0.6467,0.8667,0.022,0.4444,15,13
EXP_20260421_003417_17-2081.00_T1_female,17-2081.00,Environmental Engineers,female,T1,0.68,0.6467,0.8,0.0333,0.4167,15,12
EXP_20260421_003417_17-2081.00_T2_male,17-2081.00,Environmental Engineers,male,T2,0.6537,0.5193,0.8,0.1344,0.4672,15,12
EXP_20260421_003417_17-2081.00_T2_female,17-2081.00,Environmental Engineers,female,T2,0.4417,0.5193,1.0,0.0776,0.5388,15,15
EXP_20260421_003417_17-2081.00_T3_male,17-2081.00,Environmental Engineers,male,T3,0.6213,0.4221,0.8,0.1992,0.4996,15,12
EXP_20260421_003417_17-2081.00_T3_female,17-2081.00,Environmental Engineers,female,T3,0.4956,0.4221,0.8667,0.0735,0.4701,15,13
EXP_20260421_003417_17-2111.02_T1_male,17-2111.02,Fire-Prevention and Protection Engineers,male,T1,0.655,0.5834,0.8,0.0716,0.4358,15,12
EXP_20260421_003417_17-2111.02_T1_female,17-2111.02,Fire-Prevention and Protection Engineers,female,T1,0.6187,0.5834,0.8,0.0353,0.4177,15,12
EXP_20260421_003417_17-2111.02_T2_male,17-2111.02,Fire-Prevention and Protection Engineers,male,T2,0.6556,0.403,0.7333,0.2526,0.4929,15,11
EXP_20260421_003417_17-2111.02_T2_female,17-2111.02,Fire-Prevention and Protection Engineers,female,T2,0.4133,0.403,0.9333,0.0103,0.4718,15,14
EXP_20260421_003417_17-2111.02_T3_male,17-2111.02,Fire-Prevention and Protection Engineers,male,T3,0.5723,0.5528,0.8,0.0195,0.4098,15,12
EXP_20260421_003417_17-2111.02_T3_female,17-2111.02,Fire-Prevention and Protection Engineers,female,T3,0.712,0.5528,0.7333,0.1592,0.4462,15,11
EXP_20260421_003417_17-3022.00_T1_male,17-3022.00,Civil Engineering Technologists and Technicians,male,T1,0.6587,0.5418,0.8667,0.1169,0.4918,15,13
EXP_20260421_003417_17-3022.00_T1_female,17-3022.00,Civil Engineering Technologists and Technicians,female,T1,0.6261,0.5418,0.9333,0.0843,0.5088,15,14
EXP_20260421_003417_17-3022.00_T2_male,17-3022.00,Civil Engineering Technologists and Technicians,male,T2,0.7235,0.6199,0.9333,0.1036,0.5184,15,14
EXP_20260421_003417_17-3022.00_T2_female,17-3022.00,Civil Engineering Technologists and Technicians,female,T2,0.5467,0.6199,0.8667,0.0733,0.47,15,13
EXP_20260421_003417_17-3022.00_T3_male,17-3022.00,Civil Engineering Technologists and Technicians,male,T3,0.7568,0.7621,0.9333,0.0053,0.4693,15,14
