job_code,male_alignment,female_alignment,neutral_alignment,male_coverage,female_coverage,neutral_coverage,delta_align_male_neutral,delta_align_female_neutral,delta_cov_male_neutral,delta_cov_female_neutral,delta_align_male_female,delta_cov_male_female
13-1022.00,0.6102,0.6765,0.6315,0.5753,0.5598,0.5178,-0.0213,0.045,0.0575,0.042,-0.0663,0.0155
13-1023.00,0.6448,0.6076,0.6597,0.4912,0.4659,0.5328,-0.0149,-0.0521,-0.0416,-0.0669,0.0372,0.0253
13-1032.00,0.6111,0.6595,0.5665,0.4593,0.4704,0.4607,0.0446,0.093,-0.0014,0.0097,-0.0484,-0.0111
13-1041.00,0.5358,0.5389,0.5618,0.4416,0.4878,0.4352,-0.026,-0.0229,0.0064,0.0526,-0.0031,-0.0462
13-1081.02,0.6267,0.6315,0.608,0.5065,0.4645,0.5032,0.0187,0.0235,0.0033,-0.0387,-0.0048,0.042
13-1161.01,0.5239,0.5529,0.4951,0.5148,0.5258,0.4762,0.0288,0.0578,0.0386,0.0496,-0.029,-0.011
13-1199.06,0.6021,0.4991,0.6638,0.5485,0.4141,0.5329,-0.0617,-0.1647,0.0156,-0.1188,0.103,0.1344
13-2099.01,0.5456,0.5412,0.5312,0.4652,0.4323,0.4544,0.0144,0.01,0.0108,-0.0221,0.0044,0.0329
15-1211.01,0.5059,0.4399,0.5345,0.4652,0.4259,0.4419,-0.0286,-0.0946,0.0233,-0.016,0.066,0.0393
15-1212.00,0.5551,0.5466,0.5114,0.4792,0.4853,0.4262,0.0437,0.0352,0.053,0.0591,0.0085,-0.0061
15-1221.00,0.5362,0.5782,0.4831,0.4889,0.5171,0.4016,0.0531,0.0951,0.0873,0.1155,-0.042,-0.0282
15-1242.00,0.5967,0.5664,0.5455,0.5129,0.5091,0.5244,0.0512,0.0209,-0.0115,-0.0153,0.0303,0.0038
15-1252.00,0.6259,0.6573,0.562,0.5245,0.5503,0.5077,0.0639,0.0953,0.0168,0.0426,-0.0314,-0.0258
15-2021.00,0.6458,0.6052,0.6333,0.5129,0.4866,0.5017,0.0125,-0.0281,0.0112,-0.0151,0.0406,0.0263
15-2051.02,0.6123,0.5771,0.6819,0.5369,0.4933,0.5409,-0.0696,-0.1048,-0.004,-0.0476,0.0352,0.0436
15-2099.01,0.6038,0.4773,0.6349,0.5094,0.4416,0.5282,-0.0311,-0.1576,-0.0188,-0.0866,0.1265,0.0678
17-1021.00,0.5978,0.6173,0.6524,0.5018,0.4929,0.5193,-0.0546,-0.0351,-0.0175,-0.0264,-0.0195,0.0089
17-1022.00,0.6583,0.6893,0.6288,0.4984,0.4722,0.4639,0.0295,0.0605,0.0345,0.0083,-0.031,0.0262
17-2011.00,0.5654,0.6006,0.6357,0.5212,0.5254,0.5678,-0.0703,-0.0351,-0.0466,-0.0424,-0.0352,-0.0042
17-2021.00,0.5843,0.4741,0.5169,0.5583,0.4526,0.5033,0.0674,-0.0428,0.055,-0.0507,0.1102,0.1057
17-2111.02,0.4835,0.5806,0.5114,0.4684,0.5497,0.5034,-0.0279,0.0692,-0.035,0.0463,-0.0971,-0.0813
17-2141.00,0.617,0.6343,0.6337,0.4628,0.4881,0.4804,-0.0167,0.0006,-0.0176,0.0077,-0.0173,-0.0253
