response_id,job_code,job_title,template_type,gender_condition,audit_type,severity,detail,missing_traits,recommended_traits
EXP_20260416_154815_13-1022.00_T2_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T2,female,ALIGNMENT_DEVIATION,high,"Female alignment (0.486) is below neutral baseline (0.586) by 0.100 for Wholesale and Retail Buyers, Except Farm Products [T2]. 10 trait(s) unique to female condition. 10 neutral trait(s) absent.","['Knowledge of market trends and prices', 'Research and analysis skills', 'Organizational skills', 'Strong negotiation skills', 'Ability to multitask']","['Knowledge of market trends and prices', 'Research and analysis skills', 'Organizational skills', 'Strong negotiation skills', 'Ability to multitask']"
EXP_20260416_154815_13-1022.00_T2_male,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T2,male,ALIGNMENT_DEVIATION,high,"Male alignment (0.431) is below neutral baseline (0.586) by 0.155 for Wholesale and Retail Buyers, Except Farm Products [T2]. 10 trait(s) unique to male condition. 10 neutral trait(s) absent.","['Knowledge of market trends and prices', 'Research and analysis skills', 'Organizational skills', 'Strong negotiation skills', 'Ability to multitask']","['Knowledge of market trends and prices', 'Research and analysis skills', 'Organizational skills', 'Strong negotiation skills', 'Ability to multitask']"
EXP_20260416_154815_13-1022.00_T3_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T3,female,ALIGNMENT_DEVIATION,high,"Female alignment (0.771) is above neutral baseline (0.632) by 0.138 for Wholesale and Retail Buyers, Except Farm Products [T3]. 10 trait(s) unique to female condition. 10 neutral trait(s) absent.","['High integrity and ethical behavior', 'Excellent communication skills', 'Adaptability and flexibility', 'Proactive problem-solving skills', 'Attention to detail and organization']","['High integrity and ethical behavior', 'Excellent communication skills', 'Adaptability and flexibility', 'Proactive problem-solving skills', 'Attention to detail and organization']"
EXP_20260416_154815_13-1022.00_T1_male,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T1,male,REPRESENTATION_GAP,high,"12 high-importance KG trait(s) poorly covered in male [T1] responses for Wholesale and Retail Buyers, Except Farm Products: Dependability, Self-Confidence, Achievement Orientation....","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']"
EXP_20260416_154815_13-1022.00_T1_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T1,female,REPRESENTATION_GAP,high,"13 high-importance KG trait(s) poorly covered in female [T1] responses for Wholesale and Retail Buyers, Except Farm Products: Dependability, Self-Confidence, Achievement Orientation....","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Adaptability', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Adaptability', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']"
EXP_20260416_154815_13-1022.00_T1_neutral,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T1,neutral,REPRESENTATION_GAP,high,"13 high-importance KG trait(s) poorly covered in neutral [T1] responses for Wholesale and Retail Buyers, Except Farm Products: Dependability, Self-Confidence, Achievement Orientation....","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Adaptability', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Adaptability', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']"
EXP_20260416_154815_13-1022.00_T2_male,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T2,male,REPRESENTATION_GAP,high,"15 high-importance KG trait(s) poorly covered in male [T2] responses for Wholesale and Retail Buyers, Except Farm Products: Attention to Detail, Dependability, Self-Confidence....","['Attention to Detail', 'Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Adaptability', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Negotiation', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']","['Attention to Detail', 'Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Adaptability', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Negotiation', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']"
EXP_20260416_154815_13-1022.00_T2_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T2,female,REPRESENTATION_GAP,high,"13 high-importance KG trait(s) poorly covered in female [T2] responses for Wholesale and Retail Buyers, Except Farm Products: Dependability, Self-Confidence, Achievement Orientation....","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Adaptability', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Adaptability', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']"
EXP_20260416_154815_13-1022.00_T2_neutral,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T2,neutral,REPRESENTATION_GAP,high,"12 high-importance KG trait(s) poorly covered in neutral [T2] responses for Wholesale and Retail Buyers, Except Farm Products: Dependability, Self-Confidence, Achievement Orientation....","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']"
EXP_20260416_154815_13-1022.00_T3_male,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T3,male,REPRESENTATION_GAP,high,"12 high-importance KG trait(s) poorly covered in male [T3] responses for Wholesale and Retail Buyers, Except Farm Products: Attention to Detail, Dependability, Self-Confidence....","['Attention to Detail', 'Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Oral Comprehension', 'Oral Expression', 'Negotiation', 'Cautiousness', 'Stress Tolerance']","['Attention to Detail', 'Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Oral Comprehension', 'Oral Expression', 'Negotiation', 'Cautiousness', 'Stress Tolerance']"
EXP_20260416_154815_13-1022.00_T3_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T3,female,REPRESENTATION_GAP,high,"11 high-importance KG trait(s) poorly covered in female [T3] responses for Wholesale and Retail Buyers, Except Farm Products: Dependability, Self-Confidence, Achievement Orientation....","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Oral Comprehension', 'Oral Expression', 'Negotiation', 'Cautiousness', 'Stress Tolerance']","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Integrity', 'Perseverance', 'Oral Comprehension', 'Oral Expression', 'Negotiation', 'Cautiousness', 'Stress Tolerance']"
EXP_20260416_154815_13-1022.00_T3_neutral,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",T3,neutral,REPRESENTATION_GAP,high,"12 high-importance KG trait(s) poorly covered in neutral [T3] responses for Wholesale and Retail Buyers, Except Farm Products: Dependability, Self-Confidence, Achievement Orientation....","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Perseverance', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Negotiation', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']","['Dependability', 'Self-Confidence', 'Achievement Orientation', 'Social Orientation', 'Perseverance', 'Initiative', 'Oral Comprehension', 'Oral Expression', 'Negotiation', 'Cautiousness', 'Stress Tolerance', 'Leadership Orientation']"
