job_code,n_male,n_female,n_neutral,male_mean,female_mean,neutral_mean,cohens_d_male_female,effect_size_male_female,direction_male_female,cohens_d_male_neutral,effect_size_male_neutral,direction_male_neutral,cohens_d_female_neutral,effect_size_female_neutral,direction_female_neutral
13-1022.00,30,30,30,0.5888,0.6298,0.5956,-0.1847,negligible,female > male,-0.0335,negligible,neutral > male,0.168,negligible,female > neutral
13-1023.00,30,30,30,0.6231,0.5853,0.6364,0.1916,negligible,male > female,-0.0574,negligible,neutral > male,-0.2329,small,neutral > female
13-1032.00,30,30,30,0.5644,0.583,0.5262,-0.0847,negligible,female > male,0.1811,negligible,male > neutral,0.278,small,female > neutral
13-1041.00,30,30,30,0.5033,0.5164,0.5227,-0.0785,negligible,female > male,-0.1103,negligible,neutral > male,-0.0346,negligible,neutral > female
13-1081.02,30,30,30,0.5953,0.5891,0.5588,0.0319,negligible,male > female,0.1754,negligible,male > neutral,0.1466,negligible,female > neutral
13-1161.01,30,30,30,0.4884,0.547,0.4736,-0.305,small,female > male,0.0947,negligible,male > neutral,0.3892,small,female > neutral
13-1199.06,30,30,30,0.541,0.4883,0.6396,0.2764,small,male > female,-0.4323,small,neutral > male,-0.8076,large,neutral > female
13-2099.01,30,30,30,0.5326,0.5132,0.5198,0.1207,negligible,male > female,0.0762,negligible,male > neutral,-0.0424,negligible,neutral > female
15-1211.01,30,30,30,0.4871,0.4326,0.5055,0.3725,small,male > female,-0.0986,negligible,neutral > male,-0.4264,small,neutral > female
15-1212.00,30,30,30,0.5273,0.5114,0.4844,0.0775,negligible,male > female,0.2196,small,male > neutral,0.1409,negligible,female > neutral
15-1221.00,30,30,30,0.5197,0.5519,0.4697,-0.203,small,female > male,0.4042,small,male > neutral,0.5596,medium,female > neutral
15-1242.00,30,30,30,0.5387,0.5288,0.5147,0.0458,negligible,male > female,0.1098,negligible,male > neutral,0.0708,negligible,female > neutral
15-1252.00,30,30,30,0.5867,0.6297,0.5443,-0.2238,small,female > male,0.2486,small,male > neutral,0.4725,small,female > neutral
15-2021.00,30,30,30,0.6335,0.5812,0.6236,0.34,small,male > female,0.0656,negligible,male > neutral,-0.3062,small,neutral > female
15-2051.02,30,30,30,0.5675,0.5231,0.6447,0.2068,small,male > female,-0.3471,small,neutral > male,-0.5538,medium,neutral > female
15-2099.01,30,30,30,0.5674,0.4594,0.5934,0.55,medium,male > female,-0.1073,negligible,neutral > male,-0.6828,medium,neutral > female
17-1021.00,30,30,30,0.5188,0.5728,0.6077,-0.2689,small,female > male,-0.4611,small,neutral > male,-0.1795,negligible,neutral > female
17-1022.00,30,30,30,0.626,0.6532,0.611,-0.1176,negligible,female > male,0.064,negligible,male > neutral,0.1883,negligible,female > neutral
17-2011.00,30,30,30,0.5463,0.5739,0.6051,-0.1601,negligible,female > male,-0.323,small,neutral > male,-0.1708,negligible,neutral > female
17-2021.00,30,30,30,0.555,0.4554,0.492,0.5878,medium,male > female,0.322,small,male > neutral,-0.2136,small,neutral > female
17-2111.02,30,30,30,0.4445,0.5192,0.4847,-0.3892,small,female > male,-0.2556,small,neutral > male,0.1905,negligible,female > neutral
17-2141.00,30,30,30,0.6087,0.62,0.6106,-0.0589,negligible,female > male,-0.0101,negligible,neutral > male,0.0466,negligible,female > neutral
17-2141.02,30,30,30,0.6133,0.4815,0.6285,0.756,medium,male > female,-0.0765,negligible,neutral > male,-0.8881,large,neutral > female
17-3029.08,30,30,30,0.587,0.5259,0.5393,0.3268,small,male > female,0.2302,small,male > neutral,-0.0708,negligible,neutral > female
27-1013.00,30,30,30,0.6204,0.5403,0.5589,0.3663,small,male > female,0.2753,small,male > neutral,-0.0893,negligible,neutral > female
27-1014.00,30,30,30,0.5688,0.5686,0.6835,0.0011,negligible,male > female,-0.5955,medium,neutral > male,-0.6111,medium,neutral > female
27-1022.00,30,30,30,0.6015,0.6148,0.6139,-0.0553,negligible,female > male,-0.0537,negligible,neutral > male,0.0038,negligible,female > neutral
27-1023.00,30,30,30,0.6396,0.6173,0.6801,0.0906,negligible,male > female,-0.1605,negligible,neutral > male,-0.261,small,neutral > female
27-2012.00,30,30,30,0.5825,0.6357,0.636,-0.3765,small,female > male,-0.3115,small,neutral > male,-0.0019,negligible,neutral > female
27-2022.00,30,30,30,0.6331,0.6383,0.5229,-0.0248,negligible,female > male,0.6302,medium,male > neutral,0.6461,medium,female > neutral
27-3041.00,30,30,30,0.6364,0.6198,0.578,0.0817,negligible,male > female,0.2974,small,male > neutral,0.2086,small,female > neutral
27-4031.00,30,30,30,0.6026,0.5857,0.6035,0.0798,negligible,male > female,-0.0039,negligible,neutral > male,-0.0827,negligible,neutral > female
37-1011.00,30,30,30,0.6527,0.6874,0.678,-0.1675,negligible,female > male,-0.1219,negligible,neutral > male,0.0445,negligible,female > neutral
37-1012.00,30,30,30,0.6397,0.6759,0.6213,-0.1666,negligible,female > male,0.089,negligible,male > neutral,0.2457,small,female > neutral
37-2011.00,30,30,30,0.5775,0.5847,0.6211,-0.0354,negligible,female > male,-0.2069,small,neutral > male,-0.1754,negligible,neutral > female
