job_code,n_male,n_female,mean_male,mean_female,mean_diff_male_vs_female,t_stat_male_vs_female,p_value_male_vs_female,equal_variances_male_vs_female,significant_05_male_vs_female,n_neutral,mean_neutral,mean_diff_male_vs_neutral,t_stat_male_vs_neutral,p_value_male_vs_neutral,equal_variances_male_vs_neutral,significant_05_male_vs_neutral,mean_diff_female_vs_neutral,t_stat_female_vs_neutral,p_value_female_vs_neutral,equal_variances_female_vs_neutral,significant_05_female_vs_neutral
13-1022.00,30,30,0.5888,0.6298,-0.041,-0.7152,0.4773,True,False,30,0.5956,-0.0068,-0.1296,0.8974,True,False,0.0343,0.6505,0.5179,True,False
13-1023.00,30,30,0.6231,0.5853,0.0378,0.7421,0.461,True,False,30,0.6364,-0.0133,-0.2222,0.8249,True,False,-0.0511,-0.9019,0.3708,True,False
13-1032.00,30,30,0.5644,0.583,-0.0186,-0.328,0.7441,True,False,30,0.5262,0.0382,0.7015,0.4858,True,False,0.0569,1.0767,0.2861,True,False
13-1041.00,30,30,0.5033,0.5164,-0.0131,-0.3039,0.7623,True,False,30,0.5227,-0.0194,-0.4272,0.6708,True,False,-0.0063,-0.134,0.8938,True,False
13-1081.02,30,30,0.5953,0.5891,0.0062,0.1234,0.9022,True,False,30,0.5588,0.0365,0.6792,0.4997,True,False,0.0303,0.5678,0.5723,True,False
13-1161.01,30,30,0.4884,0.547,-0.0587,-1.1814,0.2423,True,False,30,0.4736,0.0148,0.3668,0.7151,True,False,0.0734,1.5074,0.1371,True,False
13-1199.06,30,30,0.541,0.4883,0.0527,1.0705,0.2888,True,False,30,0.6396,-0.0986,-1.6744,0.0994,True,False,-0.1513,-3.1277,0.0028,False,True
13-2099.01,30,30,0.5326,0.5132,0.0194,0.4676,0.6419,True,False,30,0.5198,0.0129,0.2949,0.7691,True,False,-0.0065,-0.1644,0.87,True,False
15-1211.01,30,30,0.4871,0.4326,0.0545,1.4427,0.1545,True,False,30,0.5055,-0.0184,-0.3818,0.704,True,False,-0.0729,-1.6514,0.1041,True,False
15-1212.00,30,30,0.5273,0.5114,0.0159,0.3001,0.7652,True,False,30,0.4844,0.0428,0.8504,0.3986,True,False,0.0269,0.5455,0.5875,True,False
15-1221.00,30,30,0.5197,0.5519,-0.0322,-0.7864,0.4348,True,False,30,0.4697,0.05,1.5653,0.1229,True,False,0.0822,2.1674,0.0343,True,True
15-1242.00,30,30,0.5387,0.5288,0.0099,0.1774,0.8598,True,False,30,0.5147,0.024,0.4254,0.6722,True,False,0.0141,0.2741,0.785,True,False
