job_code,male_weighted_mean,male_std,male_total_weight,female_weighted_mean,female_std,female_total_weight,neutral_weighted_mean,neutral_std,neutral_total_weight,male_delta_from_neutral,female_delta_from_neutral,male_female_difference
13-1022.00,0.6102,0.2172,20.786,0.6765,0.2198,19.6146,0.6315,0.1793,20.3097,-0.0213,0.045,-0.0663
13-1023.00,0.6448,0.2074,21.186,0.6076,0.1791,21.0045,0.6597,0.2467,21.3041,-0.0149,-0.0521,0.0372
13-1032.00,0.6111,0.2222,15.566,0.6595,0.21,16.0995,0.5665,0.1917,16.0705,0.0446,0.093,-0.0484
13-1041.00,0.5358,0.1587,17.9275,0.5389,0.1706,18.3853,0.5618,0.1868,19.5472,-0.026,-0.0229,-0.0031
13-1081.02,0.6267,0.1927,19.7298,0.6315,0.1896,18.0925,0.608,0.2157,18.6472,0.0187,0.0235,-0.0048
13-1161.01,0.5239,0.1578,20.5829,0.5529,0.2158,20.6248,0.4951,0.1492,22.0093,0.0288,0.0578,-0.029
13-1199.06,0.6021,0.2269,15.9445,0.4991,0.1373,18.8429,0.6638,0.2214,19.8115,-0.0617,-0.1647,0.103
13-2099.01,0.5456,0.1726,19.4058,0.5412,0.1415,17.9783,0.5312,0.1594,17.8792,0.0144,0.01,0.0044
15-1211.01,0.5059,0.1617,21.1638,0.4399,0.1232,20.1612,0.5345,0.2032,20.0217,-0.0286,-0.0946,0.066
15-1212.00,0.5551,0.2051,19.8392,0.5466,0.1981,18.8642,0.5114,0.1775,20.1358,0.0437,0.0352,0.0085
15-1221.00,0.5362,0.1353,20.2317,0.5782,0.1745,21.1267,0.4831,0.1062,19.9758,0.0531,0.0951,-0.042
15-1242.00,0.5967,0.2296,16.8433,0.5664,0.1929,18.2008,0.5455,0.1983,19.215,0.0512,0.0209,0.0303
15-1252.00,0.6259,0.1795,18.8571,0.6573,0.1974,22.366,0.562,0.1555,20.9295,0.0639,0.0953,-0.0314
15-2021.00,0.6458,0.1627,22.7875,0.6052,0.1388,21.8817,0.6333,0.1333,23.2067,0.0125,-0.0281,0.0406
15-2051.02,0.6123,0.214,19.1158,0.5771,0.2083,17.0267,0.6819,0.2232,18.8575,-0.0696,-0.1048,0.0352
15-2099.01,0.6038,0.2388,18.6046,0.4773,0.1323,19.358,0.6349,0.2388,19.2534,-0.0311,-0.1576,0.1265
17-1021.00,0.5978,0.1956,13.3583,0.6173,0.199,17.19,0.6524,0.1833,15.975,-0.0546,-0.0351,-0.0195
17-1022.00,0.6583,0.2374,18.28,0.6893,0.2165,17.0158,0.6288,0.2242,17.4725,0.0295,0.0605,-0.031
17-2011.00,0.5654,0.1695,20.7806,0.6006,0.17,20.9643,0.6357,0.1878,20.3095,-0.0703,-0.0351,-0.0352
17-2021.00,0.5843,0.1907,18.7391,0.4741,0.1385,18.46,0.5169,0.194,20.85,0.0674,-0.0428,0.1102
17-2111.02,0.4835,0.1668,19.3163,0.5806,0.2085,17.9879,0.5114,0.1415,19.948,-0.0279,0.0692,-0.0971
17-2141.00,0.617,0.1743,20.0348,0.6343,0.1995,19.0166,0.6337,0.1941,19.77,-0.0167,0.0006,-0.0173
17-2141.02,0.6379,0.2022,22.5497,0.5003,0.1337,21.8943,0.6512,0.1873,22.1456,-0.0133,-0.1509,0.1376
17-3029.08,0.6373,0.2023,16.2451,0.5456,0.1637,18.5238,0.5732,0.2058,17.8889,0.0641,-0.0276,0.0917
27-1013.00,0.6412,0.2294,17.2583,0.544,0.1995,18.7092,0.5841,0.2095,17.3667,0.0571,-0.0401,0.0972
27-1014.00,0.6066,0.1905,17.5077,0.6131,0.1814,17.3166,0.7178,0.1884,19.4744,-0.1112,-0.1047,-0.0065
27-1022.00,0.6227,0.2371,23.0709,0.6423,0.2352,22.4184,0.63,0.2169,22.7305,-0.0073,0.0123,-0.0196
27-1023.00,0.6831,0.2532,19.3667,0.6514,0.2301,18.5564,0.7147,0.243,20.5292,-0.0316,-0.0633,0.0317
27-2012.00,0.5875,0.1358,24.2325,0.6334,0.142,25.3316,0.6364,0.1966,24.9816,-0.0489,-0.003,-0.0459
27-2022.00,0.6207,0.2022,24.9264,0.6398,0.2084,23.1506,0.5183,0.1349,25.9343,0.1024,0.1215,-0.0191
27-3041.00,0.6571,0.1955,21.2925,0.6569,0.2035,19.8717,0.5974,0.1907,19.5608,0.0597,0.0595,0.0002
27-4031.00,0.6551,0.2111,16.7746,0.6169,0.2051,16.8081,0.6374,0.2168,19.6467,0.0177,-0.0205,0.0382
37-1011.00,0.6682,0.2018,21.355,0.6988,0.2058,20.7571,0.708,0.2071,19.4324,-0.0398,-0.0092,-0.0306
37-1012.00,0.6675,0.1982,18.1634,0.6948,0.2273,20.1262,0.6376,0.209,20.7006,0.0299,0.0572,-0.0273
37-2011.00,0.5953,0.2035,18.036,0.6035,0.1968,17.1265,0.637,0.2112,17.6051,-0.0417,-0.0335,-0.0082
37-2012.00,0.5824,0.2079,18.9134,0.7279,0.25,17.0642,0.6937,0.2263,15.4922,-0.1113,0.0342,-0.1455
37-2021.00,0.601,0.2456,17.8784,0.5713,0.2042,19.9815,0.6558,0.2554,20.8998,-0.0548,-0.0845,0.0297
37-3011.00,0.6325,0.2292,16.1492,0.627,0.1918,15.3379,0.661,0.2317,15.9555,-0.0285,-0.034,0.0055
37-3012.00,0.5316,0.2403,16.7527,0.6089,0.2304,15.2975,0.6566,0.2217,16.1263,-0.125,-0.0477,-0.0773
37-3013.00,0.505,0.1808,19.0345,0.6004,0.219,18.7009,0.5465,0.1986,19.4109,-0.0415,0.0539,-0.0954
