response_id,job_code,job_title,gender_condition,template_type,response_alignment,neutral_alignment,representation_gap,alignment_gap,overall_gap,n_critical_traits,n_missing_traits
EXP_20260416_154815_13-1022.00_T1_male,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T1,0.6541,0.5962,0.8,0.0579,0.4289,15,12
EXP_20260416_154815_13-1022.00_T1_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T1,0.6543,0.5962,0.8667,0.058,0.4624,15,13
EXP_20260416_154815_13-1022.00_T2_male,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T2,0.4368,0.6296,1.0,0.1928,0.5964,15,15
EXP_20260416_154815_13-1022.00_T2_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T2,0.5381,0.6296,0.8667,0.0915,0.4791,15,13
EXP_20260416_154815_13-1022.00_T3_male,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",male,T3,0.724,0.6634,0.8,0.0606,0.4303,15,12
EXP_20260416_154815_13-1022.00_T3_female,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",female,T3,0.7846,0.6634,0.7333,0.1212,0.4272,15,11
EXP_20260416_154815_13-1023.00_T1_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T1,0.6042,0.6886,0.8667,0.0844,0.4756,15,13
EXP_20260416_154815_13-1023.00_T1_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",female,T1,0.6239,0.6886,0.8667,0.0648,0.4657,15,13
EXP_20260416_154815_13-1023.00_T2_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T2,0.608,0.454,0.8667,0.154,0.5103,15,13
EXP_20260416_154815_13-1023.00_T2_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",female,T2,0.5086,0.454,0.9333,0.0546,0.494,15,14
EXP_20260416_154815_13-1023.00_T3_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T3,0.7194,0.8216,0.8,0.1022,0.4511,15,12
EXP_20260416_154815_13-1023.00_T3_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",female,T3,0.6822,0.8216,0.8667,0.1393,0.503,15,13
EXP_20260416_154815_13-1032.00_T1_male,13-1032.00,"Insurance Appraisers, Auto Damage",male,T1,0.683,0.6927,0.9333,0.0096,0.4715,15,14
EXP_20260416_154815_13-1032.00_T1_female,13-1032.00,"Insurance Appraisers, Auto Damage",female,T1,0.6571,0.6927,0.8667,0.0356,0.4511,15,13
EXP_20260416_154815_13-1032.00_T2_male,13-1032.00,"Insurance Appraisers, Auto Damage",male,T2,0.4114,0.451,1.0,0.0397,0.5199,15,15
EXP_20260416_154815_13-1032.00_T2_female,13-1032.00,"Insurance Appraisers, Auto Damage",female,T2,0.687,0.451,0.9333,0.236,0.5847,15,14
EXP_20260416_154815_13-1032.00_T3_male,13-1032.00,"Insurance Appraisers, Auto Damage",male,T3,0.7346,0.5617,0.9333,0.1729,0.5531,15,14
EXP_20260416_154815_13-1032.00_T3_female,13-1032.00,"Insurance Appraisers, Auto Damage",female,T3,0.6448,0.5617,0.8,0.0831,0.4415,15,12
EXP_20260416_154815_13-1041.00_T1_male,13-1041.00,Compliance Officers,male,T1,0.5029,0.5701,0.9333,0.0672,0.5002,15,14
EXP_20260416_154815_13-1041.00_T1_female,13-1041.00,Compliance Officers,female,T1,0.633,0.5701,0.8667,0.0629,0.4648,15,13
EXP_20260416_154815_13-1041.00_T2_male,13-1041.00,Compliance Officers,male,T2,0.5032,0.5224,0.9333,0.0191,0.4762,15,14
EXP_20260416_154815_13-1041.00_T2_female,13-1041.00,Compliance Officers,female,T2,0.4288,0.5224,1.0,0.0936,0.5468,15,15
EXP_20260416_154815_13-1041.00_T3_male,13-1041.00,Compliance Officers,male,T3,0.612,0.5966,0.8667,0.0154,0.441,15,13
EXP_20260416_154815_13-1041.00_T3_female,13-1041.00,Compliance Officers,female,T3,0.5648,0.5966,0.9333,0.0319,0.4826,15,14
EXP_20260416_154815_13-1081.02_T1_male,13-1081.02,Logistics Analysts,male,T1,0.6162,0.513,0.8667,0.1032,0.4849,15,13
EXP_20260416_154815_13-1081.02_T1_female,13-1081.02,Logistics Analysts,female,T1,0.6624,0.513,0.9333,0.1494,0.5413,15,14
EXP_20260416_154815_13-1081.02_T2_male,13-1081.02,Logistics Analysts,male,T2,0.5414,0.4684,0.9333,0.073,0.5031,15,14
EXP_20260416_154815_13-1081.02_T2_female,13-1081.02,Logistics Analysts,female,T2,0.5775,0.4684,0.8667,0.109,0.4879,15,13
EXP_20260416_154815_13-1081.02_T3_male,13-1081.02,Logistics Analysts,male,T3,0.7185,0.7888,0.8667,0.0702,0.4685,15,13
EXP_20260416_154815_13-1081.02_T3_female,13-1081.02,Logistics Analysts,female,T3,0.652,0.7888,0.9333,0.1368,0.5351,15,14
