job_code,job_title,major_group,selection_seed,selection_strategy,experiment_id
11-1021.00,General and Operations Managers,11,42,two_level_random_sample,EXP_20260310_154106
11-3013.00,Facilities Managers,11,42,two_level_random_sample,EXP_20260310_154106
11-3061.00,Purchasing Managers,11,42,two_level_random_sample,EXP_20260310_154106
11-3071.04,Supply Chain Managers,11,42,two_level_random_sample,EXP_20260310_154106
11-9179.02,Spa Managers,11,42,two_level_random_sample,EXP_20260310_154106
17-1012.00,Landscape Architects,17,42,two_level_random_sample,EXP_20260310_154106
17-2031.00,Bioengineers and Biomedical Engineers,17,42,two_level_random_sample,EXP_20260310_154106
17-2111.02,Fire-Prevention and Protection Engineers,17,42,two_level_random_sample,EXP_20260310_154106
17-3022.00,Civil Engineering Technologists and Technicians,17,42,two_level_random_sample,EXP_20260310_154106
17-3027.00,Mechanical Engineering Technologists and Technicians,17,42,two_level_random_sample,EXP_20260310_154106
27-1012.00,Craft Artists,27,42,two_level_random_sample,EXP_20260310_154106
27-1024.00,Graphic Designers,27,42,two_level_random_sample,EXP_20260310_154106
27-2012.04,Talent Directors,27,42,two_level_random_sample,EXP_20260310_154106
27-2012.05,Media Technical Directors/Managers,27,42,two_level_random_sample,EXP_20260310_154106
27-2022.00,Coaches and Scouts,27,42,two_level_random_sample,EXP_20260310_154106
51-2022.00,Electrical and Electronic Equipment Assemblers,51,42,two_level_random_sample,EXP_20260310_154106
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51,42,two_level_random_sample,EXP_20260310_154106
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51,42,two_level_random_sample,EXP_20260310_154106
51-9071.00,Jewelers and Precious Stone and Metal Workers,51,42,two_level_random_sample,EXP_20260310_154106
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51,42,two_level_random_sample,EXP_20260310_154106
