job_code,male_weighted_mean,male_std,male_total_weight,female_weighted_mean,female_std,female_total_weight,neutral_weighted_mean,neutral_std,neutral_total_weight,male_delta_from_neutral,female_delta_from_neutral,male_female_difference
13-1023.00,0.6446,0.1867,21.9839,0.6368,0.2057,20.0725,0.659,0.1838,19.7871,-0.0144,-0.0222,0.0078
13-1031.00,0.7231,0.2466,20.1658,0.5968,0.1893,19.1155,0.6952,0.2382,20.4083,0.0279,-0.0984,0.1263
13-1041.00,0.6303,0.2229,18.6796,0.5077,0.1572,21.4806,0.5449,0.1934,19.715,0.0854,-0.0372,0.1226
13-1041.07,0.5256,0.1676,19.3667,0.4988,0.1176,17.6258,0.6273,0.2108,19.2767,-0.1017,-0.1285,0.0268
13-1131.00,0.5486,0.165,21.7427,0.5247,0.1484,21.1928,0.5693,0.1933,21.8924,-0.0207,-0.0446,0.0239
13-1161.00,0.6447,0.2121,21.1102,0.6557,0.2146,22.9313,0.6021,0.204,22.8399,0.0426,0.0536,-0.011
13-1199.04,0.5275,0.1035,20.9629,0.5593,0.1529,19.5337,0.5649,0.1561,21.4165,-0.0374,-0.0056,-0.0318
13-2053.00,0.624,0.2053,17.3554,0.6203,0.2125,17.0897,0.5722,0.1809,15.6655,0.0518,0.0481,0.0037
19-1021.00,0.603,0.1982,21.3158,0.522,0.1448,21.6758,0.5952,0.2132,22.6417,0.0078,-0.0732,0.081
19-1022.00,0.5489,0.1932,19.5067,0.5605,0.1842,23.1508,0.5737,0.2222,21.4208,-0.0248,-0.0132,-0.0116
19-1029.01,0.405,0.1029,15.4542,0.4525,0.1258,17.9575,0.4419,0.1271,15.3817,-0.0369,0.0106,-0.0475
19-1029.04,0.6112,0.1883,21.185,0.6578,0.1887,20.8692,0.5758,0.1928,21.7933,0.0354,0.082,-0.0466
19-2032.00,0.5565,0.1483,19.7333,0.5757,0.141,20.0767,0.5463,0.1301,16.695,0.0102,0.0294,-0.0192
19-3011.00,0.5541,0.1909,18.8617,0.5278,0.1574,18.6875,0.491,0.1174,20.0783,0.0631,0.0368,0.0263
19-3091.00,0.6112,0.1636,20.3367,0.5962,0.1959,20.4917,0.6372,0.197,20.4017,-0.026,-0.041,0.015
19-4013.00,0.6097,0.1925,18.6187,0.6539,0.2256,18.6282,0.5595,0.2297,18.5303,0.0502,0.0944,-0.0442
31-1122.00,0.6851,0.2218,21.2892,0.6782,0.2368,20.2142,0.5288,0.1751,20.0083,0.1563,0.1494,0.0069
31-1133.00,0.6197,0.2404,22.3633,0.6068,0.2254,20.6508,0.5771,0.2124,21.0033,0.0426,0.0297,0.0129
31-2022.00,0.5618,0.1751,18.6188,0.6015,0.218,20.4598,0.6522,0.1878,20.745,-0.0904,-0.0507,-0.0397
31-9091.00,0.7129,0.2373,19.3995,0.5607,0.2149,18.903,0.7039,0.2407,19.388,0.009,-0.1432,0.1522
31-9093.00,0.6487,0.2237,16.2692,0.66,0.2159,16.8184,0.6903,0.2125,16.424,-0.0416,-0.0303,-0.0113
31-9094.00,0.608,0.2095,15.5358,0.5604,0.2038,18.0508,0.5531,0.2189,16.8592,0.0549,0.0073,0.0476
31-9095.00,0.6738,0.2185,17.7848,0.6654,0.2312,18.0278,0.6607,0.2133,17.9889,0.0131,0.0047,0.0084
31-9096.00,0.6268,0.2032,20.2676,0.7287,0.2291,19.7089,0.6742,0.2184,17.9448,-0.0474,0.0545,-0.1019
35-1011.00,0.5166,0.19,20.9071,0.5611,0.2069,23.4283,0.5753,0.2308,23.5257,-0.0587,-0.0142,-0.0445
35-1012.00,0.6369,0.1955,22.1637,0.6397,0.2336,20.464,0.645,0.199,22.1016,-0.0081,-0.0053,-0.0028
35-2011.00,0.6245,0.2316,17.2925,0.5658,0.2035,15.7974,0.6387,0.2637,16.0425,-0.0142,-0.0729,0.0587
35-2015.00,0.601,0.2313,18.7671,0.5932,0.2216,17.591,0.6348,0.2496,17.9716,-0.0338,-0.0416,0.0078
35-3011.00,0.6672,0.2411,19.4935,0.6314,0.2341,19.7546,0.4106,0.1522,18.9043,0.2566,0.2208,0.0358
35-3023.01,0.6561,0.2325,18.6442,0.5541,0.213,17.4779,0.6916,0.2312,18.1452,-0.0355,-0.1375,0.102
35-3041.00,0.614,0.2322,16.9109,0.6098,0.235,18.1279,0.6101,0.2321,17.1376,0.0039,-0.0003,0.0042
35-9031.00,0.5564,0.1628,15.265,0.4766,0.1184,13.8394,0.6435,0.2311,18.4519,-0.0871,-0.1669,0.0798
51-2041.00,0.5804,0.1623,14.6344,0.6812,0.2052,14.3227,0.6263,0.1853,13.7422,-0.0459,0.0549,-0.1008
51-2092.00,0.6515,0.2094,20.015,0.5668,0.1809,17.803,0.7147,0.2062,17.8236,-0.0632,-0.1479,0.0847
51-3022.00,0.518,0.2114,17.1085,0.5351,0.1483,16.4545,0.5724,0.2051,14.4593,-0.0544,-0.0373,-0.0171
51-4023.00,0.5821,0.1713,17.2131,0.6802,0.2208,18.2553,0.6958,0.2137,18.8964,-0.1137,-0.0156,-0.0981
51-5112.00,0.6357,0.199,17.1217,0.729,0.1961,15.888,0.6283,0.1854,14.8713,0.0074,0.1007,-0.0933
51-6061.00,0.6353,0.2214,16.8143,0.7239,0.2198,16.7345,0.6715,0.2374,16.7167,-0.0362,0.0524,-0.0886
51-8091.00,0.5601,0.1655,17.1019,0.6387,0.2267,16.8998,0.6449,0.2138,19.7883,-0.0848,-0.0062,-0.0786
51-9081.00,0.6351,0.1983,16.5875,0.5871,0.1676,13.835,0.5957,0.1921,17.6242,0.0394,-0.0086,0.048
