job_code,n_male,n_female,n_neutral,male_mean,female_mean,neutral_mean,cohens_d_male_female,effect_size_male_female,direction_male_female,cohens_d_male_neutral,effect_size_male_neutral,direction_male_neutral,cohens_d_female_neutral,effect_size_female_neutral,direction_female_neutral
13-1023.00,30,30,30,0.6305,0.5932,0.6237,0.1865,negligible,male > female,0.036,negligible,male > neutral,-0.1536,negligible,neutral > female
13-1031.00,30,30,30,0.6793,0.5696,0.6634,0.4907,small,male > female,0.0646,negligible,male > neutral,-0.4285,small,neutral > female
13-1041.00,30,30,30,0.5995,0.4988,0.5247,0.5134,medium,male > female,0.3527,small,male > neutral,-0.1443,negligible,neutral > female
13-1041.07,30,30,30,0.5123,0.471,0.5913,0.2806,small,male > female,-0.4078,small,neutral > male,-0.693,medium,neutral > female
13-1131.00,30,30,30,0.5426,0.5145,0.5664,0.1757,negligible,male > female,-0.1304,negligible,neutral > male,-0.2959,small,neutral > female
13-1161.00,30,30,30,0.6283,0.6314,0.5866,-0.0143,negligible,female > male,0.1974,negligible,male > neutral,0.2108,small,female > neutral
13-1199.04,30,30,30,0.517,0.5297,0.5425,-0.0957,negligible,female > male,-0.1895,negligible,neutral > male,-0.0816,negligible,neutral > female
13-2053.00,30,30,30,0.5867,0.5948,0.5343,-0.0381,negligible,female > male,0.2663,small,male > neutral,0.3014,small,female > neutral
19-1021.00,30,30,30,0.5708,0.517,0.5862,0.3049,small,male > female,-0.0735,negligible,neutral > male,-0.3735,small,neutral > female
19-1022.00,30,30,30,0.5399,0.5546,0.5693,-0.0766,negligible,female > male,-0.1387,negligible,neutral > male,-0.0707,negligible,neutral > female
19-1029.01,30,30,30,0.4016,0.4421,0.4465,-0.3462,small,female > male,-0.3817,small,neutral > male,-0.0344,negligible,neutral > female
19-1029.04,30,30,30,0.5922,0.6424,0.5763,-0.2616,small,female > male,0.0822,negligible,male > neutral,0.3407,small,female > neutral
19-2032.00,30,30,30,0.5365,0.548,0.5178,-0.0781,negligible,female > male,0.1315,negligible,male > neutral,0.2185,small,female > neutral
19-3011.00,30,30,30,0.5397,0.5056,0.4884,0.1917,negligible,male > female,0.3184,small,male > neutral,0.1219,negligible,female > neutral
19-3091.00,30,30,30,0.592,0.5728,0.6173,0.1044,negligible,male > female,-0.1377,negligible,neutral > male,-0.2229,small,neutral > female
19-4013.00,30,30,30,0.5875,0.626,0.5467,-0.1806,negligible,female > male,0.1892,negligible,male > neutral,0.3425,small,female > neutral
31-1122.00,30,30,30,0.6719,0.6678,0.5272,0.0174,negligible,male > female,0.7119,medium,male > neutral,0.6638,medium,female > neutral
31-1133.00,30,30,30,0.611,0.5901,0.5651,0.0879,negligible,male > female,0.1987,negligible,male > neutral,0.1123,negligible,female > neutral
31-2022.00,30,30,30,0.5359,0.5793,0.6348,-0.2156,small,female > male,-0.5356,medium,neutral > male,-0.2685,small,neutral > female
31-9091.00,30,30,30,0.6745,0.5361,0.66,0.6008,medium,male > female,0.0595,negligible,male > neutral,-0.5337,medium,neutral > female
31-9093.00,30,30,30,0.6161,0.621,0.6491,-0.0219,negligible,female > male,-0.1488,negligible,neutral > male,-0.129,negligible,neutral > female
31-9094.00,30,30,30,0.5528,0.5289,0.528,0.1139,negligible,male > female,0.114,negligible,male > neutral,0.0042,negligible,female > neutral
31-9095.00,30,30,30,0.6075,0.6268,0.6165,-0.0845,negligible,female > male,-0.0409,negligible,neutral > male,0.0458,negligible,female > neutral
31-9096.00,30,30,30,0.6061,0.7017,0.6266,-0.4341,small,female > male,-0.0955,negligible,neutral > male,0.33,small,female > neutral
35-1011.00,30,30,30,0.4966,0.5531,0.5712,-0.2797,small,female > male,-0.3466,small,neutral > male,-0.0809,negligible,neutral > female
35-1012.00,30,30,30,0.6262,0.6273,0.6365,-0.0049,negligible,female > male,-0.0512,negligible,neutral > male,-0.0416,negligible,neutral > female
