job_code,male_alignment,female_alignment,neutral_alignment,male_coverage,female_coverage,neutral_coverage,delta_align_male_neutral,delta_align_female_neutral,delta_cov_male_neutral,delta_cov_female_neutral,delta_align_male_female,delta_cov_male_female
13-1023.00,0.6446,0.6368,0.659,0.5139,0.4968,0.5218,-0.0144,-0.0222,-0.0079,-0.025,0.0078,0.0171
13-1031.00,0.7231,0.5968,0.6952,0.4837,0.4506,0.4936,0.0279,-0.0984,-0.0099,-0.043,0.1263,0.0331
13-1041.00,0.6303,0.5077,0.5449,0.4929,0.4314,0.4976,0.0854,-0.0372,-0.0047,-0.0662,0.1226,0.0615
13-1041.07,0.5256,0.4988,0.6273,0.4485,0.4247,0.4652,-0.1017,-0.1285,-0.0167,-0.0405,0.0268,0.0238
13-1131.00,0.5486,0.5247,0.5693,0.5365,0.4636,0.503,-0.0207,-0.0446,0.0335,-0.0394,0.0239,0.0729
13-1161.00,0.6447,0.6557,0.6021,0.5081,0.5209,0.5025,0.0426,0.0536,0.0056,0.0184,-0.011,-0.0128
13-1199.04,0.5275,0.5593,0.5649,0.4535,0.5222,0.5032,-0.0374,-0.0056,-0.0497,0.019,-0.0318,-0.0687
13-2053.00,0.624,0.6203,0.5722,0.4687,0.4523,0.4414,0.0518,0.0481,0.0273,0.0109,0.0037,0.0164
19-1021.00,0.603,0.522,0.5952,0.566,0.45,0.5314,0.0078,-0.0732,0.0346,-0.0814,0.081,0.116
19-1022.00,0.5489,0.5605,0.5737,0.4824,0.5032,0.4834,-0.0248,-0.0132,-0.001,0.0198,-0.0116,-0.0208
19-1029.01,0.405,0.4525,0.4419,0.3274,0.3959,0.3573,-0.0369,0.0106,-0.0299,0.0386,-0.0475,-0.0685
19-1029.04,0.6112,0.6578,0.5758,0.5292,0.5229,0.5005,0.0354,0.082,0.0287,0.0224,-0.0466,0.0063
19-2032.00,0.5565,0.5757,0.5463,0.4734,0.4869,0.4533,0.0102,0.0294,0.0201,0.0336,-0.0192,-0.0135
19-3011.00,0.5541,0.5278,0.491,0.4803,0.4634,0.4525,0.0631,0.0368,0.0278,0.0109,0.0263,0.0169
19-3091.00,0.6112,0.5962,0.6372,0.5111,0.4755,0.5184,-0.026,-0.041,-0.0073,-0.0429,0.015,0.0356
19-4013.00,0.6097,0.6539,0.5595,0.5252,0.517,0.489,0.0502,0.0944,0.0362,0.028,-0.0442,0.0082
31-1122.00,0.6851,0.6782,0.5288,0.6048,0.5589,0.4674,0.1563,0.1494,0.1374,0.0915,0.0069,0.0459
31-1133.00,0.6197,0.6068,0.5771,0.5204,0.5206,0.5059,0.0426,0.0297,0.0145,0.0147,0.0129,-0.0002
31-2022.00,0.5618,0.6015,0.6522,0.4992,0.5837,0.5377,-0.0904,-0.0507,-0.0385,0.046,-0.0397,-0.0845
31-9091.00,0.7129,0.5607,0.7039,0.5337,0.4961,0.523,0.009,-0.1432,0.0107,-0.0269,0.1522,0.0376
31-9093.00,0.6487,0.66,0.6903,0.5465,0.5509,0.5608,-0.0416,-0.0303,-0.0143,-0.0099,-0.0113,-0.0044
