job_code,n_male,n_female,mean_male,mean_female,mean_diff_male_vs_female,t_stat_male_vs_female,p_value_male_vs_female,equal_variances_male_vs_female,significant_05_male_vs_female,n_neutral,mean_neutral,mean_diff_male_vs_neutral,t_stat_male_vs_neutral,p_value_male_vs_neutral,equal_variances_male_vs_neutral,significant_05_male_vs_neutral,mean_diff_female_vs_neutral,t_stat_female_vs_neutral,p_value_female_vs_neutral,equal_variances_female_vs_neutral,significant_05_female_vs_neutral
13-1023.00,30,30,0.6305,0.5932,0.0373,0.7222,0.4731,True,False,30,0.6237,0.0068,0.1395,0.8895,True,False,-0.0305,-0.5948,0.5543,True,False
13-1031.00,30,30,0.6793,0.5696,0.1097,1.9003,0.0624,False,False,30,0.6634,0.0159,0.2502,0.8033,True,False,-0.0938,-1.6596,0.1024,True,False
13-1041.00,30,30,0.5995,0.4988,0.1007,1.9884,0.0515,True,False,30,0.5247,0.0749,1.3659,0.1773,True,False,-0.0259,-0.5588,0.5785,True,False
13-1041.07,30,30,0.5123,0.471,0.0413,1.0867,0.2817,True,False,30,0.5913,-0.079,-1.5795,0.1197,True,False,-0.1203,-2.6839,0.0095,False,True
13-1131.00,30,30,0.5426,0.5145,0.028,0.6806,0.4988,True,False,30,0.5664,-0.0238,-0.5049,0.6156,True,False,-0.0519,-1.1462,0.2564,True,False
13-1161.00,30,30,0.6283,0.6314,-0.0031,-0.0556,0.9559,True,False,30,0.5866,0.0418,0.7644,0.4477,True,False,0.0449,0.8164,0.4176,True,False
13-1199.04,30,30,0.517,0.5297,-0.0127,-0.3706,0.7123,True,False,30,0.5425,-0.0255,-0.7338,0.466,True,False,-0.0128,-0.316,0.7532,True,False
13-2053.00,30,30,0.5867,0.5948,-0.0081,-0.1475,0.8832,True,False,30,0.5343,0.0524,1.0312,0.3067,True,False,0.0605,1.1672,0.2479,True,False
19-1021.00,30,30,0.5708,0.517,0.0538,1.1808,0.2425,True,False,30,0.5862,-0.0154,-0.2848,0.7768,True,False,-0.0692,-1.4465,0.1534,True,False
19-1022.00,30,30,0.5399,0.5546,-0.0147,-0.2965,0.7679,True,False,30,0.5693,-0.0294,-0.5371,0.5932,True,False,-0.0147,-0.2737,0.7853,True,False
19-1029.01,30,30,0.4016,0.4421,-0.0405,-1.3408,0.1852,True,False,30,0.4465,-0.0449,-1.4782,0.1448,True,False,-0.0044,-0.1332,0.8945,True,False
19-1029.04,30,30,0.5922,0.6424,-0.0502,-1.0133,0.3151,True,False,30,0.5763,0.0159,0.3183,0.7514,True,False,0.0661,1.3193,0.1922,True,False
