response_id,experiment_id,job_code,job_title,gender_condition,prompt_type,llm_trait,best_kg_match,similarity_score,kg_importance,above_threshold,top_5_scores,top_5_traits,all_scores
EXP_20260416_175956_13-1023.00_T1_male,EXP_20260416_175956,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T1,Analytical thinking,Critical Thinking,0.6124,0.7728085867620751,True,"[0.6124, 0.5068, 0.433, 0.4278, 0.4074]","['Critical Thinking', 'Fluency of Ideas', 'Mathematics', 'Mathematical Reasoning', 'Complex Problem Solving']",
EXP_20260416_175956_13-1023.00_T1_male,EXP_20260416_175956,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T1,Attention to detail,Attention to Detail,1.0,0.9606440071556351,True,"[1.0, 0.6451, 0.497, 0.4383, 0.4369]","['Attention to Detail', 'Selective Attention', 'Auditory Attention', 'Near Vision', 'Far Vision']",
EXP_20260416_175956_13-1023.00_T1_male,EXP_20260416_175956,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T1,Communication skills,Instructing,0.4485,0.6037567084078712,True,"[0.4485, 0.4369, 0.4244, 0.4206, 0.3963]","['Instructing', 'Writing', 'Speech Clarity', 'Learning Strategies', 'Selective Attention']",
EXP_20260416_175956_13-1023.00_T1_male,EXP_20260416_175956,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T1,Negotiation and persuasion,Negotiation,0.7878,0.872093023255814,True,"[0.7878, 0.7277, 0.5108, 0.4764, 0.3722]","['Negotiation', 'Persuasion', 'Cooperation', 'Judgment and Decision Making', 'Empathy']",
EXP_20260416_175956_13-1023.00_T1_male,EXP_20260416_175956,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T1,Organizational and planning,Coordination,0.5613,0.5366726296958855,True,"[0.5613, 0.4772, 0.4711, 0.4698, 0.4674]","['Coordination', 'Initiative', 'Time Management', 'Leadership Orientation', 'Operation and Control']",
EXP_20260416_175956_13-1023.00_T1_male,EXP_20260416_175956,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T1,Problem-solving and critical thinking,Critical Thinking,0.836,0.7728085867620751,True,"[0.836, 0.4821, 0.4207, 0.4174, 0.394]","['Critical Thinking', 'Complex Problem Solving', 'Fluency of Ideas', 'Mathematical Reasoning', 'Mathematics']",
EXP_20260416_175956_13-1023.00_T1_male,EXP_20260416_175956,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T1,Product knowledge and research,Innovation,0.5278,0.6833631484794275,True,"[0.5278, 0.449, 0.3312, 0.3225, 0.3216]","['Innovation', 'Technology Design', 'Intellectual Curiosity', 'Systems Analysis', 'Fluency of Ideas']",
EXP_20260416_175956_13-1023.00_T1_male,EXP_20260416_175956,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T1,Relationship building and networking,Cooperation,0.4631,0.8282647584973166,True,"[0.4631, 0.3555, 0.3546, 0.3522, 0.3112]","['Cooperation', 'Technology Design', 'Negotiation', 'Coordination', 'Time Sharing']",
EXP_20260416_175956_13-1023.00_T1_male,EXP_20260416_175956,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T1,Time management and prioritization,Time Management,0.8241,0.6037567084078712,True,"[0.8241, 0.5459, 0.4095, 0.3692, 0.3595]","['Time Management', 'Time Sharing', 'Reaction Time', 'Operations Monitoring', 'Rate Control']",
EXP_20260416_175956_13-1023.00_T1_male,EXP_20260416_175956,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T1,Business acumen,Innovation,0.3685,0.6833631484794275,True,"[0.3685, 0.336, 0.333, 0.3202, 0.3192]","['Innovation', 'Equipment Maintenance', 'Operations Analysis', 'Service Orientation', 'Integrity']",
