job_code,job_title,attribute_name,importance_score,trait_type,major_group,selection_seed,selection_strategy,experiment_id
11-1021.00,General and Operations Managers,Oral Comprehension,4.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Written Comprehension,4.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Oral Expression,4.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Written Expression,4.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Fluency of Ideas,3.25,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Originality,3.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Problem Sensitivity,3.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Deductive Reasoning,3.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Inductive Reasoning,3.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Information Ordering,3.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Category Flexibility,3.38,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Mathematical Reasoning,2.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Number Facility,2.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Memorization,2.25,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Speed of Closure,2.38,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Flexibility of Closure,2.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Perceptual Speed,2.38,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Spatial Orientation,1.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Visualization,2.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Selective Attention,2.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Time Sharing,2.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Arm-Hand Steadiness,1.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Manual Dexterity,1.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Finger Dexterity,1.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Control Precision,1.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Multilimb Coordination,1.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Response Orientation,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Rate Control,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Reaction Time,1.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Wrist-Finger Speed,1.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Speed of Limb Movement,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Static Strength,1.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Explosive Strength,1.38,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Dynamic Strength,1.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Trunk Strength,2.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Stamina,1.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Extent Flexibility,1.25,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Dynamic Flexibility,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Gross Body Coordination,1.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Gross Body Equilibrium,1.38,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Near Vision,3.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Far Vision,2.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Visual Color Discrimination,1.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Night Vision,1.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Peripheral Vision,1.25,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Depth Perception,1.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Glare Sensitivity,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Hearing Sensitivity,1.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Auditory Attention,2.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Sound Localization,1.25,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Speech Recognition,3.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-1021.00,General and Operations Managers,Speech Clarity,3.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Oral Comprehension,3.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Written Comprehension,3.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Oral Expression,3.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Written Expression,3.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Fluency of Ideas,2.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Originality,2.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Problem Sensitivity,3.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Deductive Reasoning,3.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Inductive Reasoning,3.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Information Ordering,3.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Category Flexibility,3.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Mathematical Reasoning,2.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Number Facility,2.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Memorization,2.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Speed of Closure,2.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Flexibility of Closure,2.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Perceptual Speed,2.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Spatial Orientation,2.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Visualization,2.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Selective Attention,2.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Time Sharing,2.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Arm-Hand Steadiness,2.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Manual Dexterity,2.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Finger Dexterity,2.38,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Control Precision,2.38,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Multilimb Coordination,2.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Response Orientation,2.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Rate Control,1.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Reaction Time,2.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Wrist-Finger Speed,2.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Speed of Limb Movement,1.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Static Strength,2.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Explosive Strength,1.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Dynamic Strength,1.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Trunk Strength,2.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Stamina,2.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Extent Flexibility,2.25,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Dynamic Flexibility,1.25,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Gross Body Coordination,1.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Gross Body Equilibrium,1.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Near Vision,3.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Far Vision,3.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Visual Color Discrimination,2.38,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Night Vision,1.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Peripheral Vision,2.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Depth Perception,2.38,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Glare Sensitivity,1.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Hearing Sensitivity,2.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Auditory Attention,2.38,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Sound Localization,1.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Speech Recognition,3.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3013.00,Facilities Managers,Speech Clarity,3.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Oral Comprehension,4.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Written Comprehension,3.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Oral Expression,4.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Written Expression,3.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Fluency of Ideas,3.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Originality,3.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Problem Sensitivity,3.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Deductive Reasoning,3.88,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Inductive Reasoning,3.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Information Ordering,3.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Category Flexibility,3.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Mathematical Reasoning,3.12,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Number Facility,3.25,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Memorization,2.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Speed of Closure,2.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Flexibility of Closure,2.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Perceptual Speed,2.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Spatial Orientation,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Visualization,2.25,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Selective Attention,3.25,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Time Sharing,2.62,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Arm-Hand Steadiness,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Manual Dexterity,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Finger Dexterity,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Control Precision,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Multilimb Coordination,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Response Orientation,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Rate Control,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Reaction Time,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Wrist-Finger Speed,1.38,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Speed of Limb Movement,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Static Strength,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Explosive Strength,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Dynamic Strength,1.5,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Trunk Strength,1.75,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
11-3061.00,Purchasing Managers,Stamina,1.0,Abilities,11,42,two_level_random_sample,EXP_20260312_095228
